Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",3
49,"3/10/20",8
50,"3/11/20",13
51,"3/12/20",14
52,"3/13/20",17
53,"3/14/20",17
54,"3/15/20",18
55,"3/16/20",23
56,"3/17/20",23
57,"3/18/20",38
58,"3/19/20",44
59,"3/20/20",45
60,"3/21/20",69
61,"3/22/20",90
62,"3/23/20",105
63,"3/24/20",124
64,"3/25/20",146
65,"3/26/20",179
66,"3/27/20",235
67,"3/28/20",298
68,"3/29/20",336
69,"3/30/20",424
70,"3/31/20",497
71,"4/1/20",547
72,"4/2/20",614
73,"4/3/20",699
74,"4/4/20",787
75,"4/5/20",869
76,"4/6/20",946
77,"4/7/20",1046
78,"4/8/20",1145
79,"4/9/20",1270
80,"4/10/20",1388
81,"4/11/20",1510
82,"4/12/20",1587
83,"4/13/20",1710
84,"4/14/20",1899
85,"4/15/20",1995
86,"4/16/20",2141
87,"4/17/20",2332
88,"4/18/20",2513
89,"4/19/20",2902
90,"4/20/20",3159
91,"4/21/20",3641
92,"4/22/20",3748
93,"4/23/20",3924
94,"4/24/20",4445
95,"4/25/20",5092
96,"4/26/20",5476
97,"4/27/20",5868
98,"4/28/20",6376
99,"4/29/20",6843
100,"4/30/20",7145
101,"5/1/20",7884
102,"5/2/20",8643
103,"5/3/20",9175
104,"5/4/20",9703
105,"5/5/20",10111
106,"5/6/20",10404
107,"5/7/20",11059
108,"5/8/20",11457
109,"5/9/20",11671
110,"5/10/20",11959
111,"5/11/20",12373
112,"5/12/20",12912
113,"5/13/20",13289
114,"5/14/20",13675
115,"5/15/20",14049
116,"5/16/20",14328
117,"5/17/20",14651
118,"5/18/20",14955
119,"5/19/20",15296
120,"5/20/20",15620
121,"5/21/20",16170
122,"5/22/20",16492
123,"5/23/20",16898
124,"5/24/20",17251
125,"5/25/20",17557
126,"5/26/20",17703
127,"5/27/20",18369
128,"5/28/20",18586
129,"5/29/20",18957
130,"5/30/20",19244
131,"5/31/20",19552
132,"6/1/20",19699
133,"6/2/20",20019
134,"6/3/20",20300
135,"6/4/20",20806
136,"6/5/20",21154
137,"6/6/20",21478
138,"6/7/20",21712
139,"6/8/20",22007
140,"6/9/20",22237
141,"6/10/20",22626
142,"6/11/20",22973
143,"6/12/20",23350
144,"6/13/20",23717
145,"6/14/20",23926
146,"6/15/20",24082
147,"6/16/20",24179
148,"6/17/20",24460
149,"6/18/20",24861
150,"6/19/20",25274
151,"6/20/20",25496
152,"6/21/20",25963
153,"6/22/20",26146
154,"6/23/20",26469
155,"6/24/20",26601
156,"6/25/20",27373
157,"6/26/20",27717
158,"6/27/20",28073
159,"6/28/20",28520
160,"6/29/20",28845
161,"6/30/20",29074
162,"7/1/20",29514
163,"7/2/20",30259
164,"7/3/20",30463
165,"7/4/20",31061
166,"7/5/20",31517
167,"7/6/20",31758
168,"7/7/20",32153
169,"7/8/20",32624
170,"7/9/20",33254
171,"7/10/20",34172
172,"7/11/20",34658
173,"7/12/20",35410
174,"7/13/20",35631
175,"7/14/20",35866
176,"7/15/20",36536
177,"7/16/20",37350
178,"7/17/20",37903
179,"7/18/20",38313
180,"7/19/20",38813
181,"7/20/20",39343
182,"7/21/20",39721
183,"7/22/20",40208
184,"7/23/20",40796
185,"7/24/20",41434
186,"7/25/20",41886
187,"7/26/20",42357
188,"7/27/20",42696
189,"7/28/20",42928
190,"7/29/20",43623
191,"7/30/20",44285
192,"7/31/20",44753
193,"8/1/20",45293
194,"8/2/20",45723
195,"8/3/20",45905
196,"8/4/20",46231
197,"8/5/20",46836
198,"8/6/20",47559
199,"8/7/20",48040
200,"8/8/20",48535
201,"8/9/20",48919
202,"8/10/20",49165
203,"8/11/20",49521
204,"8/12/20",49973
205,"8/13/20",50373
206,"8/14/20",51247
207,"8/15/20",52065
208,"8/16/20",52447
209,"8/17/20",52829
210,"8/18/20",53201
211,"8/19/20",53523
212,"8/20/20",54533
213,"8/21/20",55331
214,"8/22/20",55996
215,"8/23/20",56446
216,"8/24/20",56909
217,"8/25/20",57606
218,"8/26/20",58807
219,"8/27/20",61488
220,"8/28/20",62828
221,"8/29/20",63612
222,"8/30/20",64599
223,"8/31/20",65139
224,"9/1/20",65847
