Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",1
48,"3/9/20",1
49,"3/10/20",1
50,"3/11/20",1
51,"3/12/20",4
52,"3/13/20",6
53,"3/14/20",8
54,"3/15/20",8
55,"3/16/20",11
56,"3/17/20",18
57,"3/18/20",22
58,"3/19/20",35
59,"3/20/20",48
60,"3/21/20",57
61,"3/22/20",65
62,"3/23/20",84
63,"3/24/20",100
64,"3/25/20",134
65,"3/26/20",172
66,"3/27/20",206
67,"3/28/20",266
68,"3/29/20",330
69,"3/30/20",372
70,"3/31/20",434
71,"4/1/20",485
72,"4/2/20",553
73,"4/3/20",629
74,"4/4/20",698
75,"4/5/20",751
76,"4/6/20",849
77,"4/7/20",912
78,"4/8/20",1046
79,"4/9/20",1116
80,"4/10/20",1117
81,"4/11/20",1275
82,"4/12/20",1344
83,"4/13/20",1390
84,"4/14/20",1441
85,"4/15/20",1504
86,"4/16/20",1615
87,"4/17/20",1730
88,"4/18/20",1821
89,"4/19/20",1905
90,"4/20/20",2048
91,"4/21/20",2164
92,"4/22/20",2331
93,"4/23/20",2721
94,"4/24/20",2959
95,"4/25/20",3135
96,"4/26/20",3277
97,"4/27/20",3473
98,"4/28/20",3652
99,"4/29/20",3839
100,"4/30/20",4413
101,"5/1/20",4634
102,"5/2/20",4885
103,"5/3/20",5156
104,"5/4/20",5383
105,"5/5/20",5648
106,"5/6/20",5993
107,"5/7/20",6332
108,"5/8/20",6667
109,"5/9/20",6829
110,"5/10/20",6951
111,"5/11/20",7159
112,"5/12/20",7240
113,"5/13/20",7518
114,"5/14/20",7705
115,"5/15/20",7886
116,"5/16/20",7939
117,"5/17/20",7953
118,"5/18/20",8303
119,"5/19/20",8353
120,"5/20/20",8507
121,"5/21/20",8625
122,"5/22/20",8909
123,"5/23/20",8946
124,"5/24/20",9004
125,"5/25/20",9125
126,"5/26/20",9199
127,"5/27/20",9291
128,"5/28/20",9371
129,"5/29/20",9662
130,"5/30/20",9690
131,"5/31/20",9700
132,"6/1/20",9920
133,"6/2/20",9965
134,"6/3/20",10092
135,"6/4/20",10167
136,"6/5/20",10306
137,"6/6/20",10361
138,"6/7/20",10406
139,"6/8/20",10544
140,"6/9/20",10609
141,"6/10/20",10750
142,"6/11/20",10823
143,"6/12/20",10973
144,"6/13/20",11020
145,"6/14/20",11101
146,"6/15/20",11319
147,"6/16/20",11411
148,"6/17/20",11644
149,"6/18/20",11753
150,"6/19/20",12021
151,"6/20/20",12097
152,"6/21/20",12136
153,"6/22/20",12428
154,"6/23/20",12537
155,"6/24/20",12930
156,"6/25/20",13107
157,"6/26/20",13462
158,"6/27/20",13617
159,"6/28/20",13847
160,"6/29/20",14209
161,"6/30/20",14370
162,"7/1/20",14830
163,"7/2/20",15002
164,"7/3/20",15659
165,"7/4/20",15911
166,"7/5/20",16081
167,"7/6/20",16638
168,"7/7/20",16860
169,"7/8/20",17332
170,"7/9/20",17785
171,"7/10/20",18303
172,"7/11/20",18687
173,"7/12/20",18981
174,"7/13/20",19645
175,"7/14/20",19887
176,"7/15/20",20349
177,"7/16/20",20817
178,"7/17/20",21388
179,"7/18/20",21693
180,"7/19/20",21996
181,"7/20/20",22656
182,"7/21/20",22929
183,"7/22/20",23480
184,"7/23/20",23955
185,"7/24/20",24553
186,"7/25/20",25008
187,"7/26/20",25289
188,"7/27/20",25805
189,"7/28/20",26055
190,"7/29/20",26588
191,"7/30/20",26881
192,"7/31/20",27362
193,"8/1/20",27590
194,"8/2/20",27869
195,"8/3/20",28432
196,"8/4/20",28782
197,"8/5/20",29251
198,"8/6/20",29612
199,"8/7/20",30132
200,"8/8/20",30445
201,"8/9/20",30644
202,"8/10/20",31169
203,"8/11/20",31454
204,"8/12/20",32086
205,"8/13/20",32462
206,"8/14/20",33015
207,"8/15/20",33885
208,"8/16/20",33885
209,"8/17/20",34599
210,"8/18/20",34859
211,"8/19/20",35403
212,"8/20/20",35890
213,"8/21/20",36884
214,"8/22/20",37371
215,"8/23/20",37641
216,"8/24/20",38523
217,"8/25/20",38836
218,"8/26/20",39859
219,"8/27/20",40334
220,"8/28/20",41027
221,"8/29/20",41570
222,"8/30/20",41736
223,"8/31/20",42579
224,"9/1/20",42940
