Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",5
51,"3/12/20",19
52,"3/13/20",29
53,"3/14/20",77
54,"3/15/20",87
55,"3/16/20",115
56,"3/17/20",196
57,"3/18/20",257
58,"3/19/20",392
59,"3/20/20",537
60,"3/21/20",763
61,"3/22/20",837
62,"3/23/20",1172
63,"3/24/20",1388
64,"3/25/20",1795
65,"3/26/20",2304
66,"3/27/20",2744
67,"3/28/20",3315
68,"3/29/20",3540
69,"3/30/20",4025
70,"3/31/20",5237
71,"4/1/20",6424
72,"4/2/20",9149
73,"4/3/20",10297
74,"4/4/20",12496
75,"4/5/20",13010
76,"4/6/20",14867
77,"4/7/20",16284
78,"4/8/20",17030
79,"4/9/20",18283
80,"4/10/20",19253
81,"4/11/20",20014
82,"4/12/20",20595
83,"4/13/20",21016
84,"4/14/20",21518
85,"4/15/20",21951
86,"4/16/20",22532
87,"4/17/20",23118
88,"4/18/20",23580
89,"4/19/20",23928
90,"4/20/20",24523
91,"4/21/20",24854
92,"4/22/20",25258
93,"4/23/20",25739
94,"4/24/20",26140
95,"4/25/20",26512
96,"4/26/20",26773
97,"4/27/20",27068
98,"4/28/20",27286
99,"4/29/20",27660
100,"4/30/20",28001
101,"5/1/20",28711
102,"5/2/20",29140
103,"5/3/20",29340
104,"5/4/20",29673
105,"5/5/20",29996
106,"5/6/20",30399
107,"5/7/20",30652
108,"5/8/20",30855
109,"5/9/20",31417
110,"5/10/20",31600
111,"5/11/20",31815
112,"5/12/20",32050
113,"5/13/20",32662
114,"5/14/20",33489
115,"5/15/20",33837
116,"5/16/20",34117
117,"5/17/20",34432
118,"5/18/20",34709
119,"5/19/20",35038
120,"5/20/20",35316
121,"5/21/20",36504
122,"5/22/20",36925
123,"5/23/20",36925
124,"5/24/20",37169
125,"5/25/20",37809
126,"5/26/20",38054
127,"5/27/20",38497
128,"5/28/20",38802
129,"5/29/20",38802
130,"5/30/20",39577
131,"5/31/20",39916
132,"6/1/20",40341
133,"6/2/20",40746
134,"6/3/20",41133
135,"6/4/20",41562
136,"6/5/20",41989
137,"6/6/20",42486
138,"6/7/20",42816
139,"6/8/20",43050
140,"6/9/20",43612
141,"6/10/20",44030
142,"6/11/20",44472
143,"6/12/20",44995
144,"6/13/20",46283
145,"6/14/20",46619
146,"6/15/20",47172
147,"6/16/20",47706
148,"6/17/20",48634
149,"6/18/20",48634
150,"6/19/20",48515
151,"6/20/20",49385
152,"6/21/20",49778
153,"6/22/20",50239
154,"6/23/20",51595
155,"6/24/20",52477
156,"6/25/20",53415
157,"6/26/20",54769
158,"6/27/20",54769
159,"6/28/20",56236
160,"6/29/20",57081
161,"6/30/20",58095
162,"7/1/20",60178
163,"7/2/20",61561
164,"7/3/20",63289
165,"7/4/20",63289
166,"7/5/20",65226
167,"7/6/20",66327
168,"7/7/20",68263
169,"7/8/20",70151
170,"7/9/20",71994
171,"7/10/20",74636
172,"7/11/20",76803
173,"7/12/20",78122
174,"7/13/20",79827
175,"7/14/20",82042
176,"7/15/20",84131
177,"7/16/20",86411
178,"7/17/20",88590
179,"7/18/20",88590
180,"7/19/20",91706
181,"7/20/20",94892
182,"7/21/20",96583
183,"7/22/20",99354
184,"7/23/20",101650
185,"7/24/20",103734
186,"7/25/20",103734
187,"7/26/20",107574
188,"7/27/20",109917
189,"7/28/20",111038
190,"7/29/20",112773
191,"7/30/20",114481
192,"7/31/20",116280
193,"8/1/20",116280
194,"8/2/20",119747
195,"8/3/20",120846
196,"8/4/20",124461
197,"8/5/20",125943
198,"8/6/20",127246
199,"8/7/20",128746
200,"8/8/20",128746
201,"8/9/20",131399
202,"8/10/20",131961
203,"8/11/20",133125
204,"8/12/20",134304
205,"8/13/20",135439
206,"8/14/20",136737
207,"8/15/20",136737
208,"8/16/20",137918
209,"8/17/20",138485
210,"8/18/20",139125
211,"8/19/20",139903
212,"8/20/20",140821
213,"8/21/20",141720
214,"8/22/20",141720
215,"8/23/20",142943
216,"8/24/20",143566
217,"8/25/20",144116
218,"8/26/20",145661
219,"8/27/20",146338
220,"8/28/20",146944
221,"8/29/20",146944
222,"8/30/20",148568
223,"8/31/20",148894
