Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",1
52,"3/13/20",3
53,"3/14/20",3
54,"3/15/20",2
55,"3/16/20",17
56,"3/17/20",26
57,"3/18/20",35
58,"3/19/20",52
59,"3/20/20",56
60,"3/21/20",70
61,"3/22/20",89
62,"3/23/20",107
63,"3/24/20",118
64,"3/25/20",142
65,"3/26/20",155
66,"3/27/20",168
67,"3/28/20",211
68,"3/29/20",253
69,"3/30/20",275
70,"3/31/20",303
71,"4/1/20",303
72,"4/2/20",376
73,"4/3/20",432
74,"4/4/20",456
75,"4/5/20",470
76,"4/6/20",499
77,"4/7/20",519
78,"4/8/20",537
79,"4/9/20",560
80,"4/10/20",586
81,"4/11/20",616
82,"4/12/20",633
83,"4/13/20",698
84,"4/14/20",735
85,"4/15/20",770
86,"4/16/20",796
87,"4/17/20",827
88,"4/18/20",847
89,"4/19/20",867
90,"4/20/20",875
91,"4/21/20",888
92,"4/22/20",907
93,"4/23/20",937
94,"4/24/20",965
95,"4/25/20",965
96,"4/26/20",1015
97,"4/27/20",1023
98,"4/28/20",1040
99,"4/29/20",1056
100,"4/30/20",1095
101,"5/1/20",1123
102,"5/2/20",1153
103,"5/3/20",1185
104,"5/4/20",1205
105,"5/5/20",1226
106,"5/6/20",1254
107,"5/7/20",1330
108,"5/8/20",1374
109,"5/9/20",1408
110,"5/10/20",1436
111,"5/11/20",1462
112,"5/12/20",1477
113,"5/13/20",1515
114,"5/14/20",1565
115,"5/15/20",1603
116,"5/16/20",1648
117,"5/17/20",1687
118,"5/18/20",1713
119,"5/19/20",1741
120,"5/20/20",1819
121,"5/21/20",1877
122,"5/22/20",1948
123,"5/23/20",2013
124,"5/24/20",2055
125,"5/25/20",2074
126,"5/26/20",2109
127,"5/27/20",2137
128,"5/28/20",2189
129,"5/29/20",2226
130,"5/30/20",2282
131,"5/31/20",2325
132,"6/1/20",2349
133,"6/2/20",2377
134,"6/3/20",2418
135,"6/4/20",2446
136,"6/5/20",2482
137,"6/6/20",2524
138,"6/7/20",2570
139,"6/8/20",2588
140,"6/9/20",2606
141,"6/10/20",2637
142,"6/11/20",2667
143,"6/12/20",2721
144,"6/13/20",2757
145,"6/14/20",2793
146,"6/15/20",2810
147,"6/16/20",2819
148,"6/17/20",2836
149,"6/18/20",2878
150,"6/19/20",2913
151,"6/20/20",2938
152,"6/21/20",2957
153,"6/22/20",2971
154,"6/23/20",2996
155,"6/24/20",3017
156,"6/25/20",3070
157,"6/26/20",3102
158,"6/27/20",3154
159,"6/28/20",3191
160,"6/29/20",3219
161,"6/30/20",3253
162,"7/1/20",3294
163,"7/2/20",3328
164,"7/3/20",3373
165,"7/4/20",3397
166,"7/5/20",3415
167,"7/6/20",3423
168,"7/7/20",3440
169,"7/8/20",3460
170,"7/9/20",3486
171,"7/10/20",3499
172,"7/11/20",3520
173,"7/12/20",3539
174,"7/13/20",3558
175,"7/14/20",3566
176,"7/15/20",3578
177,"7/16/20",3598
178,"7/17/20",3636
179,"7/18/20",3645
180,"7/19/20",3687
181,"7/20/20",3711
182,"7/21/20",3723
183,"7/22/20",3722
184,"7/23/20",3737
185,"7/24/20",3757
186,"7/25/20",3790
187,"7/26/20",3814
188,"7/27/20",3832
189,"7/28/20",3838
190,"7/29/20",3866
191,"7/30/20",3888
192,"7/31/20",3912
193,"8/1/20",3937
194,"8/2/20",3958
195,"8/3/20",3970
196,"8/4/20",3977
197,"8/5/20",3994
198,"8/6/20",3999
199,"8/7/20",4016
200,"8/8/20",4028
201,"8/9/20",4044
202,"8/10/20",4051
203,"8/11/20",4052
204,"8/12/20",4070
205,"8/13/20",4089
206,"8/14/20",4116
207,"8/15/20",4144
208,"8/16/20",4168
209,"8/17/20",4197
210,"8/18/20",4213
211,"8/19/20",4235
212,"8/20/20",4253
213,"8/21/20",4286
214,"8/22/20",4318
215,"8/23/20",4336
216,"8/24/20",4357
217,"8/25/20",4369
218,"8/26/20",4389
219,"8/27/20",4414
220,"8/28/20",4436
221,"8/29/20",4492
222,"8/30/20",4514
223,"8/31/20",4529
224,"9/1/20",4549
225,"9/2/20",4568
