Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",1
9,"1/30/20",1
10,"1/31/20",1
11,"2/1/20",1
12,"2/2/20",1
13,"2/3/20",1
14,"2/4/20",1
15,"2/5/20",1
16,"2/6/20",2
17,"2/7/20",2
18,"2/8/20",2
19,"2/9/20",2
20,"2/10/20",2
21,"2/11/20",2
22,"2/12/20",2
23,"2/13/20",2
24,"2/14/20",2
25,"2/15/20",2
26,"2/16/20",2
27,"2/17/20",2
28,"2/18/20",2
29,"2/19/20",2
30,"2/20/20",2
31,"2/21/20",2
32,"2/22/20",2
33,"2/23/20",2
34,"2/24/20",2
35,"2/25/20",2
36,"2/26/20",2
37,"2/27/20",2
38,"2/28/20",2
39,"2/29/20",2
40,"3/1/20",3
41,"3/2/20",3
42,"3/3/20",4
43,"3/4/20",6
44,"3/5/20",14
45,"3/6/20",28
46,"3/7/20",72
47,"3/8/20",91
48,"3/9/20",96
49,"3/10/20",110
50,"3/11/20",132
51,"3/12/20",161
52,"3/13/20",222
53,"3/14/20",295
54,"3/15/20",363
55,"3/16/20",512
56,"3/17/20",760
57,"3/18/20",1019
58,"3/19/20",1297
59,"3/20/20",1684
60,"3/21/20",2006
61,"3/22/20",2292
62,"3/23/20",2900
63,"3/24/20",3618
64,"3/25/20",4366
65,"3/26/20",5301
66,"3/27/20",6242
67,"3/28/20",6899
68,"3/29/20",7422
69,"3/30/20",8660
70,"3/31/20",9924
71,"4/1/20",11263
72,"4/2/20",12542
73,"4/3/20",14028
74,"4/4/20",15191
75,"4/5/20",16172
76,"4/6/20",18103
77,"4/7/20",20127
78,"4/8/20",21990
79,"4/9/20",23977
80,"4/10/20",26037
81,"4/11/20",27338
82,"4/12/20",28271
83,"4/13/20",30294
84,"4/14/20",33173
85,"4/15/20",35778
86,"4/16/20",38170
87,"4/17/20",41168
88,"4/18/20",42657
89,"4/19/20",43750
90,"4/20/20",46442
91,"4/21/20",48637
92,"4/22/20",51348
93,"4/23/20",53755
94,"4/24/20",56039
95,"4/25/20",57537
96,"4/26/20",58384
97,"4/27/20",60516
98,"4/28/20",62625
99,"4/29/20",64816
100,"4/30/20",66867
101,"5/1/20",68953
102,"5/2/20",69984
103,"5/3/20",70723
104,"5/4/20",72605
105,"5/5/20",74343
106,"5/6/20",76048
107,"5/7/20",77733
108,"5/8/20",79190
109,"5/9/20",79882
110,"5/10/20",80277
111,"5/11/20",81588
112,"5/12/20",83041
113,"5/13/20",84358
114,"5/14/20",85674
115,"5/15/20",86782
116,"5/16/20",87433
117,"5/17/20",87805
118,"5/18/20",89125
119,"5/19/20",90202
120,"5/20/20",91231
121,"5/21/20",92209
122,"5/22/20",93092
123,"5/23/20",93492
124,"5/24/20",93808
125,"5/25/20",94023
126,"5/26/20",94907
127,"5/27/20",95617
128,"5/28/20",96268
129,"5/29/20",96805
130,"5/30/20",97090
131,"5/31/20",97260
132,"6/1/20",97774
133,"6/2/20",98228
134,"6/3/20",98697
135,"6/4/20",99079
136,"6/5/20",99419
137,"6/6/20",99571
138,"6/7/20",99725
139,"6/8/20",100090
140,"6/9/20",100441
141,"6/10/20",100707
142,"6/11/20",100946
143,"6/12/20",101209
144,"6/13/20",101314
145,"6/14/20",101398
146,"6/15/20",101637
147,"6/16/20",101847
148,"6/17/20",102106
149,"6/18/20",102367
150,"6/19/20",102547
151,"6/20/20",102644
152,"6/21/20",102727
153,"6/22/20",102957
154,"6/23/20",103153
155,"6/24/20",103368
156,"6/25/20",103582
157,"6/26/20",103790
158,"6/27/20",103932
159,"6/28/20",104005
160,"6/29/20",104213
161,"6/30/20",104440
162,"7/1/20",104667
163,"7/2/20",104901
164,"7/3/20",105010
165,"7/4/20",105077
166,"7/5/20",105192
167,"7/6/20",105442
168,"7/7/20",105695
169,"7/8/20",105926
170,"7/9/20",106201
171,"7/10/20",106447
172,"7/11/20",106573
173,"7/12/20",106675
174,"7/13/20",106977
175,"7/14/20",107214
176,"7/15/20",107532
177,"7/16/20",107778
178,"7/17/20",108023
179,"7/18/20",108158
180,"7/19/20",108252
181,"7/20/20",108545
182,"7/21/20",108836
183,"7/22/20",109126
184,"7/23/20",109428
185,"7/24/20",109710
186,"7/25/20",109894
187,"7/26/20",110037
188,"7/27/20",110422
189,"7/28/20",110778
190,"7/29/20",111129
191,"7/30/20",111483
192,"7/31/20",111836
193,"8/1/20",111988
194,"8/2/20",112109
195,"8/3/20",112490
196,"8/4/20",112814
197,"8/5/20",113161
198,"8/6/20",113543
199,"8/7/20",113868
200,"8/8/20",114050
201,"8/9/20",114152
202,"8/10/20",114532
203,"8/11/20",114839
204,"8/12/20",115152
205,"8/13/20",115521
206,"8/14/20",115882
207,"8/15/20",116058
208,"8/16/20",116179
209,"8/17/20",116561
210,"8/18/20",116958
211,"8/19/20",117301
212,"8/20/20",117662
213,"8/21/20",117962
214,"8/22/20",118127
215,"8/23/20",118237
216,"8/24/20",118650
217,"8/25/20",119054
218,"8/26/20",119455
219,"8/27/20",119832
220,"8/28/20",120208
221,"8/29/20",120411
222,"8/30/20",120568
