Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",2
51,"3/12/20",3
52,"3/13/20",24
53,"3/14/20",36
54,"3/15/20",45
55,"3/16/20",76
56,"3/17/20",90
57,"3/18/20",159
58,"3/19/20",314
59,"3/20/20",471
60,"3/21/20",625
61,"3/22/20",1131
62,"3/23/20",1450
63,"3/24/20",1936
64,"3/25/20",2461
65,"3/26/20",3025
66,"3/27/20",3840
67,"3/28/20",4875
68,"3/29/20",5735
69,"3/30/20",6786
70,"3/31/20",7931
71,"4/1/20",9675
72,"4/2/20",11182
73,"4/3/20",13147
74,"4/4/20",14652
75,"4/5/20",16185
76,"4/6/20",17729
77,"4/7/20",19526
78,"4/8/20",20950
79,"4/9/20",22166
80,"4/10/20",23142
81,"4/11/20",24360
82,"4/12/20",25039
83,"4/13/20",26474
84,"4/14/20",27885
85,"4/15/20",28978
86,"4/16/20",29800
87,"4/17/20",31154
88,"4/18/20",31957
89,"4/19/20",32612
90,"4/20/20",33255
91,"4/21/20",33979
92,"4/22/20",35367
93,"4/23/20",36806
94,"4/24/20",38291
95,"4/25/20",38770
96,"4/26/20",39513
97,"4/27/20",40014
98,"4/28/20",41138
99,"4/29/20",42340
100,"4/30/20",43446
101,"5/1/20",44516
102,"5/2/20",45408
103,"5/3/20",46029
104,"5/4/20",46326
105,"5/5/20",46850
106,"5/6/20",47674
107,"5/7/20",48348
108,"5/8/20",49163
109,"5/9/20",49655
110,"5/10/20",50064
111,"5/11/20",50605
112,"5/12/20",51188
113,"5/13/20",51735
114,"5/14/20",53074
115,"5/15/20",53713
116,"5/16/20",54218
117,"5/17/20",54875
118,"5/18/20",55793
119,"5/19/20",56452
120,"5/20/20",57301
121,"5/21/20",57946
122,"5/22/20",58495
123,"5/23/20",58985
124,"5/24/20",59332
125,"5/25/20",59556
126,"5/26/20",59910
127,"5/27/20",60528
128,"5/28/20",61046
129,"5/29/20",61801
130,"5/30/20",62189
131,"5/31/20",62669
132,"6/1/20",62886
133,"6/2/20",63198
134,"6/3/20",63612
135,"6/4/20",63949
136,"6/5/20",64799
137,"6/6/20",64892
138,"6/7/20",64947
139,"6/8/20",65081
140,"6/9/20",65144
141,"6/10/20",65159
142,"6/11/20",65419
143,"6/12/20",65636
144,"6/13/20",65792
145,"6/14/20",66007
146,"6/15/20",66051
147,"6/16/20",66234
148,"6/17/20",66457
149,"6/18/20",66757
150,"6/19/20",67056
151,"6/20/20",67494
152,"6/21/20",67658
153,"6/22/20",67898
154,"6/23/20",68133
155,"6/24/20",68490
156,"6/25/20",68919
157,"6/26/20",69248
158,"6/27/20",69589
159,"6/28/20",69850
160,"6/29/20",70124
161,"6/30/20",70624
162,"7/1/20",71051
163,"7/2/20",71633
164,"7/3/20",72111
165,"7/4/20",72506
166,"7/5/20",72850
167,"7/6/20",73167
168,"7/7/20",73773
169,"7/8/20",74417
170,"7/9/20",75024
171,"7/10/20",75644
172,"7/11/20",76311
173,"7/12/20",76707
174,"7/13/20",77119
175,"7/14/20",77812
176,"7/15/20",78857
177,"7/16/20",79755
178,"7/17/20",80534
179,"7/18/20",81250
180,"7/19/20",81761
181,"7/20/20",82276
182,"7/21/20",82978
183,"7/22/20",83690
184,"7/23/20",84378
185,"7/24/20",85003
186,"7/25/20",85517
187,"7/26/20",86586
188,"7/27/20",87080
189,"7/28/20",87805
190,"7/29/20",88780
191,"7/30/20",89684
192,"7/31/20",90508
193,"8/1/20",91248
194,"8/2/20",91664
195,"8/3/20",92257
196,"8/4/20",93059
197,"8/5/20",93812
198,"8/6/20",94581
199,"8/7/20",95391
200,"8/8/20",96112
201,"8/9/20",96642
202,"8/10/20",97217
203,"8/11/20",98123
204,"8/12/20",98587
205,"8/13/20",99737
206,"8/14/20",100606
207,"8/15/20",101653
208,"8/16/20",102132
209,"8/17/20",102621
210,"8/18/20",103274
211,"8/19/20",103994
212,"8/20/20",104526
213,"8/21/20",104526
214,"8/22/20",105951
215,"8/23/20",106712
216,"8/24/20",107580
217,"8/25/20",108526
218,"8/26/20",109387
219,"8/27/20",110240
220,"8/28/20",111035
221,"8/29/20",111035
222,"8/30/20",112413
223,"8/31/20",112912
