Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",1
46,"3/7/20",1
47,"3/8/20",1
48,"3/9/20",2
49,"3/10/20",2
50,"3/11/20",5
51,"3/12/20",9
52,"3/13/20",14
53,"3/14/20",21
54,"3/15/20",21
55,"3/16/20",53
56,"3/17/20",59
57,"3/18/20",77
58,"3/19/20",89
59,"3/20/20",113
60,"3/21/20",134
61,"3/22/20",167
62,"3/23/20",234
63,"3/24/20",261
64,"3/25/20",286
65,"3/26/20",344
66,"3/27/20",396
67,"3/28/20",441
68,"3/29/20",503
69,"3/30/20",576
70,"3/31/20",629
71,"4/1/20",689
72,"4/2/20",742
73,"4/3/20",788
74,"4/4/20",865
75,"4/5/20",935
76,"4/6/20",986
77,"4/7/20",1069
78,"4/8/20",1154
79,"4/9/20",1240
80,"4/10/20",1336
81,"4/11/20",1427
82,"4/12/20",1621
83,"4/13/20",1621
84,"4/14/20",1695
85,"4/15/20",1809
86,"4/16/20",1809
87,"4/17/20",2070
88,"4/18/20",2209
89,"4/19/20",2356
90,"4/20/20",2470
91,"4/21/20",2567
92,"4/22/20",2722
93,"4/23/20",2942
94,"4/24/20",3185
95,"4/25/20",3446
96,"4/26/20",3602
97,"4/27/20",3811
98,"4/28/20",4181
99,"4/29/20",4644
100,"4/30/20",5136
101,"5/1/20",5730
102,"5/2/20",6232
103,"5/3/20",6663
104,"5/4/20",7234
105,"5/5/20",7851
106,"5/6/20",8579
107,"5/7/20",9365
108,"5/8/20",10088
109,"5/9/20",10790
110,"5/10/20",11271
111,"5/11/20",11799
112,"5/12/20",12494
113,"5/13/20",12917
114,"5/14/20",13435
115,"5/15/20",14240
116,"5/16/20",14969
117,"5/17/20",15668
118,"5/18/20",16372
119,"5/19/20",17029
120,"5/20/20",17670
121,"5/21/20",18200
122,"5/22/20",19005
123,"5/23/20",19845
124,"5/24/20",20573
125,"5/25/20",21315
126,"5/26/20",21960
127,"5/27/20",22464
128,"5/28/20",22947
129,"5/29/20",23531
130,"5/30/20",24190
131,"5/31/20",24850
132,"6/1/20",25208
133,"6/2/20",25508
134,"6/3/20",25870
135,"6/4/20",26273
136,"6/5/20",26980
137,"6/6/20",27501
138,"6/7/20",27886
139,"6/8/20",28224
140,"6/9/20",28523
141,"6/10/20",28869
142,"6/11/20",29316
143,"6/12/20",29795
144,"6/13/20",30172
145,"6/14/20",30471
146,"6/15/20",30693
147,"6/16/20",30882
148,"6/17/20",31296
149,"6/18/20",31675
150,"6/19/20",32031
151,"6/20/20",32467
152,"6/21/20",32920
153,"6/22/20",33227
154,"6/23/20",33469
155,"6/24/20",33763
156,"6/25/20",34123
157,"6/26/20",34616
158,"6/27/20",35033
159,"6/28/20",35549
160,"6/29/20",35861
161,"6/30/20",36303
162,"7/1/20",36716
163,"7/2/20",37210
164,"7/3/20",37624
165,"7/4/20",37624
166,"7/5/20",38136
167,"7/6/20",38569
168,"7/7/20",39133
169,"7/8/20",39589
170,"7/9/20",40163
171,"7/10/20",40767
172,"7/11/20",41571
173,"7/12/20",42281
174,"7/13/20",42772
175,"7/14/20",43170
176,"7/15/20",43742
177,"7/16/20",44347
178,"7/17/20",45013
179,"7/18/20",45470
180,"7/19/20",46204
181,"7/20/20",47107
182,"7/21/20",47457
183,"7/22/20",47961
184,"7/23/20",48721
185,"7/24/20",49488
186,"7/25/20",50291
187,"7/26/20",51153
188,"7/27/20",51803
189,"7/28/20",52281
190,"7/29/20",52947
191,"7/30/20",53692
192,"7/31/20",54463
193,"8/1/20",55188
194,"8/2/20",55947
195,"8/3/20",56560
196,"8/4/20",57162
197,"8/5/20",57779
198,"8/6/20",58640
199,"8/7/20",59185
200,"8/8/20",60101
201,"8/9/20",60898
202,"8/10/20",61516
203,"8/11/20",61839
204,"8/12/20",62303
205,"8/13/20",62993
206,"8/14/20",63723
207,"8/15/20",64413
208,"8/16/20",65152
209,"8/17/20",65716
210,"8/18/20",66092
211,"8/19/20",66618
212,"8/20/20",67308
213,"8/21/20",68133
214,"8/22/20",68867
215,"8/23/20",69584
216,"8/24/20",70298
217,"8/25/20",70707
218,"8/26/20",71236
219,"8/27/20",72390
220,"8/28/20",73240
221,"8/29/20",74257
222,"8/30/20",75189
223,"8/31/20",75864
224,"9/1/20",76355
