Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",1
52,"3/13/20",6
53,"3/14/20",6
54,"3/15/20",6
55,"3/16/20",12
56,"3/17/20",21
57,"3/18/20",34
58,"3/19/20",50
59,"3/20/20",80
60,"3/21/20",140
61,"3/22/20",207
62,"3/23/20",249
63,"3/24/20",320
64,"3/25/20",377
65,"3/26/20",485
66,"3/27/20",579
67,"3/28/20",663
68,"3/29/20",759
69,"3/30/20",847
70,"3/31/20",937
71,"4/1/20",1073
72,"4/2/20",1177
73,"4/3/20",1358
74,"4/4/20",1455
75,"4/5/20",1638
76,"4/6/20",1738
77,"4/7/20",1915
78,"4/8/20",2003
79,"4/9/20",2260
80,"4/10/20",2469
81,"4/11/20",2642
82,"4/12/20",2781
83,"4/13/20",2942
84,"4/14/20",3087
85,"4/15/20",3360
86,"4/16/20",3624
87,"4/17/20",3793
88,"4/18/20",3974
89,"4/19/20",4274
90,"4/20/20",4512
91,"4/21/20",4716
92,"4/22/20",4894
93,"4/23/20",5153
94,"4/24/20",5434
95,"4/25/20",5718
96,"4/26/20",5911
97,"4/27/20",6094
98,"4/28/20",6342
99,"4/29/20",6569
100,"4/30/20",6815
101,"5/1/20",7212
102,"5/2/20",7441
103,"5/3/20",7550
104,"5/4/20",7877
105,"5/5/20",8207
106,"5/6/20",8424
107,"5/7/20",8686
108,"5/8/20",9090
109,"5/9/20",9378
110,"5/10/20",9501
111,"5/11/20",9674
112,"5/12/20",9908
113,"5/13/20",10090
114,"5/14/20",10483
115,"5/15/20",10801
116,"5/16/20",11123
117,"5/17/20",11296
118,"5/18/20",11432
119,"5/19/20",11704
120,"5/20/20",11967
121,"5/21/20",12222
122,"5/22/20",12625
123,"5/23/20",13005
124,"5/24/20",13260
125,"5/25/20",13458
126,"5/26/20",13731
127,"5/27/20",14044
128,"5/28/20",14372
129,"5/29/20",14793
130,"5/30/20",15229
131,"5/31/20",15523
132,"6/1/20",15752
133,"6/2/20",16041
134,"6/3/20",16322
135,"6/4/20",16560
136,"6/5/20",16769
137,"6/6/20",17039
138,"6/7/20",17270
139,"6/8/20",17768
140,"6/9/20",18123
141,"6/10/20",18483
142,"6/11/20",18483
143,"6/12/20",19091
144,"6/13/20",19348
145,"6/14/20",19516
146,"6/15/20",19799
147,"6/16/20",20152
148,"6/17/20",20641
149,"6/18/20",20641
150,"6/19/20",20641
151,"6/20/20",20641
152,"6/21/20",20641
153,"6/22/20",22329
154,"6/23/20",22898
155,"6/24/20",23424
156,"6/25/20",24516
157,"6/26/20",25066
158,"6/27/20",25531
159,"6/28/20",25892
160,"6/29/20",26567
161,"6/30/20",27247
162,"7/1/20",27900
163,"7/2/20",28770
164,"7/3/20",29684
165,"7/4/20",30674
166,"7/5/20",30900
167,"7/6/20",31257
168,"7/7/20",32214
169,"7/8/20",32888
170,"7/9/20",33591
171,"7/10/20",34622
172,"7/11/20",35419
173,"7/12/20",36287
174,"7/13/20",36680
175,"7/14/20",37542
176,"7/15/20",38567
177,"7/16/20",39797
178,"7/17/20",40829
179,"7/18/20",41846
180,"7/19/20",42638
181,"7/20/20",43889
182,"7/21/20",45524
183,"7/22/20",47071
184,"7/23/20",48053
185,"7/24/20",49585
186,"7/25/20",50981
187,"7/26/20",52154
188,"7/27/20",52781
189,"7/28/20",54085
190,"7/29/20",55804
191,"7/30/20",57579
192,"7/31/20",58747
193,"8/1/20",59881
194,"8/2/20",60553
195,"8/3/20",61125
196,"8/4/20",62199
197,"8/5/20",63444
198,"8/6/20",64400
199,"8/7/20",65436
200,"8/8/20",66646
201,"8/9/20",67173
202,"8/10/20",67649
203,"8/11/20",68293
204,"8/12/20",69374
205,"8/13/20",69986
206,"8/14/20",70930
207,"8/15/20",71755
208,"8/16/20",72136
209,"8/17/20",72412
210,"8/18/20",73207
211,"8/19/20",74555
212,"8/20/20",75449
213,"8/21/20",76323
214,"8/22/20",77268
215,"8/23/20",77894
216,"8/24/20",78405
217,"8/25/20",79206
218,"8/26/20",80110
219,"8/27/20",80695
220,"8/28/20",81294
221,"8/29/20",82029
222,"8/30/20",82676
223,"8/31/20",82950
