Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",1
42,"3/3/20",2
43,"3/4/20",2
44,"3/5/20",2
45,"3/6/20",2
46,"3/7/20",2
47,"3/8/20",4
48,"3/9/20",4
49,"3/10/20",4
50,"3/11/20",5
51,"3/12/20",6
52,"3/13/20",6
53,"3/14/20",7
54,"3/15/20",7
55,"3/16/20",17
56,"3/17/20",26
57,"3/18/20",37
58,"3/19/20",42
59,"3/20/20",53
60,"3/21/20",61
61,"3/22/20",73
62,"3/23/20",101
63,"3/24/20",101
64,"3/25/20",108
65,"3/26/20",137
66,"3/27/20",158
67,"3/28/20",187
68,"3/29/20",214
69,"3/30/20",314
70,"3/31/20",357
71,"4/1/20",367
72,"4/2/20",479
73,"4/3/20",479
74,"4/4/20",540
75,"4/5/20",621
76,"4/6/20",715
77,"4/7/20",715
78,"4/8/20",747
79,"4/9/20",819
80,"4/10/20",819
81,"4/11/20",885
82,"4/12/20",929
83,"4/13/20",985
84,"4/14/20",922
85,"4/15/20",1139
86,"4/16/20",1139
87,"4/17/20",1287
88,"4/18/20",1342
89,"4/19/20",1390
90,"4/20/20",1447
91,"4/21/20",1490
92,"4/22/20",1588
93,"4/23/20",1670
94,"4/24/20",1720
95,"4/25/20",1797
96,"4/26/20",1864
97,"4/27/20",1938
98,"4/28/20",2010
99,"4/29/20",2058
100,"4/30/20",2146
101,"5/1/20",2310
102,"5/2/20",2429
103,"5/3/20",2518
104,"5/4/20",2588
105,"5/5/20",2636
106,"5/6/20",2741
107,"5/7/20",2843
108,"5/8/20",2947
109,"5/9/20",3011
110,"5/10/20",3071
111,"5/11/20",3160
112,"5/12/20",3239
113,"5/13/20",3299
114,"5/14/20",3382
115,"5/15/20",3453
116,"5/16/20",3556
117,"5/17/20",3596
118,"5/18/20",3652
119,"5/19/20",3721
120,"5/20/20",3868
121,"5/21/20",3935
122,"5/22/20",4014
123,"5/23/20",4089
124,"5/24/20",4149
125,"5/25/20",4197
126,"5/26/20",4231
127,"5/27/20",4286
128,"5/28/20",4389
129,"5/29/20",4492
130,"5/30/20",4492
131,"5/31/20",4651
132,"6/1/20",4685
133,"6/2/20",4749
134,"6/3/20",4795
135,"6/4/20",4876
136,"6/5/20",4953
137,"6/6/20",5019
138,"6/7/20",5043
139,"6/8/20",5079
140,"6/9/20",5079
141,"6/10/20",5178
142,"6/11/20",5209
143,"6/12/20",5251
144,"6/13/20",5299
145,"6/14/20",5318
146,"6/15/20",5345
147,"6/16/20",5364
148,"6/17/20",5436
149,"6/18/20",5450
150,"6/19/20",5486
151,"6/20/20",5518
152,"6/21/20",5544
153,"6/22/20",5558
154,"6/23/20",5571
155,"6/24/20",5598
156,"6/25/20",5638
157,"6/26/20",5671
158,"6/27/20",5717
159,"6/28/20",5747
160,"6/29/20",5760
161,"6/30/20",5782
162,"7/1/20",5802
163,"7/2/20",5822
164,"7/3/20",5857
165,"7/4/20",5872
166,"7/5/20",5897
167,"7/6/20",5914
168,"7/7/20",5932
169,"7/8/20",5952
170,"7/9/20",5973
171,"7/10/20",5991
172,"7/11/20",6024
173,"7/12/20",6054
174,"7/13/20",6068
175,"7/14/20",6091
176,"7/15/20",6113
177,"7/16/20",6139
178,"7/17/20",6165
179,"7/18/20",6188
180,"7/19/20",6203
181,"7/20/20",6249
182,"7/21/20",6262
183,"7/22/20",6295
184,"7/23/20",6318
185,"7/24/20",6375
186,"7/25/20",6415
187,"7/26/20",6436
188,"7/27/20",6441
189,"7/28/20",6500
190,"7/29/20",6513
191,"7/30/20",6544
192,"7/31/20",6583
193,"8/1/20",6614
194,"8/2/20",6634
195,"8/3/20",6660
196,"8/4/20",6693
197,"8/5/20",6719
198,"8/6/20",6742
199,"8/7/20",6779
200,"8/8/20",6818
201,"8/9/20",6835
202,"8/10/20",6840
203,"8/11/20",6861
204,"8/12/20",6887
205,"8/13/20",6921
206,"8/14/20",6964
207,"8/15/20",6980
208,"8/16/20",6988
209,"8/17/20",7004
210,"8/18/20",7017
211,"8/19/20",7036
212,"8/20/20",7050
213,"8/21/20",7071
214,"8/22/20",7094
215,"8/23/20",7107
216,"8/24/20",7140
217,"8/25/20",7156
218,"8/26/20",7156
219,"8/27/20",7194
220,"8/28/20",7216
221,"8/29/20",7246
222,"8/30/20",7254
223,"8/31/20",7275
224,"9/1/20",7297
225,"9/2/20",7309
