Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",2
45,"3/6/20",2
46,"3/7/20",4
47,"3/8/20",5
48,"3/9/20",5
49,"3/10/20",15
50,"3/11/20",23
51,"3/12/20",29
52,"3/13/20",49
53,"3/14/20",69
54,"3/15/20",72
55,"3/16/20",176
56,"3/17/20",250
57,"3/18/20",397
58,"3/19/20",741
59,"3/20/20",890
60,"3/21/20",1327
61,"3/22/20",1914
62,"3/23/20",2844
63,"3/24/20",3675
64,"3/25/20",4402
65,"3/26/20",6876
66,"3/27/20",8825
67,"3/28/20",11124
68,"3/29/20",13386
69,"3/30/20",16636
70,"3/31/20",18696
71,"4/1/20",22255
72,"4/2/20",25590
73,"4/3/20",29895
74,"4/4/20",34124
75,"4/5/20",37505
76,"4/6/20",41090
77,"4/7/20",44416
78,"4/8/20",47437
79,"4/9/20",51027
80,"4/10/20",54588
81,"4/11/20",58151
82,"4/12/20",61850
83,"4/13/20",64584
84,"4/14/20",68824
85,"4/15/20",71030
86,"4/16/20",75317
87,"4/17/20",78467
88,"4/18/20",81420
89,"4/19/20",85301
90,"4/20/20",88722
91,"4/21/20",92387
92,"4/22/20",95914
93,"4/23/20",100025
94,"4/24/20",102196
95,"4/25/20",105498
96,"4/26/20",109038
97,"4/27/20",111188
98,"4/28/20",113856
99,"4/29/20",116365
100,"4/30/20",118652
101,"5/1/20",121203
102,"5/2/20",123735
103,"5/3/20",126763
104,"5/4/20",128296
105,"5/5/20",130628
106,"5/6/20",131928
107,"5/7/20",134037
108,"5/8/20",135899
109,"5/9/20",137464
110,"5/10/20",138823
111,"5/11/20",140289
112,"5/12/20",141016
113,"5/13/20",141673
114,"5/14/20",142834
115,"5/15/20",144124
116,"5/16/20",145233
117,"5/17/20",146653
118,"5/18/20",148401
119,"5/19/20",149533
120,"5/20/20",150976
121,"5/21/20",151802
122,"5/22/20",152818
123,"5/23/20",153383
124,"5/24/20",154402
125,"5/25/20",155343
126,"5/26/20",156030
127,"5/27/20",156909
128,"5/28/20",157485
129,"5/29/20",159152
130,"5/30/20",159922
131,"5/31/20",160760
132,"6/1/20",161246
133,"6/2/20",161904
134,"6/3/20",162445
135,"6/4/20",162923
136,"6/5/20",163748
137,"6/6/20",164314
138,"6/7/20",164593
139,"6/8/20",164941
140,"6/9/20",165257
141,"6/10/20",165823
142,"6/11/20",166318
143,"6/12/20",166685
144,"6/13/20",167141
145,"6/14/20",167425
146,"6/15/20",167669
147,"6/16/20",168022
148,"6/17/20",168323
149,"6/18/20",168748
150,"6/19/20",169167
151,"6/20/20",169522
152,"6/21/20",169843
153,"6/22/20",170148
154,"6/23/20",170506
155,"6/24/20",170683
156,"6/25/20",171018
157,"6/26/20",171430
158,"6/27/20",171741
159,"6/28/20",172066
160,"6/29/20",172199
161,"6/30/20",172633
162,"7/1/20",172934
163,"7/2/20",173411
164,"7/3/20",173829
165,"7/4/20",174132
166,"7/5/20",174524
167,"7/6/20",174766
168,"7/7/20",175089
169,"7/8/20",175288
170,"7/9/20",175567
171,"7/10/20",175964
172,"7/11/20",176332
173,"7/12/20",176708
174,"7/13/20",176995
175,"7/14/20",177450
176,"7/15/20",177863
177,"7/16/20",178137
178,"7/17/20",178234
179,"7/18/20",178523
180,"7/19/20",178515
181,"7/20/20",178755
182,"7/21/20",179106
183,"7/22/20",179549
184,"7/23/20",179834
185,"7/24/20",180332
186,"7/25/20",180881
187,"7/26/20",181415
188,"7/27/20",181910
189,"7/28/20",182457
190,"7/29/20",182797
191,"7/30/20",183205
192,"7/31/20",183953
193,"8/1/20",184358
194,"8/2/20",184709
195,"8/3/20",185017
196,"8/4/20",185410
197,"8/5/20",185810
198,"8/6/20",186233
199,"8/7/20",186640
200,"8/8/20",187033
201,"8/9/20",187399
202,"8/10/20",187705
203,"8/11/20",188184
204,"8/12/20",188703
205,"8/13/20",189397
206,"8/14/20",190016
207,"8/15/20",190332
208,"8/16/20",190372
209,"8/17/20",190732
210,"8/18/20",191113
211,"8/19/20",191483
212,"8/20/20",191624
213,"8/21/20",191955
214,"8/22/20",192510
215,"8/23/20",192691
216,"8/24/20",192970
217,"8/25/20",193315
218,"8/26/20",193652
219,"8/27/20",194002
220,"8/28/20",194407
221,"8/29/20",194782
222,"8/30/20",195098
