Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",1
42,"3/3/20",1
43,"3/4/20",1
44,"3/5/20",1
45,"3/6/20",2
46,"3/7/20",2
47,"3/8/20",2
48,"3/9/20",7
49,"3/10/20",7
50,"3/11/20",9
51,"3/12/20",17
52,"3/13/20",22
53,"3/14/20",32
54,"3/15/20",33
55,"3/16/20",39
56,"3/17/20",62
57,"3/18/20",104
58,"3/19/20",152
59,"3/20/20",208
60,"3/21/20",287
61,"3/22/20",325
62,"3/23/20",423
63,"3/24/20",544
64,"3/25/20",661
65,"3/26/20",791
66,"3/27/20",963
67,"3/28/20",1105
68,"3/29/20",1234
69,"3/30/20",1426
70,"3/31/20",1578
71,"4/1/20",1855
72,"4/2/20",2093
73,"4/3/20",2380
74,"4/4/20",2635
75,"4/5/20",2891
76,"4/6/20",3153
77,"4/7/20",3453
78,"4/8/20",3700
79,"4/9/20",3993
80,"4/10/20",4230
81,"4/11/20",4535
82,"4/12/20",4839
83,"4/13/20",5024
84,"4/14/20",5195
85,"4/15/20",5484
86,"4/16/20",5877
87,"4/17/20",6171
88,"4/18/20",6524
89,"4/19/20",6818
90,"4/20/20",7033
91,"4/21/20",7331
92,"4/22/20",7728
93,"4/23/20",8200
94,"4/24/20",8634
95,"4/25/20",8929
96,"4/26/20",9339
97,"4/27/20",9782
98,"4/28/20",10144
99,"4/29/20",10711
100,"4/30/20",11120
101,"5/1/20",11585
102,"5/2/20",11929
103,"5/3/20",12167
104,"5/4/20",12483
105,"5/5/20",12928
106,"5/6/20",13541
107,"5/7/20",14051
108,"5/8/20",14516
109,"5/9/20",15002
110,"5/10/20",15274
111,"5/11/20",15601
112,"5/12/20",16025
113,"5/13/20",16733
114,"5/14/20",17527
115,"5/15/20",18269
116,"5/16/20",18754
117,"5/17/20",19161
118,"5/18/20",19684
119,"5/19/20",20189
120,"5/20/20",21014
121,"5/21/20",21802
122,"5/22/20",22750
123,"5/23/20",23323
124,"5/24/20",23876
125,"5/25/20",24337
126,"5/26/20",24952
127,"5/27/20",25613
128,"5/28/20",26749
129,"5/29/20",27826
130,"5/30/20",28736
131,"5/31/20",29514
132,"6/1/20",30153
133,"6/2/20",30966
134,"6/3/20",32198
135,"6/4/20",33454
136,"6/5/20",34771
137,"6/6/20",35721
138,"6/7/20",36834
139,"6/8/20",37664
140,"6/9/20",38528
141,"6/10/20",39805
142,"6/11/20",41435
143,"6/12/20",42932
144,"6/13/20",44295
145,"6/14/20",45386
146,"6/15/20",46348
147,"6/16/20",47216
148,"6/17/20",48595
149,"6/18/20",50214
150,"6/19/20",51710
151,"6/20/20",53009
152,"6/21/20",54129
153,"6/22/20",55157
154,"6/23/20",56442
155,"6/24/20",57817
156,"6/25/20",59437
157,"6/26/20",61207
158,"6/27/20",62736
159,"6/28/20",64069
160,"6/29/20",65331
161,"6/30/20",67226
162,"7/1/20",68830
163,"7/2/20",70905
164,"7/3/20",72368
165,"7/4/20",73779
166,"7/5/20",75216
167,"7/6/20",76609
168,"7/7/20",78207
169,"7/8/20",80209
170,"7/9/20",82222
171,"7/10/20",84493
172,"7/11/20",86492
173,"7/12/20",88316
174,"7/13/20",90397
175,"7/14/20",92334
176,"7/15/20",94365
177,"7/16/20",96331
178,"7/17/20",98698
179,"7/18/20",100494
180,"7/19/20",101815
181,"7/20/20",103730
182,"7/21/20",105565
183,"7/22/20",108017
184,"7/23/20",110269
185,"7/24/20",112320
186,"7/25/20",114127
187,"7/26/20",115718
188,"7/27/20",117767
189,"7/28/20",119375
190,"7/29/20",121739
191,"7/30/20",123690
192,"7/31/20",125678
193,"8/1/20",127080
194,"8/2/20",128450
195,"8/3/20",130030
196,"8/4/20",131257
197,"8/5/20",133210
198,"8/6/20",135076
199,"8/7/20",136862
200,"8/8/20",138227
201,"8/9/20",139040
202,"8/10/20",140375
203,"8/11/20",141736
204,"8/12/20",143513
205,"8/13/20",145082
206,"8/14/20",146679
207,"8/15/20",148020
208,"8/16/20",148906
209,"8/17/20",150163
210,"8/18/20",151542
211,"8/19/20",153591
212,"8/20/20",155580
213,"8/21/20",157370
214,"8/22/20",158889
215,"8/23/20",160106
216,"8/24/20",161601
217,"8/25/20",162995
218,"8/26/20",165156
219,"8/27/20",167143
220,"8/28/20",168682
221,"8/29/20",170377
222,"8/30/20",171487
223,"8/31/20",172879
