Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",1
52,"3/13/20",1
53,"3/14/20",1
54,"3/15/20",1
55,"3/16/20",1
56,"3/17/20",3
57,"3/18/20",6
58,"3/19/20",19
59,"3/20/20",26
60,"3/21/20",28
61,"3/22/20",28
62,"3/23/20",30
63,"3/24/20",36
64,"3/25/20",45
65,"3/26/20",51
66,"3/27/20",68
67,"3/28/20",94
68,"3/29/20",98
69,"3/30/20",109
70,"3/31/20",122
71,"4/1/20",142
72,"4/2/20",159
73,"4/3/20",173
74,"4/4/20",186
75,"4/5/20",207
76,"4/6/20",225
77,"4/7/20",237
78,"4/8/20",251
79,"4/9/20",269
80,"4/10/20",278
81,"4/11/20",293
82,"4/12/20",308
83,"4/13/20",331
84,"4/14/20",341
85,"4/15/20",365
86,"4/16/20",393
87,"4/17/20",393
88,"4/18/20",528
89,"4/19/20",585
90,"4/20/20",627
91,"4/21/20",644
92,"4/22/20",679
93,"4/23/20",709
94,"4/24/20",748
95,"4/25/20",803
96,"4/26/20",867
97,"4/27/20",942
98,"4/28/20",991
99,"4/29/20",1033
100,"4/30/20",1067
101,"5/1/20",1107
102,"5/2/20",1153
103,"5/3/20",1191
104,"5/4/20",1225
105,"5/5/20",1266
106,"5/6/20",1323
107,"5/7/20",1371
108,"5/8/20",1425
109,"5/9/20",1464
110,"5/10/20",1491
111,"5/11/20",1518
112,"5/12/20",1571
113,"5/13/20",1647
114,"5/14/20",1712
115,"5/15/20",1761
116,"5/16/20",1848
117,"5/17/20",1900
118,"5/18/20",1931
119,"5/19/20",1994
120,"5/20/20",2095
121,"5/21/20",2229
122,"5/22/20",2317
123,"5/23/20",2365
124,"5/24/20",2418
125,"5/25/20",2457
126,"5/26/20",2422
127,"5/27/20",2439
128,"5/28/20",2481
129,"5/29/20",2520
130,"5/30/20",2554
131,"5/31/20",2577
132,"6/1/20",2625
133,"6/2/20",2646
134,"6/3/20",2679
135,"6/4/20",2706
136,"6/5/20",2745
137,"6/6/20",2816
138,"6/7/20",2861
139,"6/8/20",2880
140,"6/9/20",2901
141,"6/10/20",2941
142,"6/11/20",2980
143,"6/12/20",3016
144,"6/13/20",3058
145,"6/14/20",3080
146,"6/15/20",3101
147,"6/16/20",3124
148,"6/17/20",3166
149,"6/18/20",3193
150,"6/19/20",3226
151,"6/20/20",3251
152,"6/21/20",3288
153,"6/22/20",3313
154,"6/23/20",3320
155,"6/24/20",3362
156,"6/25/20",3393
157,"6/26/20",3421
158,"6/27/20",3458
159,"6/28/20",3495
160,"6/29/20",3539
161,"6/30/20",3576
162,"7/1/20",3615
163,"7/2/20",3657
164,"7/3/20",3722
165,"7/4/20",3779
166,"7/5/20",3816
167,"7/6/20",3849
168,"7/7/20",3898
169,"7/8/20",3971
170,"7/9/20",4071
171,"7/10/20",4155
172,"7/11/20",4243
173,"7/12/20",4334
174,"7/13/20",4442
175,"7/14/20",4493
176,"7/15/20",4565
177,"7/16/20",4668
178,"7/17/20",4792
179,"7/18/20",4907
180,"7/19/20",5019
181,"7/20/20",5126
182,"7/21/20",5207
183,"7/22/20",5367
184,"7/23/20",5493
185,"7/24/20",5614
186,"7/25/20",5736
187,"7/26/20",5876
188,"7/27/20",5986
189,"7/28/20",6141
190,"7/29/20",6227
191,"7/30/20",6301
192,"7/31/20",6469
193,"8/1/20",6602
194,"8/2/20",6660
195,"8/3/20",6785
196,"8/4/20",6933
197,"8/5/20",7057
198,"8/6/20",7177
199,"8/7/20",7327
200,"8/8/20",7508
201,"8/9/20",7596
202,"8/10/20",7713
203,"8/11/20",7885
204,"8/12/20",7970
205,"8/13/20",8171
206,"8/14/20",8322
207,"8/15/20",8444
208,"8/16/20",8587
209,"8/17/20",8647
210,"8/18/20",8782
211,"8/19/20",8968
212,"8/20/20",9242
213,"8/21/20",9474
214,"8/22/20",9736
215,"8/23/20",9876
216,"8/24/20",10000
217,"8/25/20",10229
218,"8/26/20",10467
219,"8/27/20",10800
220,"8/28/20",11110
221,"8/29/20",11484
222,"8/30/20",11702
223,"8/31/20",11816
224,"9/1/20",12000
225,"9/2/20",12267
226,"9/3/20",12629
