Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",0
61,"3/22/20",0
62,"3/23/20",0
63,"3/24/20",0
64,"3/25/20",0
65,"3/26/20",0
66,"3/27/20",0
67,"3/28/20",0
68,"3/29/20",0
69,"3/30/20",0
70,"3/31/20",2
71,"4/1/20",6
72,"4/2/20",6
73,"4/3/20",8
74,"4/4/20",8
75,"4/5/20",8
76,"4/6/20",8
77,"4/7/20",8
78,"4/8/20",11
79,"4/9/20",11
80,"4/10/20",11
81,"4/11/20",11
82,"4/12/20",11
83,"4/13/20",11
84,"4/14/20",11
85,"4/15/20",13
86,"4/16/20",13
87,"4/17/20",13
88,"4/18/20",14
89,"4/19/20",14
90,"4/20/20",14
91,"4/21/20",14
92,"4/22/20",14
93,"4/23/20",14
94,"4/24/20",14
95,"4/25/20",14
96,"4/26/20",14
97,"4/27/20",14
98,"4/28/20",14
99,"4/29/20",14
100,"4/30/20",14
101,"5/1/20",14
102,"5/2/20",14
103,"5/3/20",14
104,"5/4/20",14
105,"5/5/20",14
106,"5/6/20",15
107,"5/7/20",15
108,"5/8/20",15
109,"5/9/20",16
110,"5/10/20",16
111,"5/11/20",19
112,"5/12/20",19
113,"5/13/20",19
114,"5/14/20",19
115,"5/15/20",19
116,"5/16/20",21
117,"5/17/20",21
118,"5/18/20",21
119,"5/19/20",21
120,"5/20/20",21
121,"5/21/20",22
122,"5/22/20",22
123,"5/23/20",22
124,"5/24/20",22
125,"5/25/20",22
126,"5/26/20",22
127,"5/27/20",22
128,"5/28/20",22
129,"5/29/20",22
130,"5/30/20",22
131,"5/31/20",22
132,"6/1/20",22
133,"6/2/20",23
134,"6/3/20",24
135,"6/4/20",26
136,"6/5/20",26
137,"6/6/20",26
138,"6/7/20",27
139,"6/8/20",28
140,"6/9/20",30
141,"6/10/20",30
142,"6/11/20",30
143,"6/12/20",30
144,"6/13/20",30
145,"6/14/20",30
146,"6/15/20",30
147,"6/16/20",30
148,"6/17/20",30
149,"6/18/20",30
150,"6/19/20",30
151,"6/20/20",30
152,"6/21/20",30
153,"6/22/20",30
154,"6/23/20",30
155,"6/24/20",30
156,"6/25/20",30
157,"6/26/20",30
158,"6/27/20",30
159,"6/28/20",30
160,"6/29/20",30
161,"6/30/20",30
162,"7/1/20",30
163,"7/2/20",31
164,"7/3/20",31
165,"7/4/20",31
166,"7/5/20",31
167,"7/6/20",31
168,"7/7/20",31
169,"7/8/20",31
170,"7/9/20",31
171,"7/10/20",31
172,"7/11/20",33
173,"7/12/20",33
174,"7/13/20",33
175,"7/14/20",36
176,"7/15/20",36
177,"7/16/20",37
178,"7/17/20",37
179,"7/18/20",37
180,"7/19/20",37
181,"7/20/20",38
182,"7/21/20",38
183,"7/22/20",38
184,"7/23/20",38
185,"7/24/20",38
186,"7/25/20",40
187,"7/26/20",40
188,"7/27/20",40
189,"7/28/20",40
190,"7/29/20",42
191,"7/30/20",42
192,"7/31/20",42
193,"8/1/20",44
194,"8/2/20",45
195,"8/3/20",46
196,"8/4/20",46
197,"8/5/20",46
198,"8/6/20",47
199,"8/7/20",47
200,"8/8/20",48
201,"8/9/20",48
202,"8/10/20",49
203,"8/11/20",49
204,"8/12/20",49
205,"8/13/20",49
206,"8/14/20",50
207,"8/15/20",50
208,"8/16/20",50
209,"8/17/20",54
210,"8/18/20",54
211,"8/19/20",54
212,"8/20/20",54
213,"8/21/20",54
214,"8/22/20",54
215,"8/23/20",54
216,"8/24/20",54
217,"8/25/20",54
218,"8/26/20",54
219,"8/27/20",54
220,"8/28/20",54
221,"8/29/20",56
222,"8/30/20",56
223,"8/31/20",56
224,"9/1/20",57
225,"9/2/20",57
226,"9/3/20",57
227,"9/4/20",57
228,"9/5/20",58
229,"9/6/20",58
230,"9/7/20",59
231,"9/8/20",59
232,"9/9/20",59
233,"9/10/20",59
234,"9/11/20",59
235,"9/12/20",60
236,"9/13/20",60
237,"9/14/20",61
