Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",1
47,"3/8/20",1
48,"3/9/20",1
49,"3/10/20",2
50,"3/11/20",2
51,"3/12/20",3
52,"3/13/20",3
53,"3/14/20",4
54,"3/15/20",4
55,"3/16/20",10
56,"3/17/20",17
57,"3/18/20",17
58,"3/19/20",44
59,"3/20/20",49
60,"3/21/20",53
61,"3/22/20",67
62,"3/23/20",81
63,"3/24/20",106
64,"3/25/20",164
65,"3/26/20",248
66,"3/27/20",322
67,"3/28/20",377
68,"3/29/20",429
69,"3/30/20",481
70,"3/31/20",566
71,"4/1/20",719
72,"4/2/20",879
73,"4/3/20",988
74,"4/4/20",1159
75,"4/5/20",1252
76,"4/6/20",1327
77,"4/7/20",1472
78,"4/8/20",1524
79,"4/9/20",1684
80,"4/10/20",1794
81,"4/11/20",1868
82,"4/12/20",1970
83,"4/13/20",2069
84,"4/14/20",2184
85,"4/15/20",2263
86,"4/16/20",2357
87,"4/17/20",2465
88,"4/18/20",2465
89,"4/19/20",2567
90,"4/20/20",2680
91,"4/21/20",2807
92,"4/22/20",2894
93,"4/23/20",3017
94,"4/24/20",3121
95,"4/25/20",3194
96,"4/26/20",3254
97,"4/27/20",3281
98,"4/28/20",3410
99,"4/29/20",3473
100,"4/30/20",3618
101,"5/1/20",3748
102,"5/2/20",3851
103,"5/3/20",3972
104,"5/4/20",4044
105,"5/5/20",4127
106,"5/6/20",4202
107,"5/7/20",4330
108,"5/8/20",4424
109,"5/9/20",4490
110,"5/10/20",4589
111,"5/11/20",4613
112,"5/12/20",4732
113,"5/13/20",4858
114,"5/14/20",4963
115,"5/15/20",5087
116,"5/16/20",5237
117,"5/17/20",5310
118,"5/18/20",5398
119,"5/19/20",5489
120,"5/20/20",5532
121,"5/21/20",5680
122,"5/22/20",5849
123,"5/23/20",5960
124,"5/24/20",6037
125,"5/25/20",6090
126,"5/26/20",6138
127,"5/27/20",6229
128,"5/28/20",6273
129,"5/29/20",6338
130,"5/30/20",6418
131,"5/31/20",6418
132,"6/1/20",6573
133,"6/2/20",6692
134,"6/3/20",6805
135,"6/4/20",6907
136,"6/5/20",7007
137,"6/6/20",7059
138,"6/7/20",7150
139,"6/8/20",7205
140,"6/9/20",7363
141,"6/10/20",7483
142,"6/11/20",7626
143,"6/12/20",7849
144,"6/13/20",8073
145,"6/14/20",8231
146,"6/15/20",8417
147,"6/16/20",8645
148,"6/17/20",8904
149,"6/18/20",9355
150,"6/19/20",9707
151,"6/20/20",10038
152,"6/21/20",10516
153,"6/22/20",10734
154,"6/23/20",11031
155,"6/24/20",11510
156,"6/25/20",11948
157,"6/26/20",12347
158,"6/27/20",12646
159,"6/28/20",12947
160,"6/29/20",13175
161,"6/30/20",13757
162,"7/1/20",14119
163,"7/2/20",14531
164,"7/3/20",15069
165,"7/4/20",15648
166,"7/5/20",15931
167,"7/6/20",16362
168,"7/7/20",17220
169,"7/8/20",17894
170,"7/9/20",18497
171,"7/10/20",19092
172,"7/11/20",19779
173,"7/12/20",20235
174,"7/13/20",20746
175,"7/14/20",21740
176,"7/15/20",22814
177,"7/16/20",23440
178,"7/17/20",24140
179,"7/18/20",25057
180,"7/19/20",25266
181,"7/20/20",25436
182,"7/21/20",26326
183,"7/22/20",27298
184,"7/23/20",27969
185,"7/24/20",29116
186,"7/25/20",30081
187,"7/26/20",31285
188,"7/27/20",32685
189,"7/28/20",33775
190,"7/29/20",34623
191,"7/30/20",35740
192,"7/31/20",36487
193,"8/1/20",37731
194,"8/2/20",38225
195,"8/3/20",38602
196,"8/4/20",39463
197,"8/5/20",40564
198,"8/6/20",41401
199,"8/7/20",42255
200,"8/8/20",43080
201,"8/9/20",43566
202,"8/10/20",43963
203,"8/11/20",44728
204,"8/12/20",45398
205,"8/13/20",46103
206,"8/14/20",46897
207,"8/15/20",47798
208,"8/16/20",48342
209,"8/17/20",48711
210,"8/18/20",49312
211,"8/19/20",49923
212,"8/20/20",50669
213,"8/21/20",51746
214,"8/22/20",52599
215,"8/23/20",53165
216,"8/24/20",53522
217,"8/25/20",54172
218,"8/26/20",54838
219,"8/27/20",55550
220,"8/28/20",56260
221,"8/29/20",57353
222,"8/30/20",58119
223,"8/31/20",58733
224,"9/1/20",59398
