Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",1
40,"3/1/20",1
41,"3/2/20",3
42,"3/3/20",3
43,"3/4/20",3
44,"3/5/20",3
45,"3/6/20",3
46,"3/7/20",6
47,"3/8/20",14
48,"3/9/20",14
49,"3/10/20",14
50,"3/11/20",19
51,"3/12/20",24
52,"3/13/20",30
53,"3/14/20",36
54,"3/15/20",36
55,"3/16/20",39
56,"3/17/20",66
57,"3/18/20",75
58,"3/19/20",88
59,"3/20/20",114
60,"3/21/20",137
61,"3/22/20",161
62,"3/23/20",191
63,"3/24/20",210
64,"3/25/20",266
65,"3/26/20",316
66,"3/27/20",416
67,"3/28/20",479
68,"3/29/20",548
69,"3/30/20",606
70,"3/31/20",690
71,"4/1/20",736
72,"4/2/20",826
73,"4/3/20",899
74,"4/4/20",899
75,"4/5/20",1068
76,"4/6/20",1068
77,"4/7/20",1132
78,"4/8/20",1181
79,"4/9/20",1321
80,"4/10/20",1322
81,"4/11/20",1371
82,"4/12/20",1527
83,"4/13/20",1584
84,"4/14/20",1633
85,"4/15/20",1663
86,"4/16/20",1736
87,"4/17/20",1785
88,"4/18/20",1844
89,"4/19/20",1910
90,"4/20/20",1957
91,"4/21/20",2004
92,"4/22/20",2059
93,"4/23/20",2127
94,"4/24/20",2177
95,"4/25/20",2253
96,"4/26/20",2311
97,"4/27/20",2354
98,"4/28/20",2385
99,"4/29/20",2446
100,"4/30/20",2510
101,"5/1/20",2579
102,"5/2/20",2635
103,"5/3/20",2680
104,"5/4/20",2759
105,"5/5/20",2839
106,"5/6/20",2916
107,"5/7/20",2989
108,"5/8/20",3068
109,"5/9/20",3160
110,"5/10/20",3228
111,"5/11/20",3286
112,"5/12/20",3358
113,"5/13/20",3416
114,"5/14/20",3479
115,"5/15/20",3541
116,"5/16/20",3612
117,"5/17/20",3623
118,"5/18/20",3687
119,"5/19/20",3726
120,"5/20/20",3801
121,"5/21/20",3817
122,"5/22/20",3864
123,"5/23/20",3888
124,"5/24/20",3927
125,"5/25/20",3949
126,"5/26/20",3967
127,"5/27/20",4038
128,"5/28/20",4086
129,"5/29/20",4131
130,"5/30/20",4185
131,"5/31/20",4243
132,"6/1/20",4302
133,"6/2/20",4335
134,"6/3/20",4399
135,"6/4/20",4474
136,"6/5/20",4570
137,"6/6/20",4570
138,"6/7/20",4662
139,"6/8/20",4922
140,"6/9/20",4988
141,"6/10/20",5060
142,"6/11/20",5237
143,"6/12/20",5377
144,"6/13/20",5377
145,"6/14/20",5636
146,"6/15/20",5820
147,"6/16/20",6098
148,"6/17/20",6218
149,"6/18/20",6366
150,"6/19/20",6572
151,"6/20/20",6750
152,"6/21/20",6937
153,"6/22/20",7083
154,"6/23/20",7274
155,"6/24/20",7444
156,"6/25/20",7568
157,"6/26/20",7818
158,"6/27/20",8094
159,"6/28/20",8341
160,"6/29/20",8485
161,"6/30/20",8656
162,"7/1/20",8931
163,"7/2/20",9294
164,"7/3/20",9636
165,"7/4/20",9930
166,"7/5/20",10230
167,"7/6/20",10395
168,"7/7/20",10605
169,"7/8/20",10817
170,"7/9/20",11188
171,"7/10/20",11454
172,"7/11/20",11851
173,"7/12/20",12170
174,"7/13/20",12438
175,"7/14/20",12805
176,"7/15/20",13081
177,"7/16/20",13509
178,"7/17/20",13802
179,"7/18/20",14149
180,"7/19/20",14579
181,"7/20/20",14847
182,"7/21/20",15139
183,"7/22/20",15393
184,"7/23/20",15713
185,"7/24/20",16104
186,"7/25/20",16492
187,"7/26/20",16758
188,"7/27/20",17088
189,"7/28/20",17408
190,"7/29/20",17721
191,"7/30/20",18131
192,"7/31/20",18492
193,"8/1/20",18817
194,"8/2/20",19097
195,"8/3/20",19366
196,"8/4/20",19699
197,"8/5/20",19978
198,"8/6/20",20224
199,"8/7/20",20635
200,"8/8/20",21010
201,"8/9/20",21272
202,"8/10/20",21488
203,"8/11/20",21774
204,"8/12/20",22022
205,"8/13/20",22300
206,"8/14/20",22613
207,"8/15/20",23018
208,"8/16/20",23262
209,"8/17/20",23451
210,"8/18/20",23676
211,"8/19/20",23870
212,"8/20/20",24165
213,"8/21/20",24421
214,"8/22/20",24710
215,"8/23/20",24937
216,"8/24/20",25155
217,"8/25/20",25391
218,"8/26/20",25571
219,"8/27/20",25761
220,"8/28/20",26054
221,"8/29/20",26293
222,"8/30/20",26554
223,"8/31/20",26713
224,"9/1/20",26946
