Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",2
46,"3/7/20",2
47,"3/8/20",6
48,"3/9/20",7
49,"3/10/20",12
50,"3/11/20",16
51,"3/12/20",22
52,"3/13/20",41
53,"3/14/20",47
54,"3/15/20",47
55,"3/16/20",79
56,"3/17/20",112
57,"3/18/20",155
58,"3/19/20",206
59,"3/20/20",311
60,"3/21/20",399
61,"3/22/20",509
62,"3/23/20",698
63,"3/24/20",946
64,"3/25/20",1260
65,"3/26/20",1795
66,"3/27/20",2345
67,"3/28/20",2845
68,"3/29/20",3432
69,"3/30/20",4155
70,"3/31/20",4963
71,"4/1/20",6009
72,"4/2/20",7268
73,"4/3/20",8570
74,"4/4/20",10444
75,"4/5/20",11589
76,"4/6/20",13127
77,"4/7/20",14853
78,"4/8/20",16631
79,"4/9/20",18300
80,"4/10/20",20051
81,"4/11/20",21719
82,"4/12/20",22938
83,"4/13/20",24292
84,"4/14/20",25465
85,"4/15/20",26753
86,"4/16/20",28258
87,"4/17/20",29888
88,"4/18/20",31652
89,"4/19/20",32902
90,"4/20/20",33914
91,"4/21/20",35249
92,"4/22/20",36082
93,"4/23/20",38379
94,"4/24/20",40208
95,"4/25/20",41153
96,"4/26/20",42616
97,"4/27/20",43558
98,"4/28/20",45137
99,"4/29/20",46327
100,"4/30/20",47971
101,"5/1/20",49579
102,"5/2/20",50494
103,"5/3/20",51225
104,"5/4/20",52816
105,"5/5/20",53864
106,"5/6/20",54800
107,"5/7/20",55956
108,"5/8/20",57371
109,"5/9/20",58560
110,"5/10/20",59939
111,"5/11/20",60459
112,"5/12/20",61310
113,"5/13/20",62101
114,"5/14/20",63105
115,"5/15/20",64136
116,"5/16/20",65185
117,"5/17/20",65700
118,"5/18/20",66669
119,"5/19/20",67311
120,"5/20/20",68126
121,"5/21/20",69252
122,"5/22/20",70211
123,"5/23/20",71009
124,"5/24/20",71563
125,"5/25/20",71925
126,"5/26/20",72778
127,"5/27/20",73557
128,"5/28/20",74220
129,"5/29/20",74984
130,"5/30/20",75697
131,"5/31/20",76129
132,"6/1/20",76646
133,"6/2/20",77225
134,"6/3/20",77780
135,"6/4/20",78335
136,"6/5/20",78815
137,"6/6/20",79505
138,"6/7/20",79908
139,"6/8/20",80339
140,"6/9/20",80870
141,"6/10/20",81316
142,"6/11/20",81848
143,"6/12/20",82481
144,"6/13/20",82944
145,"6/14/20",83203
146,"6/15/20",83589
147,"6/16/20",83978
148,"6/17/20",84289
149,"6/18/20",84683
150,"6/19/20",85199
151,"6/20/20",85590
152,"6/21/20",85935
153,"6/22/20",86576
154,"6/23/20",87208
155,"6/24/20",87685
156,"6/25/20",88141
157,"6/26/20",88860
158,"6/27/20",89446
159,"6/28/20",89863
160,"6/29/20",90467
161,"6/30/20",91139
162,"7/1/20",91775
163,"7/2/20",92612
164,"7/3/20",93392
165,"7/4/20",93922
166,"7/5/20",94403
167,"7/6/20",95100
168,"7/7/20",95898
169,"7/8/20",96725
170,"7/9/20",97542
171,"7/10/20",98482
172,"7/11/20",99216
173,"7/12/20",99794
174,"7/13/20",100330
175,"7/14/20",101266
176,"7/15/20",102269
177,"7/16/20",103075
178,"7/17/20",104079
179,"7/18/20",104780
180,"7/19/20",105384
181,"7/20/20",106405
182,"7/21/20",107460
183,"7/22/20",108223
184,"7/23/20",109105
185,"7/24/20",110292
186,"7/25/20",111115
187,"7/26/20",111745
188,"7/27/20",112995
189,"7/28/20",114083
190,"7/29/20",114939
191,"7/30/20",115807
192,"7/31/20",116787
193,"8/1/20",117468
194,"8/2/20",118033
195,"8/3/20",118894
196,"8/4/20",119724
197,"8/5/20",120446
198,"8/6/20",121247
199,"8/7/20",122028
200,"8/8/20",122665
201,"8/9/20",123312
202,"8/10/20",124221
203,"8/11/20",125016
204,"8/12/20",125918
205,"8/13/20",126905
206,"8/14/20",127732
207,"8/15/20",128531
208,"8/16/20",129070
209,"8/17/20",129647
210,"8/18/20",130247
211,"8/19/20",130905
212,"8/20/20",131692
213,"8/21/20",132417
214,"8/22/20",133160
215,"8/23/20",133679
216,"8/24/20",134204
217,"8/25/20",134760
218,"8/26/20",135279
219,"8/27/20",135912
220,"8/28/20",136781
221,"8/29/20",137576
222,"8/30/20",138134
223,"8/31/20",138795
