Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",1
41,"3/2/20",2
42,"3/3/20",2
43,"3/4/20",2
44,"3/5/20",2
45,"3/6/20",2
46,"3/7/20",3
47,"3/8/20",3
48,"3/9/20",3
49,"3/10/20",3
50,"3/11/20",5
51,"3/12/20",3
52,"3/13/20",12
53,"3/14/20",20
54,"3/15/20",20
55,"3/16/20",21
56,"3/17/20",23
57,"3/18/20",33
58,"3/19/20",44
59,"3/20/20",54
60,"3/21/20",66
61,"3/22/20",83
62,"3/23/20",106
63,"3/24/20",124
64,"3/25/20",132
65,"3/26/20",165
66,"3/27/20",203
67,"3/28/20",239
68,"3/29/20",294
69,"3/30/20",408
70,"3/31/20",488
71,"4/1/20",566
72,"4/2/20",645
73,"4/3/20",711
74,"4/4/20",806
75,"4/5/20",922
76,"4/6/20",1082
77,"4/7/20",1229
78,"4/8/20",1450
79,"4/9/20",1727
80,"4/10/20",1727
81,"4/11/20",2349
82,"4/12/20",2665
83,"4/13/20",2665
84,"4/14/20",3251
85,"4/15/20",3251
86,"4/16/20",3529
87,"4/17/20",4177
88,"4/18/20",4491
89,"4/19/20",4706
90,"4/20/20",5090
91,"4/21/20",5500
92,"4/22/20",5841
93,"4/23/20",6256
94,"4/24/20",6699
95,"4/25/20",7129
96,"4/26/20",7439
97,"4/27/20",7708
98,"4/28/20",7927
99,"4/29/20",8247
100,"4/30/20",8621
101,"5/1/20",8962
102,"5/2/20",9289
103,"5/3/20",9477
104,"5/4/20",9652
105,"5/5/20",9933
106,"5/6/20",10205
107,"5/7/20",10530
108,"5/8/20",10779
109,"5/9/20",10989
110,"5/10/20",11274
111,"5/11/20",11450
112,"5/12/20",11614
113,"5/13/20",11835
114,"5/14/20",12016
115,"5/15/20",12219
116,"5/16/20",12434
117,"5/17/20",12674
118,"5/18/20",12795
119,"5/19/20",12951
120,"5/20/20",13356
121,"5/21/20",13571
122,"5/22/20",13736
123,"5/23/20",13952
124,"5/24/20",14065
125,"5/25/20",14065
126,"5/26/20",14210
127,"5/27/20",14353
128,"5/28/20",14494
129,"5/29/20",14635
130,"5/30/20",14819
131,"5/31/20",14928
132,"6/1/20",14991
133,"6/2/20",15112
134,"6/3/20",15219
135,"6/4/20",15325
136,"6/5/20",15441
137,"6/6/20",15441
138,"6/7/20",15441
139,"6/8/20",15642
140,"6/9/20",15691
141,"6/10/20",15756
142,"6/11/20",15862
143,"6/12/20",15947
144,"6/13/20",15947
145,"6/14/20",15947
146,"6/15/20",16093
147,"6/16/20",16164
148,"6/17/20",16213
149,"6/18/20",16269
150,"6/19/20",16337
151,"6/20/20",16337
152,"6/21/20",16337
153,"6/22/20",16459
154,"6/23/20",16533
155,"6/24/20",16606
156,"6/25/20",16640
157,"6/26/20",16661
158,"6/27/20",16661
159,"6/28/20",16661
160,"6/29/20",16764
161,"6/30/20",16813
162,"7/1/20",16853
163,"7/2/20",16941
164,"7/3/20",16991
165,"7/4/20",16991
166,"7/5/20",16991
167,"7/6/20",16991
168,"7/7/20",17154
169,"7/8/20",17204
170,"7/9/20",17243
171,"7/10/20",17312
172,"7/11/20",17312
173,"7/12/20",17312
174,"7/13/20",17487
175,"7/14/20",17588
176,"7/15/20",17640
177,"7/16/20",17711
178,"7/17/20",17793
179,"7/18/20",17793
180,"7/19/20",17793
181,"7/20/20",17904
182,"7/21/20",17986
183,"7/22/20",18062
184,"7/23/20",18148
185,"7/24/20",18224
186,"7/25/20",18224
187,"7/26/20",18224
188,"7/27/20",18515
189,"7/28/20",18725
190,"7/29/20",18800
191,"7/30/20",18950
192,"7/31/20",19022
193,"8/1/20",19022
194,"8/2/20",19022
195,"8/3/20",19246
196,"8/4/20",19390
197,"8/5/20",19481
198,"8/6/20",19611
199,"8/7/20",19738
200,"8/8/20",19738
201,"8/9/20",19738
202,"8/10/20",19934
203,"8/11/20",20053
204,"8/12/20",20129
205,"8/13/20",20240
206,"8/14/20",20335
207,"8/15/20",20335
208,"8/16/20",20335
209,"8/17/20",20572
210,"8/18/20",20692
211,"8/19/20",20795
212,"8/20/20",20871
213,"8/21/20",21022
214,"8/22/20",21022
215,"8/23/20",21022
216,"8/24/20",21302
217,"8/25/20",21372
218,"8/26/20",21454
219,"8/27/20",21589
220,"8/28/20",21683
221,"8/29/20",21683
222,"8/30/20",21683
223,"8/31/20",21949
224,"9/1/20",22002
