Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",2
47,"3/8/20",2
48,"3/9/20",3
49,"3/10/20",7
50,"3/11/20",10
51,"3/12/20",7
52,"3/13/20",8
53,"3/14/20",19
54,"3/15/20",19
55,"3/16/20",30
56,"3/17/20",47
57,"3/18/20",60
58,"3/19/20",80
59,"3/20/20",126
60,"3/21/20",174
61,"3/22/20",196
62,"3/23/20",298
63,"3/24/20",342
64,"3/25/20",424
65,"3/26/20",424
66,"3/27/20",542
67,"3/28/20",660
68,"3/29/20",774
69,"3/30/20",925
70,"3/31/20",1083
71,"4/1/20",1293
72,"4/2/20",1554
73,"4/3/20",1700
74,"4/4/20",1917
75,"4/5/20",2049
76,"4/6/20",2232
77,"4/7/20",2417
78,"4/8/20",2417
79,"4/9/20",2793
80,"4/10/20",3067
81,"4/11/20",3211
82,"4/12/20",3320
83,"4/13/20",3391
84,"4/14/20",3553
85,"4/15/20",3656
86,"4/16/20",3931
87,"4/17/20",4099
88,"4/18/20",4248
89,"4/19/20",4377
90,"4/20/20",4446
91,"4/21/20",4439
92,"4/22/20",4761
93,"4/23/20",4917
94,"4/24/20",5070
95,"4/25/20",5253
96,"4/26/20",5498
97,"4/27/20",5613
98,"4/28/20",5735
99,"4/29/20",5882
100,"4/30/20",6095
101,"5/1/20",6258
102,"5/2/20",6489
103,"5/3/20",6626
104,"5/4/20",6757
105,"5/5/20",6841
106,"5/6/20",6936
107,"5/7/20",7142
108,"5/8/20",7367
109,"5/9/20",7531
110,"5/10/20",7653
111,"5/11/20",7792
112,"5/12/20",7927
113,"5/13/20",8030
114,"5/14/20",8189
115,"5/15/20",8407
116,"5/16/20",8661
117,"5/17/20",8816
118,"5/18/20",8942
119,"5/19/20",9056
120,"5/20/20",9175
121,"5/21/20",9381
122,"5/22/20",9638
123,"5/23/20",9895
124,"5/24/20",10096
125,"5/25/20",10178
126,"5/26/20",10416
127,"5/27/20",10623
128,"5/28/20",10788
129,"5/29/20",11131
130,"5/30/20",11394
131,"5/31/20",11861
132,"6/1/20",12148
133,"6/2/20",12419
134,"6/3/20",12470
135,"6/4/20",12526
136,"6/5/20",13458
137,"6/6/20",13538
138,"6/7/20",14302
139,"6/8/20",14800
140,"6/9/20",15228
141,"6/10/20",15759
142,"6/11/20",16441
143,"6/12/20",17170
144,"6/13/20",17955
145,"6/14/20",18795
146,"6/15/20",19378
147,"6/16/20",19990
148,"6/17/20",20556
149,"6/18/20",21533
150,"6/19/20",22608
151,"6/20/20",23756
152,"6/21/20",24661
153,"6/22/20",25666
154,"6/23/20",26572
155,"6/24/20",27897
156,"6/25/20",29022
157,"6/26/20",30335
158,"6/27/20",31939
159,"6/28/20",33320
160,"6/29/20",34644
161,"6/30/20",36399
162,"7/1/20",37919
163,"7/2/20",39701
164,"7/3/20",41532
165,"7/4/20",43386
166,"7/5/20",44847
167,"7/6/20",46380
168,"7/7/20",47352
169,"7/8/20",48909
170,"7/9/20",50691
171,"7/10/20",52419
172,"7/11/20",54699
173,"7/12/20",56648
174,"7/13/20",58168
175,"7/14/20",60389
176,"7/15/20",62245
177,"7/16/20",64083
178,"7/17/20",66060
179,"7/18/20",67612
180,"7/19/20",69986
181,"7/20/20",71445
182,"7/21/20",73337
183,"7/22/20",75042
184,"7/23/20",76606
185,"7/24/20",78607
186,"7/25/20",80008
187,"7/26/20",81199
188,"7/27/20",82417
189,"7/28/20",84109
190,"7/29/20",85846
191,"7/30/20",87572
192,"7/31/20",89016
193,"8/1/20",90599
194,"8/2/20",91788
195,"8/3/20",92951
196,"8/4/20",94190
197,"8/5/20",95472
198,"8/6/20",96797
199,"8/7/20",98219
200,"8/8/20",99460
201,"8/9/20",100435
202,"8/10/20",101159
203,"8/11/20",102130
204,"8/12/20",102974
205,"8/13/20",103909
206,"8/14/20",104841
207,"8/15/20",105882
208,"8/16/20",106497
209,"8/17/20",106953
210,"8/18/20",107672
211,"8/19/20",108411
212,"8/20/20",109320
213,"8/21/20",110378
214,"8/22/20",111295
215,"8/23/20",111988
216,"8/24/20",112551
217,"8/25/20",113488
218,"8/26/20",114093
219,"8/27/20",114598
220,"8/28/20",115951
221,"8/29/20",117249
222,"8/30/20",118324
223,"8/31/20",118992
