Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",1
45,"3/6/20",1
46,"3/7/20",1
47,"3/8/20",3
48,"3/9/20",3
49,"3/10/20",3
50,"3/11/20",9
51,"3/12/20",18
52,"3/13/20",26
53,"3/14/20",32
54,"3/15/20",32
55,"3/16/20",52
56,"3/17/20",74
57,"3/18/20",100
58,"3/19/20",154
59,"3/20/20",223
60,"3/21/20",304
61,"3/22/20",393
62,"3/23/20",525
63,"3/24/20",677
64,"3/25/20",816
65,"3/26/20",980
66,"3/27/20",1177
67,"3/28/20",1363
68,"3/29/20",1570
69,"3/30/20",1767
70,"3/31/20",2201
71,"4/1/20",2690
72,"4/2/20",2770
73,"4/3/20",2880
74,"4/4/20",3104
75,"4/5/20",3368
76,"4/6/20",3512
77,"4/7/20",3849
78,"4/8/20",4081
79,"4/9/20",4359
80,"4/10/20",4616
81,"4/11/20",4856
82,"4/12/20",5232
83,"4/13/20",5350
84,"4/14/20",5567
85,"4/15/20",5567
86,"4/16/20",5923
87,"4/17/20",6013
88,"4/18/20",6330
89,"4/19/20",6796
90,"4/20/20",6965
91,"4/21/20",7129
92,"4/22/20",7129
93,"4/23/20",7989
94,"4/24/20",8468
95,"4/25/20",8882
96,"4/26/20",9335
97,"4/27/20",9635
98,"4/28/20",9801
99,"4/29/20",10132
100,"4/30/20",10481
101,"5/1/20",11633
102,"5/2/20",12359
103,"5/3/20",12866
104,"5/4/20",13224
105,"5/5/20",13334
106,"5/6/20",13594
107,"5/7/20",13742
108,"5/8/20",14070
109,"5/9/20",14402
110,"5/10/20",14610
111,"5/11/20",15149
112,"5/12/20",15716
113,"5/13/20",16052
114,"5/14/20",16359
115,"5/15/20",16620
116,"5/16/20",16923
117,"5/17/20",17019
118,"5/18/20",17625
119,"5/19/20",18026
120,"5/20/20",18026
121,"5/21/20",18622
122,"5/22/20",19055
123,"5/23/20",19446
124,"5/24/20",19772
125,"5/25/20",20196
126,"5/26/20",20556
127,"5/27/20",20946
128,"5/28/20",21300
129,"5/29/20",21684
130,"5/30/20",22148
131,"5/31/20",22148
132,"6/1/20",22148
133,"6/2/20",23916
134,"6/3/20",24407
135,"6/4/20",24764
136,"6/5/20",25238
137,"6/6/20",25751
138,"6/7/20",26067
139,"6/8/20",26579
140,"6/9/20",27118
141,"6/10/20",27473
142,"6/11/20",27883
143,"6/12/20",28661
144,"6/13/20",29086
145,"6/14/20",29880
146,"6/15/20",30541
147,"6/16/20",31288
148,"6/17/20",31651
149,"6/18/20",32307
150,"6/19/20",33451
151,"6/20/20",33883
152,"6/21/20",34452
153,"6/22/20",34921
154,"6/23/20",35766
155,"6/24/20",36631
156,"6/25/20",37423
157,"6/26/20",38673
158,"6/27/20",39406
159,"6/28/20",39406
160,"6/29/20",41388
161,"6/30/20",42557
162,"7/1/20",44271
163,"7/2/20",45881
164,"7/3/20",47647
165,"7/4/20",48976
166,"7/5/20",50131
167,"7/6/20",50841
168,"7/7/20",52419
169,"7/8/20",54756
170,"7/9/20",56335
171,"7/10/20",58149
172,"7/11/20",59622
173,"7/12/20",60544
174,"7/13/20",63614
175,"7/14/20",65051
176,"7/15/20",67286
177,"7/16/20",69688
178,"7/17/20",71929
179,"7/18/20",74361
180,"7/19/20",76031
181,"7/20/20",77570
182,"7/21/20",79765
183,"7/22/20",82149
184,"7/23/20",84642
185,"7/24/20",86655
186,"7/25/20",88431
187,"7/26/20",91311
188,"7/27/20",93858
189,"7/28/20",96303
190,"7/29/20",98134
191,"7/30/20",100166
192,"7/31/20",103144
193,"8/1/20",105455
194,"8/2/20",106804
195,"8/3/20",107853
196,"8/4/20",109652
197,"8/5/20",111305
198,"8/6/20",113519
199,"8/7/20",115940
200,"8/8/20",117725
201,"8/9/20",119788
202,"8/10/20",120967
203,"8/11/20",121963
204,"8/12/20",123489
205,"8/13/20",125487
206,"8/14/20",127465
207,"8/15/20",128759
208,"8/16/20",130620
209,"8/17/20",131728
210,"8/18/20",132788
211,"8/19/20",134810
212,"8/20/20",136260
213,"8/21/20",137932
214,"8/22/20",139253
215,"8/23/20",141000
216,"8/24/20",141675
217,"8/25/20",142501
218,"8/26/20",144400
219,"8/27/20",146183
220,"8/28/20",147814
221,"8/29/20",149310
222,"8/30/20",150121
223,"8/31/20",151923
