Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",3
45,"3/6/20",4
46,"3/7/20",8
47,"3/8/20",11
48,"3/9/20",13
49,"3/10/20",16
50,"3/11/20",21
51,"3/12/20",27
52,"3/13/20",44
53,"3/14/20",60
54,"3/15/20",64
55,"3/16/20",85
56,"3/17/20",111
57,"3/18/20",197
58,"3/19/20",306
59,"3/20/20",429
60,"3/21/20",582
61,"3/22/20",643
62,"3/23/20",764
63,"3/24/20",968
64,"3/25/20",1248
65,"3/26/20",1563
66,"3/27/20",1937
67,"3/28/20",2455
68,"3/29/20",2792
69,"3/30/20",3173
70,"3/31/20",3809
71,"4/1/20",4309
72,"4/2/20",4984
73,"4/3/20",5755
74,"4/4/20",6596
75,"4/5/20",7243
76,"4/6/20",8108
77,"4/7/20",8996
78,"4/8/20",9858
79,"4/9/20",11276
80,"4/10/20",12227
81,"4/11/20",13145
82,"4/12/20",13780
83,"4/13/20",14328
84,"4/14/20",15088
85,"4/15/20",16044
86,"4/16/20",16985
87,"4/17/20",17925
88,"4/18/20",18724
89,"4/19/20",19282
90,"4/20/20",19847
91,"4/21/20",20785
92,"4/22/20",21577
93,"4/23/20",22797
94,"4/24/20",23772
95,"4/25/20",24287
96,"4/26/20",25051
97,"4/27/20",25565
98,"4/28/20",26506
99,"4/29/20",27542
100,"4/30/20",28890
101,"5/1/20",29970
102,"5/2/20",31126
103,"5/3/20",32123
104,"5/4/20",32889
105,"5/5/20",34137
106,"5/6/20",35225
107,"5/7/20",36244
108,"5/8/20",37530
109,"5/9/20",38983
110,"5/10/20",39807
111,"5/11/20",40701
112,"5/12/20",42030
113,"5/13/20",43456
114,"5/14/20",44701
115,"5/15/20",45891
116,"5/16/20",47650
117,"5/17/20",48630
118,"5/18/20",49400
119,"5/19/20",50740
120,"5/20/20",51985
121,"5/21/20",53279
122,"5/22/20",53817
123,"5/23/20",54932
124,"5/24/20",55961
125,"5/25/20",56434
126,"5/26/20",57468
127,"5/27/20",58838
128,"5/28/20",60625
129,"5/29/20",61254
130,"5/30/20",63045
131,"5/31/20",64744
132,"6/1/20",65732
133,"6/2/20",67569
134,"6/3/20",69122
135,"6/4/20",70802
136,"6/5/20",72610
137,"6/6/20",74652
138,"6/7/20",75697
139,"6/8/20",76689
140,"6/9/20",78427
141,"6/10/20",80986
142,"6/11/20",82940
143,"6/12/20",85051
144,"6/13/20",87192
145,"6/14/20",88779
146,"6/15/20",90488
147,"6/16/20",93764
148,"6/17/20",98119
149,"6/18/20",101566
150,"6/19/20",105635
151,"6/20/20",110250
152,"6/21/20",113112
153,"6/22/20",118222
154,"6/23/20",123440
155,"6/24/20",129210
156,"6/25/20",134997
157,"6/26/20",140671
158,"6/27/20",146254
159,"6/28/20",151045
160,"6/29/20",157434
161,"6/30/20",163737
162,"7/1/20",172859
163,"7/2/20",180169
164,"7/3/20",187527
165,"7/4/20",194601
166,"7/5/20",198866
167,"7/6/20",206410
168,"7/7/20",216769
169,"7/8/20",226133
170,"7/9/20",237792
171,"7/10/20",247074
172,"7/11/20",255320
173,"7/12/20",263551
174,"7/13/20",270707
175,"7/14/20",281105
176,"7/15/20",292477
177,"7/16/20",306424
178,"7/17/20",318175
179,"7/18/20",327611
180,"7/19/20",335654
181,"7/20/20",344484
182,"7/21/20",352767
183,"7/22/20",364292
184,"7/23/20",373803
185,"7/24/20",381162
186,"7/25/20",390803
187,"7/26/20",394669
188,"7/27/20",401119
189,"7/28/20",409885
190,"7/29/20",420556
191,"7/30/20",429579
192,"7/31/20",440681
193,"8/1/20",446789
194,"8/2/20",449977
195,"8/3/20",459256
196,"8/4/20",470160
197,"8/5/20",480704
198,"8/6/20",488041
199,"8/7/20",495960
200,"8/8/20",502563
201,"8/9/20",507929
202,"8/10/20",513939
203,"8/11/20",522215
204,"8/12/20",528743
205,"8/13/20",535743
206,"8/14/20",545700
207,"8/15/20",552814
208,"8/16/20",560484
209,"8/17/20",565979
210,"8/18/20",573798
211,"8/19/20",579406
212,"8/20/20",584628
213,"8/21/20",590339
214,"8/22/20",594118
215,"8/23/20",598772
216,"8/24/20",603193
217,"8/25/20",609534
218,"8/26/20",615772
219,"8/27/20",619814
220,"8/28/20",625053
221,"8/29/20",630092
222,"8/30/20",632865
223,"8/31/20",636201
