Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",1
47,"3/8/20",1
48,"3/9/20",1
49,"3/10/20",2
50,"3/11/20",3
51,"3/12/20",3
52,"3/13/20",9
53,"3/14/20",10
54,"3/15/20",18
55,"3/16/20",28
56,"3/17/20",39
57,"3/18/20",47
58,"3/19/20",62
59,"3/20/20",95
60,"3/21/20",118
61,"3/22/20",162
62,"3/23/20",244
63,"3/24/20",285
64,"3/25/20",326
65,"3/26/20",382
66,"3/27/20",458
67,"3/28/20",588
68,"3/29/20",706
69,"3/30/20",779
70,"3/31/20",866
71,"4/1/20",866
72,"4/2/20",1064
73,"4/3/20",1248
74,"4/4/20",1428
75,"4/5/20",1601
76,"4/6/20",1678
77,"4/7/20",1739
78,"4/8/20",1848
79,"4/9/20",1856
80,"4/10/20",2103
81,"4/11/20",2207
82,"4/12/20",2303
83,"4/13/20",2363
84,"4/14/20",2417
85,"4/15/20",2548
86,"4/16/20",2683
87,"4/17/20",2793
88,"4/18/20",2917
89,"4/19/20",3069
90,"4/20/20",3213
91,"4/21/20",3297
92,"4/22/20",3445
93,"4/23/20",3612
94,"4/24/20",3782
95,"4/25/20",3948
96,"4/26/20",4123
97,"4/27/20",4236
98,"4/28/20",4345
99,"4/29/20",4497
100,"4/30/20",4672
101,"5/1/20",4828
102,"5/2/20",4985
103,"5/3/20",5175
104,"5/4/20",5317
105,"5/5/20",5449
106,"5/6/20",5595
107,"5/7/20",5724
108,"5/8/20",5919
109,"5/9/20",6103
110,"5/10/20",6251
111,"5/11/20",6362
112,"5/12/20",6432
113,"5/13/20",6620
114,"5/14/20",6749
115,"5/15/20",6913
116,"5/16/20",7068
117,"5/17/20",7238
118,"5/18/20",7384
119,"5/19/20",7518
120,"5/20/20",7710
121,"5/21/20",7874
122,"5/22/20",8057
123,"5/23/20",8260
124,"5/24/20",8392
125,"5/25/20",8521
126,"5/26/20",8620
127,"5/27/20",8706
128,"5/28/20",8921
129,"5/29/20",9264
130,"5/30/20",9533
131,"5/31/20",9797
132,"6/1/20",9999
133,"6/2/20",10202
134,"6/3/20",10497
135,"6/4/20",10813
136,"6/5/20",11252
137,"6/6/20",11798
138,"6/7/20",12066
139,"6/8/20",12322
140,"6/9/20",12559
141,"6/10/20",12864
142,"6/11/20",13252
143,"6/12/20",13577
144,"6/13/20",13981
145,"6/14/20",14313
146,"6/15/20",14608
147,"6/16/20",14937
148,"6/17/20",15344
149,"6/18/20",15839
150,"6/19/20",16425
151,"6/20/20",17068
152,"6/21/20",17462
153,"6/22/20",17906
154,"6/23/20",18300
155,"6/24/20",18784
156,"6/25/20",19374
157,"6/26/20",20050
158,"6/27/20",20628
159,"6/28/20",21100
160,"6/29/20",21664
161,"6/30/20",22217
162,"7/1/20",22716
163,"7/2/20",23270
164,"7/3/20",23866
165,"7/4/20",24542
166,"7/5/20",24952
167,"7/6/20",25469
168,"7/7/20",26033
169,"7/8/20",26755
170,"7/9/20",27356
171,"7/10/20",28223
172,"7/11/20",28855
173,"7/12/20",29484
174,"7/13/20",30030
175,"7/14/20",30478
176,"7/15/20",30891
177,"7/16/20",31845
178,"7/17/20",32572
179,"7/18/20",33332
180,"7/19/20",34117
181,"7/20/20",34526
182,"7/21/20",35012
183,"7/22/20",35578
184,"7/23/20",36099
185,"7/24/20",36962
186,"7/25/20",37623
187,"7/26/20",37973
188,"7/27/20",38409
189,"7/28/20",38855
190,"7/29/20",39194
191,"7/30/20",39696
192,"7/31/20",40196
193,"8/1/20",40702
194,"8/2/20",41175
195,"8/3/20",41529
196,"8/4/20",41907
197,"8/5/20",42328
198,"8/6/20",42915
199,"8/7/20",43375
200,"8/8/20",43751
201,"8/9/20",44127
202,"8/10/20",44390
203,"8/11/20",44752
204,"8/12/20",45090
205,"8/13/20",45424
206,"8/14/20",45976
207,"8/15/20",46321
208,"8/16/20",46652
209,"8/17/20",46894
210,"8/18/20",47157
211,"8/19/20",47521
212,"8/20/20",47982
213,"8/21/20",48445
214,"8/22/20",48814
215,"8/23/20",49115
216,"8/24/20",49364
217,"8/25/20",49767
218,"8/26/20",50174
219,"8/27/20",50557
220,"8/28/20",50948
221,"8/29/20",51406
222,"8/30/20",51854
223,"8/31/20",52107
