Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",1
48,"3/9/20",1
49,"3/10/20",1
50,"3/11/20",1
51,"3/12/20",2
52,"3/13/20",2
53,"3/14/20",5
54,"3/15/20",5
55,"3/16/20",12
56,"3/17/20",12
57,"3/18/20",13
58,"3/19/20",22
59,"3/20/20",29
60,"3/21/20",49
61,"3/22/20",52
62,"3/23/20",75
63,"3/24/20",95
64,"3/25/20",125
65,"3/26/20",158
66,"3/27/20",184
67,"3/28/20",211
68,"3/29/20",235
69,"3/30/20",256
70,"3/31/20",293
71,"4/1/20",321
72,"4/2/20",338
73,"4/3/20",389
74,"4/4/20",461
75,"4/5/20",512
76,"4/6/20",543
77,"4/7/20",575
78,"4/8/20",605
79,"4/9/20",628
80,"4/10/20",679
81,"4/11/20",711
82,"4/12/20",727
83,"4/13/20",748
84,"4/14/20",752
85,"4/15/20",759
86,"4/16/20",774
87,"4/17/20",779
88,"4/18/20",803
89,"4/19/20",813
90,"4/20/20",816
91,"4/21/20",818
92,"4/22/20",823
93,"4/23/20",825
94,"4/24/20",827
95,"4/25/20",843
96,"4/26/20",851
97,"4/27/20",855
98,"4/28/20",862
99,"4/29/20",862
100,"4/30/20",866
101,"5/1/20",879
102,"5/2/20",886
103,"5/3/20",897
104,"5/4/20",902
105,"5/5/20",907
106,"5/6/20",908
107,"5/7/20",916
108,"5/8/20",919
109,"5/9/20",921
110,"5/10/20",927
111,"5/11/20",926
112,"5/12/20",927
113,"5/13/20",929
114,"5/14/20",932
115,"5/15/20",933
116,"5/16/20",934
117,"5/17/20",940
118,"5/18/20",940
119,"5/19/20",944
120,"5/20/20",944
121,"5/21/20",950
122,"5/22/20",952
123,"5/23/20",954
124,"5/24/20",956
125,"5/25/20",962
126,"5/26/20",967
127,"5/27/20",971
128,"5/28/20",974
129,"5/29/20",975
130,"5/30/20",977
131,"5/31/20",981
132,"6/1/20",983
133,"6/2/20",988
134,"6/3/20",990
135,"6/4/20",1026
136,"6/5/20",1027
137,"6/6/20",1046
138,"6/7/20",1063
139,"6/8/20",1075
140,"6/9/20",1084
141,"6/10/20",1095
142,"6/11/20",1110
143,"6/12/20",1119
144,"6/13/20",1125
145,"6/14/20",1127
146,"6/15/20",1128
147,"6/16/20",1131
148,"6/17/20",1130
149,"6/18/20",1135
150,"6/19/20",1144
151,"6/20/20",1147
152,"6/21/20",1159
153,"6/22/20",1163
154,"6/23/20",1164
155,"6/24/20",1184
156,"6/25/20",1191
157,"6/26/20",1198
158,"6/27/20",1200
159,"6/28/20",1202
160,"6/29/20",1208
161,"6/30/20",1208
162,"7/1/20",1210
163,"7/2/20",1227
164,"7/3/20",1236
165,"7/4/20",1238
166,"7/5/20",1249
167,"7/6/20",1251
168,"7/7/20",1254
169,"7/8/20",1256
170,"7/9/20",1272
171,"7/10/20",1277
172,"7/11/20",1283
173,"7/12/20",1296
174,"7/13/20",1301
175,"7/14/20",1305
176,"7/15/20",1318
177,"7/16/20",1325
178,"7/17/20",1334
179,"7/18/20",1338
180,"7/19/20",1350
181,"7/20/20",1360
182,"7/21/20",1366
183,"7/22/20",1366
184,"7/23/20",1377
185,"7/24/20",1385
186,"7/25/20",1396
187,"7/26/20",1400
188,"7/27/20",1402
189,"7/28/20",1405
190,"7/29/20",1406
191,"7/30/20",1407
192,"7/31/20",1414
193,"8/1/20",1421
194,"8/2/20",1426
195,"8/3/20",1427
196,"8/4/20",1431
197,"8/5/20",1436
198,"8/6/20",1445
199,"8/7/20",1448
200,"8/8/20",1454
201,"8/9/20",1459
202,"8/10/20",1462
203,"8/11/20",1472
204,"8/12/20",1478
205,"8/13/20",1484
206,"8/14/20",1501
207,"8/15/20",1509
208,"8/16/20",1515
209,"8/17/20",1527
210,"8/18/20",1530
211,"8/19/20",1533
212,"8/20/20",1537
213,"8/21/20",1541
214,"8/22/20",1553
215,"8/23/20",1557
216,"8/24/20",1566
217,"8/25/20",1572
218,"8/26/20",1577
219,"8/27/20",1586
220,"8/28/20",1589
221,"8/29/20",1605
222,"8/30/20",1616
223,"8/31/20",1624
224,"9/1/20",1635
225,"9/2/20",1637
226,"9/3/20",1637
227,"9/4/20",1642
228,"9/5/20",1647
229,"9/6/20",1648
