Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",1
56,"3/17/20",2
57,"3/18/20",2
58,"3/19/20",3
59,"3/20/20",3
60,"3/21/20",6
61,"3/22/20",6
62,"3/23/20",7
63,"3/24/20",17
64,"3/25/20",17
65,"3/26/20",17
66,"3/27/20",19
67,"3/28/20",22
68,"3/29/20",23
69,"3/30/20",30
70,"3/31/20",30
71,"4/1/20",30
72,"4/2/20",30
73,"4/3/20",37
74,"4/4/20",40
75,"4/5/20",42
76,"4/6/20",43
77,"4/7/20",43
78,"4/8/20",45
79,"4/9/20",45
80,"4/10/20",50
81,"4/11/20",51
82,"4/12/20",51
83,"4/13/20",51
84,"4/14/20",51
85,"4/15/20",51
86,"4/16/20",51
87,"4/17/20",51
88,"4/18/20",53
89,"4/19/20",53
90,"4/20/20",53
91,"4/21/20",53
92,"4/22/20",54
93,"4/23/20",54
94,"4/24/20",54
95,"4/25/20",55
96,"4/26/20",57
97,"4/27/20",57
98,"4/28/20",57
99,"4/29/20",57
100,"4/30/20",66
101,"5/1/20",66
102,"5/2/20",66
103,"5/3/20",66
104,"5/4/20",66
105,"5/5/20",66
106,"5/6/20",66
107,"5/7/20",66
108,"5/8/20",68
109,"5/9/20",68
110,"5/10/20",69
111,"5/11/20",69
112,"5/12/20",69
113,"5/13/20",69
114,"5/14/20",69
115,"5/15/20",69
116,"5/16/20",69
117,"5/17/20",69
118,"5/18/20",69
119,"5/19/20",69
120,"5/20/20",69
121,"5/21/20",69
122,"5/22/20",69
123,"5/23/20",69
124,"5/24/20",69
125,"5/25/20",69
126,"5/26/20",69
127,"5/27/20",69
128,"5/28/20",69
129,"5/29/20",69
130,"5/30/20",69
131,"5/31/20",69
132,"6/1/20",70
133,"6/2/20",70
134,"6/3/20",70
135,"6/4/20",71
136,"6/5/20",71
137,"6/6/20",71
138,"6/7/20",71
139,"6/8/20",71
140,"6/9/20",71
141,"6/10/20",72
142,"6/11/20",72
143,"6/12/20",72
144,"6/13/20",72
145,"6/14/20",72
146,"6/15/20",72
147,"6/16/20",72
148,"6/17/20",73
149,"6/18/20",73
150,"6/19/20",73
151,"6/20/20",73
152,"6/21/20",76
153,"6/22/20",76
154,"6/23/20",76
155,"6/24/20",76
156,"6/25/20",80
157,"6/26/20",81
158,"6/27/20",81
159,"6/28/20",81
160,"6/29/20",81
161,"6/30/20",81
162,"7/1/20",90
163,"7/2/20",92
164,"7/3/20",98
165,"7/4/20",111
166,"7/5/20",111
167,"7/6/20",112
168,"7/7/20",116
169,"7/8/20",122
170,"7/9/20",144
171,"7/10/20",153
172,"7/11/20",167
173,"7/12/20",181
174,"7/13/20",206
175,"7/14/20",206
176,"7/15/20",243
177,"7/16/20",249
178,"7/17/20",263
179,"7/18/20",283
180,"7/19/20",283
181,"7/20/20",304
182,"7/21/20",304
183,"7/22/20",320
184,"7/23/20",336
185,"7/24/20",352
186,"7/25/20",352
187,"7/26/20",352
188,"7/27/20",364
189,"7/28/20",375
190,"7/29/20",385
191,"7/30/20",385
192,"7/31/20",406
193,"8/1/20",421
194,"8/2/20",421
195,"8/3/20",439
196,"8/4/20",463
197,"8/5/20",481
198,"8/6/20",501
199,"8/7/20",522
200,"8/8/20",528
201,"8/9/20",528
202,"8/10/20",547
203,"8/11/20",576
204,"8/12/20",639
205,"8/13/20",682
206,"8/14/20",704
207,"8/15/20",734
208,"8/16/20",741
209,"8/17/20",760
210,"8/18/20",796
211,"8/19/20",828
212,"8/20/20",869
213,"8/21/20",932
214,"8/22/20",960
215,"8/23/20",980
216,"8/24/20",984
217,"8/25/20",998
218,"8/26/20",1030
219,"8/27/20",1052
220,"8/28/20",1075
221,"8/29/20",1118
222,"8/30/20",1129
223,"8/31/20",1134
224,"9/1/20",1143
225,"9/2/20",1144
226,"9/3/20",1150
227,"9/4/20",1150
228,"9/5/20",1167
229,"9/6/20",1181
230,"9/7/20",1190
231,"9/8/20",1191
232,"9/9/20",1197
233,"9/10/20",1201
234,"9/11/20",1201
235,"9/12/20",1211
236,"9/13/20",1220
