Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",1
58,"3/19/20",2
59,"3/20/20",8
60,"3/21/20",12
61,"3/22/20",16
62,"3/23/20",16
63,"3/24/20",22
64,"3/25/20",39
65,"3/26/20",52
66,"3/27/20",76
67,"3/28/20",96
68,"3/29/20",113
69,"3/30/20",145
70,"3/31/20",162
71,"4/1/20",191
72,"4/2/20",216
73,"4/3/20",237
74,"4/4/20",282
75,"4/5/20",324
76,"4/6/20",345
77,"4/7/20",412
78,"4/8/20",483
79,"4/9/20",514
80,"4/10/20",574
81,"4/11/20",577
82,"4/12/20",593
83,"4/13/20",611
84,"4/14/20",640
85,"4/15/20",702
86,"4/16/20",728
87,"4/17/20",775
88,"4/18/20",785
89,"4/19/20",890
90,"4/20/20",902
91,"4/21/20",908
92,"4/22/20",939
93,"4/23/20",981
94,"4/24/20",1010
95,"4/25/20",1010
96,"4/26/20",1055
97,"4/27/20",1063
98,"4/28/20",1095
99,"4/29/20",1110
100,"4/30/20",1125
101,"5/1/20",1152
102,"5/2/20",1185
103,"5/3/20",1195
104,"5/4/20",1224
105,"5/5/20",1246
106,"5/6/20",1242
107,"5/7/20",1287
108,"5/8/20",1323
109,"5/9/20",1323
110,"5/10/20",1360
111,"5/11/20",1366
112,"5/12/20",1378
113,"5/13/20",1398
114,"5/14/20",1427
115,"5/15/20",1447
116,"5/16/20",1470
117,"5/17/20",1492
118,"5/18/20",1502
119,"5/19/20",1502
120,"5/20/20",1567
121,"5/21/20",1593
122,"5/22/20",1705
123,"5/23/20",1705
124,"5/24/20",1759
125,"5/25/20",1774
126,"5/26/20",1774
127,"5/27/20",1899
128,"5/28/20",1935
129,"5/29/20",1951
130,"5/30/20",1989
131,"5/31/20",2010
132,"6/1/20",2028
133,"6/2/20",2056
134,"6/3/20",2077
135,"6/4/20",2102
136,"6/5/20",2119
137,"6/6/20",2136
138,"6/7/20",2144
139,"6/8/20",2161
140,"6/9/20",2169
141,"6/10/20",2194
142,"6/11/20",2217
143,"6/12/20",2249
144,"6/13/20",2274
145,"6/14/20",2290
146,"6/15/20",2322
147,"6/16/20",2341
148,"6/17/20",2376
149,"6/18/20",2418
150,"6/19/20",2468
151,"6/20/20",2500
152,"6/21/20",2533
153,"6/22/20",2552
154,"6/23/20",2593
155,"6/24/20",2631
156,"6/25/20",2694
157,"6/26/20",2730
158,"6/27/20",2782
159,"6/28/20",2832
160,"6/29/20",2870
161,"6/30/20",2905
162,"7/1/20",2979
163,"7/2/20",3053
164,"7/3/20",3126
165,"7/4/20",3205
166,"7/5/20",3262
167,"7/6/20",3442
168,"7/7/20",3505
169,"7/8/20",3707
170,"7/9/20",3826
171,"7/10/20",3983
172,"7/11/20",4146
173,"7/12/20",4244
174,"7/13/20",4313
175,"7/14/20",4407
176,"7/15/20",4557
177,"7/16/20",4657
178,"7/17/20",4783
179,"7/18/20",4894
180,"7/19/20",4990
181,"7/20/20",5084
182,"7/21/20",5172
183,"7/22/20",5212
184,"7/23/20",5452
185,"7/24/20",5653
186,"7/25/20",5775
187,"7/26/20",5889
188,"7/27/20",5999
189,"7/28/20",6120
190,"7/29/20",6277
191,"7/30/20",6375
192,"7/31/20",6579
193,"8/1/20",6738
194,"8/2/20",6858
195,"8/3/20",6978
196,"8/4/20",7059
197,"8/5/20",7162
198,"8/6/20",7278
199,"8/7/20",7452
200,"8/8/20",7563
201,"8/9/20",7695
202,"8/10/20",7757
203,"8/11/20",7879
204,"8/12/20",8018
205,"8/13/20",8163
206,"8/14/20",8277
207,"8/15/20",8462
208,"8/16/20",8567
209,"8/17/20",8641
210,"8/18/20",8738
211,"8/19/20",8807
212,"8/20/20",8987
213,"8/21/20",9077
214,"8/22/20",9185
215,"8/23/20",9273
216,"8/24/20",9315
217,"8/25/20",9399
218,"8/26/20",9544
219,"8/27/20",9633
220,"8/28/20",9826
221,"8/29/20",9970
222,"8/30/20",10109
223,"8/31/20",10249
224,"9/1/20",10513
225,"9/2/20",10658
