Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",3
50,"3/11/20",4
51,"3/12/20",8
52,"3/13/20",19
53,"3/14/20",27
54,"3/15/20",28
55,"3/16/20",48
56,"3/17/20",73
57,"3/18/20",111
58,"3/19/20",159
59,"3/20/20",219
60,"3/21/20",282
61,"3/22/20",381
62,"3/23/20",425
63,"3/24/20",481
64,"3/25/20",621
65,"3/26/20",728
66,"3/27/20",926
67,"3/28/20",1055
68,"3/29/20",1164
69,"3/30/20",1230
70,"3/31/20",1412
71,"4/1/20",1556
72,"4/2/20",1748
73,"4/3/20",2012
74,"4/4/20",2030
75,"4/5/20",2320
76,"4/6/20",2449
77,"4/7/20",2578
78,"4/8/20",2710
79,"4/9/20",2886
80,"4/10/20",3068
81,"4/11/20",3213
82,"4/12/20",3341
83,"4/13/20",3428
84,"4/14/20",3555
85,"4/15/20",3721
86,"4/16/20",3875
87,"4/17/20",4053
88,"4/18/20",4199
89,"4/19/20",4346
90,"4/20/20",4499
91,"4/21/20",4625
92,"4/22/20",4845
93,"4/23/20",5052
94,"4/24/20",5356
95,"4/25/20",5687
96,"4/26/20",5912
97,"4/27/20",6081
98,"4/28/20",6289
99,"4/29/20",6520
100,"4/30/20",6854
101,"5/1/20",7314
102,"5/2/20",7660
103,"5/3/20",7964
104,"5/4/20",8236
105,"5/5/20",8566
106,"5/6/20",8901
107,"5/7/20",9215
108,"5/8/20",9590
109,"5/9/20",9939
110,"5/10/20",10219
111,"5/11/20",10418
112,"5/12/20",10611
113,"5/13/20",10902
114,"5/14/20",11275
115,"5/15/20",11685
116,"5/16/20",12187
117,"5/17/20",12543
118,"5/18/20",12687
119,"5/19/20",12885
120,"5/20/20",13413
121,"5/21/20",13885
122,"5/22/20",14396
123,"5/23/20",14877
124,"5/24/20",15277
125,"5/25/20",15584
126,"5/26/20",15863
127,"5/27/20",16462
128,"5/28/20",16974
129,"5/29/20",17707
130,"5/30/20",18230
131,"5/31/20",18403
132,"6/1/20",18543
133,"6/2/20",18917
134,"6/3/20",19400
135,"6/4/20",19892
136,"6/5/20",20249
137,"6/6/20",20571
138,"6/7/20",20835
139,"6/8/20",21038
140,"6/9/20",21308
141,"6/10/20",21593
142,"6/11/20",21926
143,"6/12/20",22246
144,"6/13/20",22518
145,"6/14/20",22758
146,"6/15/20",22932
147,"6/16/20",23198
148,"6/17/20",23456
149,"6/18/20",23876
150,"6/19/20",24154
151,"6/20/20",24539
152,"6/21/20",24819
153,"6/22/20",25068
154,"6/23/20",25331
155,"6/24/20",25763
156,"6/25/20",26227
157,"6/26/20",26747
158,"6/27/20",27286
159,"6/28/20",27743
160,"6/29/20",28058
161,"6/30/20",28659
162,"7/1/20",29199
163,"7/2/20",29738
164,"7/3/20",30317
165,"7/4/20",31055
166,"7/5/20",31577
167,"7/6/20",32061
168,"7/7/20",32556
169,"7/8/20",33154
170,"7/9/20",33908
171,"7/10/20",34753
172,"7/11/20",35679
173,"7/12/20",36448
174,"7/13/20",36942
175,"7/14/20",37906
176,"7/15/20",38727
177,"7/16/20",39627
178,"7/17/20",40507
179,"7/18/20",41485
180,"7/19/20",42315
181,"7/20/20",43018
182,"7/21/20",44135
183,"7/22/20",44847
184,"7/23/20",45899
185,"7/24/20",46917
186,"7/25/20",47870
187,"7/26/20",48827
188,"7/27/20",49417
189,"7/28/20",50179
190,"7/29/20",51049
191,"7/30/20",52108
192,"7/31/20",52940
193,"8/1/20",54002
194,"8/2/20",54924
195,"8/3/20",55328
196,"8/4/20",56056
197,"8/5/20",56940
198,"8/6/20",57779
199,"8/7/20",58768
200,"8/8/20",59933
201,"8/9/20",60554
202,"8/10/20",61061
203,"8/11/20",61785
204,"8/12/20",62263
205,"8/13/20",63206
206,"8/14/20",64227
207,"8/15/20",65056
208,"8/16/20",65741
209,"8/17/20",66196
210,"8/18/20",66196
211,"8/19/20",67493
212,"8/20/20",68233
213,"8/21/20",69059
214,"8/22/20",70009
215,"8/23/20",70462
216,"8/24/20",70854
217,"8/25/20",71492
218,"8/26/20",72260
219,"8/27/20",73138
220,"8/28/20",73981
221,"8/29/20",74800
222,"8/30/20",75337
223,"8/31/20",75603
