Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",0
61,"3/22/20",0
62,"3/23/20",0
63,"3/24/20",0
64,"3/25/20",1
65,"3/26/20",1
66,"3/27/20",1
67,"3/28/20",2
68,"3/29/20",2
69,"3/30/20",3
70,"3/31/20",3
71,"4/1/20",3
72,"4/2/20",3
73,"4/3/20",3
74,"4/4/20",5
75,"4/5/20",6
76,"4/6/20",6
77,"4/7/20",6
78,"4/8/20",7
79,"4/9/20",7
80,"4/10/20",7
81,"4/11/20",8
82,"4/12/20",8
83,"4/13/20",8
84,"4/14/20",9
85,"4/15/20",9
86,"4/16/20",9
87,"4/17/20",9
88,"4/18/20",9
89,"4/19/20",9
90,"4/20/20",9
91,"4/21/20",9
92,"4/22/20",9
93,"4/23/20",9
94,"4/24/20",9
95,"4/25/20",9
96,"4/26/20",9
97,"4/27/20",9
98,"4/28/20",9
99,"4/29/20",9
100,"4/30/20",9
101,"5/1/20",9
102,"5/2/20",9
103,"5/3/20",9
104,"5/4/20",9
105,"5/5/20",9
106,"5/6/20",10
107,"5/7/20",10
108,"5/8/20",10
109,"5/9/20",10
110,"5/10/20",10
111,"5/11/20",10
112,"5/12/20",10
113,"5/13/20",10
114,"5/14/20",10
115,"5/15/20",10
116,"5/16/20",10
117,"5/17/20",10
118,"5/18/20",10
119,"5/19/20",10
120,"5/20/20",10
121,"5/21/20",10
122,"5/22/20",10
123,"5/23/20",10
124,"5/24/20",10
125,"5/25/20",10
126,"5/26/20",10
127,"5/27/20",10
128,"5/28/20",10
129,"5/29/20",10
130,"5/30/20",10
131,"5/31/20",10
132,"6/1/20",10
133,"6/2/20",10
134,"6/3/20",10
135,"6/4/20",10
136,"6/5/20",10
137,"6/6/20",10
138,"6/7/20",10
139,"6/8/20",10
140,"6/9/20",11
141,"6/10/20",11
142,"6/11/20",11
143,"6/12/20",12
144,"6/13/20",12
145,"6/14/20",12
146,"6/15/20",12
147,"6/16/20",12
148,"6/17/20",12
149,"6/18/20",12
150,"6/19/20",12
151,"6/20/20",12
152,"6/21/20",12
153,"6/22/20",12
154,"6/23/20",12
155,"6/24/20",12
156,"6/25/20",12
157,"6/26/20",14
158,"6/27/20",14
159,"6/28/20",14
160,"6/29/20",14
161,"6/30/20",14
162,"7/1/20",14
163,"7/2/20",14
164,"7/3/20",15
165,"7/4/20",16
166,"7/5/20",16
167,"7/6/20",16
168,"7/7/20",17
169,"7/8/20",17
170,"7/9/20",17
171,"7/10/20",17
172,"7/11/20",17
173,"7/12/20",17
174,"7/13/20",17
175,"7/14/20",17
176,"7/15/20",17
177,"7/16/20",17
178,"7/17/20",17
179,"7/18/20",18
180,"7/19/20",18
181,"7/20/20",18
182,"7/21/20",18
183,"7/22/20",19
184,"7/23/20",19
185,"7/24/20",19
186,"7/25/20",20
187,"7/26/20",20
188,"7/27/20",21
189,"7/28/20",22
190,"7/29/20",22
191,"7/30/20",23
192,"7/31/20",23
193,"8/1/20",24
194,"8/2/20",24
195,"8/3/20",25
196,"8/4/20",25
197,"8/5/20",25
198,"8/6/20",25
199,"8/7/20",25
200,"8/8/20",26
201,"8/9/20",26
202,"8/10/20",26
203,"8/11/20",26
204,"8/12/20",27
205,"8/13/20",27
206,"8/14/20",27
207,"8/15/20",28
208,"8/16/20",28
209,"8/17/20",28
210,"8/18/20",29
211,"8/19/20",29
212,"8/20/20",29
213,"8/21/20",30
214,"8/22/20",31
215,"8/23/20",32
216,"8/24/20",32
217,"8/25/20",36
218,"8/26/20",37
219,"8/27/20",37
220,"8/28/20",37
221,"8/29/20",37
222,"8/30/20",37
223,"8/31/20",37
224,"9/1/20",39
225,"9/2/20",39
226,"9/3/20",40
227,"9/4/20",40
228,"9/5/20",42
229,"9/6/20",42
230,"9/7/20",42
231,"9/8/20",42
232,"9/9/20",42
233,"9/10/20",42
234,"9/11/20",43
235,"9/12/20",44
236,"9/13/20",44
237,"9/14/20",44
