Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",1
61,"3/22/20",2
62,"3/23/20",2
63,"3/24/20",5
64,"3/25/20",6
65,"3/26/20",8
66,"3/27/20",13
67,"3/28/20",15
68,"3/29/20",17
69,"3/30/20",20
70,"3/31/20",25
71,"4/1/20",32
72,"4/2/20",35
73,"4/3/20",44
74,"4/4/20",52
75,"4/5/20",64
76,"4/6/20",65
77,"4/7/20",73
78,"4/8/20",89
79,"4/9/20",98
80,"4/10/20",106
81,"4/11/20",117
82,"4/12/20",125
83,"4/13/20",132
84,"4/14/20",143
85,"4/15/20",155
86,"4/16/20",164
87,"4/17/20",183
88,"4/18/20",180
89,"4/19/20",184
90,"4/20/20",191
91,"4/21/20",208
92,"4/22/20",231
93,"4/23/20",249
94,"4/24/20",266
95,"4/25/20",273
96,"4/26/20",275
97,"4/27/20",275
98,"4/28/20",275
99,"4/29/20",308
100,"4/30/20",320
101,"5/1/20",330
102,"5/2/20",330
103,"5/3/20",362
104,"5/4/20",362
105,"5/5/20",395
106,"5/6/20",426
107,"5/7/20",450
108,"5/8/20",517
109,"5/9/20",532
110,"5/10/20",536
111,"5/11/20",542
112,"5/12/20",562
113,"5/13/20",595
114,"5/14/20",624
115,"5/15/20",651
116,"5/16/20",679
117,"5/17/20",680
118,"5/18/20",687
119,"5/19/20",705
120,"5/20/20",747
121,"5/21/20",764
122,"5/22/20",775
123,"5/23/20",801
124,"5/24/20",801
125,"5/25/20",807
126,"5/26/20",810
127,"5/27/20",834
128,"5/28/20",860
129,"5/29/20",886
130,"5/30/20",904
131,"5/31/20",907
132,"6/1/20",918
133,"6/2/20",943
134,"6/3/20",983
135,"6/4/20",999
136,"6/5/20",1015
137,"6/6/20",1043
138,"6/7/20",1051
139,"6/8/20",1053
140,"6/9/20",1076
141,"6/10/20",1101
142,"6/11/20",1135
143,"6/12/20",1156
144,"6/13/20",1189
145,"6/14/20",1191
146,"6/15/20",1203
147,"6/16/20",1228
148,"6/17/20",1249
149,"6/18/20",1283
150,"6/19/20",1321
151,"6/20/20",1346
152,"6/21/20",1349
153,"6/22/20",1351
154,"6/23/20",1396
155,"6/24/20",1467
156,"6/25/20",1495
157,"6/26/20",1536
158,"6/27/20",1580
159,"6/28/20",1594
160,"6/29/20",1598
161,"6/30/20",1645
162,"7/1/20",1725
163,"7/2/20",1764
164,"7/3/20",1798
165,"7/4/20",1817
166,"7/5/20",1825
167,"7/6/20",1829
168,"7/7/20",1927
169,"7/8/20",1963
170,"7/9/20",2038
171,"7/10/20",2082
172,"7/11/20",2151
173,"7/12/20",2237
174,"7/13/20",2246
175,"7/14/20",2337
176,"7/15/20",2434
177,"7/16/20",2492
178,"7/17/20",2583
179,"7/18/20",2730
180,"7/19/20",2761
181,"7/20/20",2784
182,"7/21/20",2918
183,"7/22/20",2974
184,"7/23/20",3063
185,"7/24/20",3143
186,"7/25/20",3286
187,"7/26/20",3305
188,"7/27/20",3304
189,"7/28/20",3408
190,"7/29/20",3454
191,"7/30/20",3626
192,"7/31/20",3694
193,"8/1/20",3747
194,"8/2/20",3765
195,"8/3/20",3779
196,"8/4/20",3845
197,"8/5/20",3932
198,"8/6/20",4002
199,"8/7/20",4081
200,"8/8/20",4137
201,"8/9/20",4150
202,"8/10/20",4154
203,"8/11/20",4199
204,"8/12/20",4347
205,"8/13/20",4383
206,"8/14/20",4423
207,"8/15/20",4492
208,"8/16/20",4506
209,"8/17/20",4506
210,"8/18/20",4529
211,"8/19/20",4634
212,"8/20/20",4684
213,"8/21/20",4688
214,"8/22/20",4756
215,"8/23/20",4771
216,"8/24/20",4771
217,"8/25/20",4792
218,"8/26/20",4896
219,"8/27/20",4929
220,"8/28/20",4978
221,"8/29/20",5007
222,"8/30/20",5030
223,"8/31/20",5029
224,"9/1/20",5044
225,"9/2/20",5065
226,"9/3/20",5130
227,"9/4/20",5171
228,"9/5/20",5207
229,"9/6/20",5221
