Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",1
44,"3/5/20",1
45,"3/6/20",1
46,"3/7/20",1
47,"3/8/20",1
48,"3/9/20",1
49,"3/10/20",2
50,"3/11/20",4
51,"3/12/20",4
52,"3/13/20",4
53,"3/14/20",3
54,"3/15/20",5
55,"3/16/20",7
56,"3/17/20",12
57,"3/18/20",16
58,"3/19/20",18
59,"3/20/20",24
60,"3/21/20",25
61,"3/22/20",30
62,"3/23/20",39
63,"3/24/20",50
64,"3/25/20",65
65,"3/26/20",81
66,"3/27/20",94
67,"3/28/20",110
68,"3/29/20",124
69,"3/30/20",146
70,"3/31/20",173
71,"4/1/20",199
72,"4/2/20",238
73,"4/3/20",265
74,"4/4/20",289
75,"4/5/20",348
76,"4/6/20",380
77,"4/7/20",432
78,"4/8/20",495
79,"4/9/20",544
80,"4/10/20",583
81,"4/11/20",604
82,"4/12/20",640
83,"4/13/20",714
84,"4/14/20",767
85,"4/15/20",860
86,"4/16/20",956
87,"4/17/20",1037
88,"4/18/20",1140
89,"4/19/20",1177
90,"4/20/20",1225
91,"4/21/20",1282
92,"4/22/20",1421
93,"4/23/20",1533
94,"4/24/20",1621
95,"4/25/20",1689
96,"4/26/20",1725
97,"4/27/20",1779
98,"4/28/20",1864
99,"4/29/20",1946
100,"4/30/20",2031
101,"5/1/20",2126
102,"5/2/20",2180
103,"5/3/20",2216
104,"5/4/20",2278
105,"5/5/20",2381
106,"5/6/20",2464
107,"5/7/20",2535
108,"5/8/20",2613
109,"5/9/20",2687
110,"5/10/20",2716
111,"5/11/20",2779
112,"5/12/20",2879
113,"5/13/20",2957
114,"5/14/20",3052
115,"5/15/20",3136
116,"5/16/20",3208
117,"5/17/20",3240
118,"5/18/20",3279
119,"5/19/20",3403
120,"5/20/20",3497
121,"5/21/20",3583
122,"5/22/20",3665
123,"5/23/20",3737
124,"5/24/20",3753
125,"5/25/20",3768
126,"5/26/20",3818
127,"5/27/20",3894
128,"5/28/20",3993
129,"5/29/20",4077
130,"5/30/20",4144
131,"5/31/20",4172
132,"6/1/20",4217
133,"6/2/20",4305
134,"6/3/20",4374
135,"6/4/20",4444
136,"6/5/20",4529
137,"6/6/20",4607
138,"6/7/20",4632
139,"6/8/20",4657
140,"6/9/20",4745
141,"6/10/20",4854
142,"6/11/20",4934
143,"6/12/20",4978
144,"6/13/20",5076
145,"6/14/20",5099
146,"6/15/20",5114
147,"6/16/20",5200
148,"6/17/20",5271
149,"6/18/20",5355
150,"6/19/20",5426
151,"6/20/20",5494
152,"6/21/20",5515
153,"6/22/20",5566
154,"6/23/20",5626
155,"6/24/20",5725
156,"6/25/20",5806
157,"6/26/20",5868
158,"6/27/20",5899
159,"6/28/20",5932
160,"6/29/20",5983
161,"6/30/20",6082
162,"7/1/20",6169
163,"7/2/20",6265
164,"7/3/20",6315
165,"7/4/20",6334
166,"7/5/20",6373
167,"7/6/20",6441
168,"7/7/20",6573
169,"7/8/20",6718
170,"7/9/20",6859
171,"7/10/20",6955
172,"7/11/20",7027
173,"7/12/20",7051
174,"7/13/20",7089
175,"7/14/20",7250
176,"7/15/20",7375
177,"7/16/20",7489
178,"7/17/20",7603
179,"7/18/20",7702
180,"7/19/20",7715
181,"7/20/20",7770
182,"7/21/20",7888
183,"7/22/20",8047
184,"7/23/20",8201
185,"7/24/20",8337
186,"7/25/20",8408
187,"7/26/20",8448
188,"7/27/20",8494
189,"7/28/20",8679
190,"7/29/20",8908
191,"7/30/20",9026
192,"7/31/20",9214
193,"8/1/20",9345
194,"8/2/20",9396
195,"8/3/20",9441
196,"8/4/20",9684
197,"8/5/20",9808
198,"8/6/20",10021
199,"8/7/20",10133
200,"8/8/20",10307
201,"8/9/20",10377
202,"8/10/20",10476
203,"8/11/20",10523
204,"8/12/20",10753
205,"8/13/20",10870
206,"8/14/20",11148
207,"8/15/20",11218
208,"8/16/20",11243
209,"8/17/20",11296
210,"8/18/20",11504
211,"8/19/20",11690
212,"8/20/20",11810
213,"8/21/20",11946
214,"8/22/20",12131
215,"8/23/20",12153
216,"8/24/20",12235
217,"8/25/20",12382
218,"8/26/20",12532
219,"8/27/20",12677
220,"8/28/20",12805
221,"8/29/20",12894
222,"8/30/20",12937
223,"8/31/20",13022
224,"9/1/20",13150
225,"9/2/20",13317
