Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",1
52,"3/13/20",2
53,"3/14/20",2
54,"3/15/20",2
55,"3/16/20",2
56,"3/17/20",3
57,"3/18/20",3
58,"3/19/20",5
59,"3/20/20",5
60,"3/21/20",6
61,"3/22/20",7
62,"3/23/20",7
63,"3/24/20",11
64,"3/25/20",20
65,"3/26/20",19
66,"3/27/20",31
67,"3/28/20",44
68,"3/29/20",47
69,"3/30/20",51
70,"3/31/20",69
71,"4/1/20",79
72,"4/2/20",96
73,"4/3/20",110
74,"4/4/20",125
75,"4/5/20",139
76,"4/6/20",149
77,"4/7/20",178
78,"4/8/20",192
79,"4/9/20",225
80,"4/10/20",249
81,"4/11/20",273
82,"4/12/20",289
83,"4/13/20",306
84,"4/14/20",327
85,"4/15/20",354
86,"4/16/20",372
87,"4/17/20",389
88,"4/18/20",411
89,"4/19/20",420
90,"4/20/20",447
91,"4/21/20",483
92,"4/22/20",506
93,"4/23/20",550
94,"4/24/20",672
95,"4/25/20",682
96,"4/26/20",686
97,"4/27/20",704
98,"4/28/20",734
99,"4/29/20",764
100,"4/30/20",775
101,"5/1/20",819
102,"5/2/20",830
103,"5/3/20",840
104,"5/4/20",849
105,"5/5/20",901
106,"5/6/20",917
107,"5/7/20",942
108,"5/8/20",958
109,"5/9/20",965
110,"5/10/20",969
111,"5/11/20",986
112,"5/12/20",1009
113,"5/13/20",1061
114,"5/14/20",1086
115,"5/15/20",1150
116,"5/16/20",1192
117,"5/17/20",1215
118,"5/18/20",1224
119,"5/19/20",1257
120,"5/20/20",1299
121,"5/21/20",1310
122,"5/22/20",1324
123,"5/23/20",1327
124,"5/24/20",1332
125,"5/25/20",1333
126,"5/26/20",1352
127,"5/27/20",1392
128,"5/28/20",1421
129,"5/29/20",1436
130,"5/30/20",1443
131,"5/31/20",1445
132,"6/1/20",1458
133,"6/2/20",1474
134,"6/3/20",1494
135,"6/4/20",1512
136,"6/5/20",1524
137,"6/6/20",1527
138,"6/7/20",1527
139,"6/8/20",1543
140,"6/9/20",1553
141,"6/10/20",1572
142,"6/11/20",1582
143,"6/12/20",1582
144,"6/13/20",1597
145,"6/14/20",1598
146,"6/15/20",1605
147,"6/16/20",1617
148,"6/17/20",1631
149,"6/18/20",1638
150,"6/19/20",1643
151,"6/20/20",1647
152,"6/21/20",1647
153,"6/22/20",1651
154,"6/23/20",1665
155,"6/24/20",1667
156,"6/25/20",1669
157,"6/26/20",1673
158,"6/27/20",1674
159,"6/28/20",1676
160,"6/29/20",1681
161,"6/30/20",1690
162,"7/1/20",1697
163,"7/2/20",1701
164,"7/3/20",1701
165,"7/4/20",1701
166,"7/5/20",1701
167,"7/6/20",1691
168,"7/7/20",1696
169,"7/8/20",1704
170,"7/9/20",1706
171,"7/10/20",1724
172,"7/11/20",1725
173,"7/12/20",1725
174,"7/13/20",1727
175,"7/14/20",1738
176,"7/15/20",1744
177,"7/16/20",1745
178,"7/17/20",1751
179,"7/18/20",1752
180,"7/19/20",1752
181,"7/20/20",1758
182,"7/21/20",1763
183,"7/22/20",1771
184,"7/23/20",1786
185,"7/24/20",1790
186,"7/25/20",1794
187,"7/26/20",1794
188,"7/27/20",1799
189,"7/28/20",1807
190,"7/29/20",1822
191,"7/30/20",1822
192,"7/31/20",1838
193,"8/1/20",1844
194,"8/2/20",1844
195,"8/3/20",1844
196,"8/4/20",1849
197,"8/5/20",1851
198,"8/6/20",1852
199,"8/7/20",1857
200,"8/8/20",1857
201,"8/9/20",1858
202,"8/10/20",1862
203,"8/11/20",1874
204,"8/12/20",1875
205,"8/13/20",1882
206,"8/14/20",1888
207,"8/15/20",1896
208,"8/16/20",1896
209,"8/17/20",1896
210,"8/18/20",1899
211,"8/19/20",1900
212,"8/20/20",1903
213,"8/21/20",1910
214,"8/22/20",1918
215,"8/23/20",1918
216,"8/24/20",1919
217,"8/25/20",1926
218,"8/26/20",1927
219,"8/27/20",1931
220,"8/28/20",1937
221,"8/29/20",1942
222,"8/30/20",1942
223,"8/31/20",1945
224,"9/1/20",1946
225,"9/2/20",1952
226,"9/3/20",1955
227,"9/4/20",1955
