Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",0
61,"3/22/20",0
62,"3/23/20",0
63,"3/24/20",0
64,"3/25/20",0
65,"3/26/20",0
66,"3/27/20",1
67,"3/28/20",0
68,"3/29/20",0
69,"3/30/20",0
70,"3/31/20",3
71,"4/1/20",0
72,"4/2/20",0
73,"4/3/20",2
74,"4/4/20",2
75,"4/5/20",14
76,"4/6/20",15
77,"4/7/20",18
78,"4/8/20",22
79,"4/9/20",38
80,"4/10/20",49
81,"4/11/20",40
82,"4/12/20",46
83,"4/13/20",47
84,"4/14/20",53
85,"4/15/20",62
86,"4/16/20",64
87,"4/17/20",77
88,"4/18/20",87
89,"4/19/20",91
90,"4/20/20",101
91,"4/21/20",106
92,"4/22/20",119
93,"4/23/20",133
94,"4/24/20",149
95,"4/25/20",157
96,"4/26/20",170
97,"4/27/20",183
98,"4/28/20",194
99,"4/29/20",206
100,"4/30/20",212
101,"5/1/20",224
102,"5/2/20",236
103,"5/3/20",248
104,"5/4/20",258
105,"5/5/20",269
106,"5/6/20",272
107,"5/7/20",288
108,"5/8/20",301
109,"5/9/20",305
110,"5/10/20",316
111,"5/11/20",328
112,"5/12/20",340
113,"5/13/20",356
114,"5/14/20",368
115,"5/15/20",379
116,"5/16/20",389
117,"5/17/20",399
118,"5/18/20",406
119,"5/19/20",417
120,"5/20/20",426
121,"5/21/20",431
122,"5/22/20",436
123,"5/23/20",442
124,"5/24/20",450
125,"5/25/20",456
126,"5/26/20",465
127,"5/27/20",475
128,"5/28/20",483
129,"5/29/20",490
130,"5/30/20",494
131,"5/31/20",497
132,"6/1/20",500
133,"6/2/20",501
134,"6/3/20",505
135,"6/4/20",518
136,"6/5/20",521
137,"6/6/20",521
138,"6/7/20",524
139,"6/8/20",527
140,"6/9/20",531
141,"6/10/20",533
142,"6/11/20",535
143,"6/12/20",537
144,"6/13/20",540
145,"6/14/20",541
146,"6/15/20",543
147,"6/16/20",544
148,"6/17/20",547
149,"6/18/20",548
150,"6/19/20",552
151,"6/20/20",552
152,"6/21/20",555
153,"6/22/20",557
154,"6/23/20",557
155,"6/24/20",559
156,"6/25/20",559
157,"6/26/20",561
158,"6/27/20",562
159,"6/28/20",564
160,"6/29/20",565
161,"6/30/20",566
162,"7/1/20",567
163,"7/2/20",568
164,"7/3/20",568
165,"7/4/20",569
166,"7/5/20",571
167,"7/6/20",572
168,"7/7/20",573
169,"7/8/20",574
170,"7/9/20",583
171,"7/10/20",584
172,"7/11/20",585
173,"7/12/20",588
174,"7/13/20",590
175,"7/14/20",590
176,"7/15/20",590
177,"7/16/20",590
178,"7/17/20",590
179,"7/18/20",592
180,"7/19/20",595
181,"7/20/20",595
182,"7/21/20",597
183,"7/22/20",599
184,"7/23/20",599
185,"7/24/20",602
186,"7/25/20",604
187,"7/26/20",605
188,"7/27/20",606
189,"7/28/20",606
190,"7/29/20",607
191,"7/30/20",607
192,"7/31/20",608
193,"8/1/20",600
194,"8/2/20",600
195,"8/3/20",600
196,"8/4/20",601
197,"8/5/20",606
198,"8/6/20",606
199,"8/7/20",606
200,"8/8/20",606
201,"8/9/20",606
202,"8/10/20",606
203,"8/11/20",608
204,"8/12/20",608
205,"8/13/20",608
206,"8/14/20",608
207,"8/15/20",608
208,"8/16/20",608
209,"8/17/20",610
210,"8/18/20",611
211,"8/19/20",611
212,"8/20/20",611
213,"8/21/20",612
214,"8/22/20",613
215,"8/23/20",614
216,"8/24/20",614
217,"8/25/20",614
218,"8/26/20",614
219,"8/27/20",614
220,"8/28/20",615
221,"8/29/20",615
222,"8/30/20",615
223,"8/31/20",617
224,"9/1/20",620
225,"9/2/20",622
226,"9/3/20",622
227,"9/4/20",622
228,"9/5/20",623
229,"9/6/20",624
230,"9/7/20",626
231,"9/8/20",627
232,"9/9/20",628
233,"9/10/20",628
234,"9/11/20",630
235,"9/12/20",630
236,"9/13/20",630
237,"9/14/20",631
