Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",1
52,"3/13/20",1
53,"3/14/20",1
54,"3/15/20",1
55,"3/16/20",1
56,"3/17/20",1
57,"3/18/20",3
58,"3/19/20",10
59,"3/20/20",14
60,"3/21/20",20
61,"3/22/20",25
62,"3/23/20",25
63,"3/24/20",32
64,"3/25/20",40
65,"3/26/20",48
66,"3/27/20",64
67,"3/28/20",69
68,"3/29/20",80
69,"3/30/20",87
70,"3/31/20",111
71,"4/1/20",139
72,"4/2/20",163
73,"4/3/20",184
74,"4/4/20",201
75,"4/5/20",211
76,"4/6/20",229
77,"4/7/20",329
78,"4/8/20",362
79,"4/9/20",379
80,"4/10/20",416
81,"4/11/20",429
82,"4/12/20",433
83,"4/13/20",465
84,"4/14/20",525
85,"4/15/20",552
86,"4/16/20",587
87,"4/17/20",643
88,"4/18/20",666
89,"4/19/20",680
90,"4/20/20",768
91,"4/21/20",791
92,"4/22/20",839
93,"4/23/20",871
94,"4/24/20",889
95,"4/25/20",897
96,"4/26/20",907
97,"4/27/20",982
98,"4/28/20",1023
99,"4/29/20",1087
100,"4/30/20",1118
101,"5/1/20",1155
102,"5/2/20",1163
103,"5/3/20",1170
104,"5/4/20",1228
105,"5/5/20",1281
106,"5/6/20",1309
107,"5/7/20",1336
108,"5/8/20",1378
109,"5/9/20",1381
110,"5/10/20",1384
111,"5/11/20",1420
112,"5/12/20",1474
113,"5/13/20",1494
114,"5/14/20",1522
115,"5/15/20",1563
116,"5/16/20",1573
117,"5/17/20",1585
118,"5/18/20",1624
119,"5/19/20",1650
120,"5/20/20",1672
121,"5/21/20",1749
122,"5/22/20",1779
123,"5/23/20",1794
124,"5/24/20",1799
125,"5/25/20",1820
126,"5/26/20",1868
127,"5/27/20",1904
128,"5/28/20",1942
129,"5/29/20",1956
130,"5/30/20",1973
131,"5/31/20",2019
132,"6/1/20",2060
133,"6/2/20",2070
134,"6/3/20",2092
135,"6/4/20",2118
136,"6/5/20",2143
137,"6/6/20",2147
138,"6/7/20",2148
139,"6/8/20",2176
140,"6/9/20",2250
141,"6/10/20",2292
142,"6/11/20",2337
143,"6/12/20",2384
144,"6/13/20",2412
145,"6/14/20",2416
146,"6/15/20",2457
147,"6/16/20",2492
148,"6/17/20",2536
149,"6/18/20",2565
150,"6/19/20",2596
151,"6/20/20",2602
152,"6/21/20",2603
153,"6/22/20",2607
154,"6/23/20",2654
155,"6/24/20",2658
156,"6/25/20",2704
157,"6/26/20",2727
158,"6/27/20",2733
159,"6/28/20",2735
160,"6/29/20",2739
161,"6/30/20",2758
162,"7/1/20",2779
163,"7/2/20",2801
164,"7/3/20",2809
165,"7/4/20",2809
166,"7/5/20",2812
167,"7/6/20",2829
168,"7/7/20",2850
169,"7/8/20",2871
170,"7/9/20",2880
171,"7/10/20",2915
172,"7/11/20",2946
173,"7/12/20",2953
174,"7/13/20",2972
175,"7/14/20",2996
176,"7/15/20",3030
177,"7/16/20",3044
178,"7/17/20",3071
179,"7/18/20",3106
180,"7/19/20",3111
181,"7/20/20",3114
182,"7/21/20",3186
183,"7/22/20",3264
184,"7/23/20",3289
185,"7/24/20",3369
186,"7/25/20",3420
187,"7/26/20",3424
188,"7/27/20",3435
189,"7/28/20",3488
190,"7/29/20",3566
191,"7/30/20",3596
192,"7/31/20",3674
193,"8/1/20",3744
194,"8/2/20",3758
195,"8/3/20",3760
196,"8/4/20",3835
197,"8/5/20",3899
198,"8/6/20",3942
199,"8/7/20",4029
200,"8/8/20",4095
201,"8/9/20",4108
202,"8/10/20",4138
203,"8/11/20",4255
204,"8/12/20",4360
205,"8/13/20",4440
206,"8/14/20",4474
207,"8/15/20",4568
208,"8/16/20",4600
209,"8/17/20",4624
210,"8/18/20",4691
211,"8/19/20",4744
212,"8/20/20",4797
213,"8/21/20",4889
214,"8/22/20",4982
215,"8/23/20",5021
216,"8/24/20",5045
217,"8/25/20",5147
218,"8/26/20",5195
219,"8/27/20",5275
220,"8/28/20",5352
221,"8/29/20",5451
222,"8/30/20",5478
223,"8/31/20",5506
224,"9/1/20",5604
225,"9/2/20",5665
226,"9/3/20",5735
