Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",1
53,"3/14/20",1
54,"3/15/20",1
55,"3/16/20",1
56,"3/17/20",1
57,"3/18/20",1
58,"3/19/20",1
59,"3/20/20",1
60,"3/21/20",2
61,"3/22/20",2
62,"3/23/20",2
63,"3/24/20",2
64,"3/25/20",3
65,"3/26/20",3
66,"3/27/20",4
67,"3/28/20",5
68,"3/29/20",7
69,"3/30/20",8
70,"3/31/20",9
71,"4/1/20",10
72,"4/2/20",13
73,"4/3/20",18
74,"4/4/20",18
75,"4/5/20",21
76,"4/6/20",24
77,"4/7/20",34
78,"4/8/20",38
79,"4/9/20",34
80,"4/10/20",50
81,"4/11/20",52
82,"4/12/20",63
83,"4/13/20",61
84,"4/14/20",77
85,"4/15/20",73
86,"4/16/20",80
87,"4/17/20",84
88,"4/18/20",86
89,"4/19/20",93
90,"4/20/20",102
91,"4/21/20",109
92,"4/22/20",112
93,"4/23/20",113
94,"4/24/20",118
95,"4/25/20",120
96,"4/26/20",121
97,"4/27/20",126
98,"4/28/20",127
99,"4/29/20",134
100,"4/30/20",134
101,"5/1/20",140
102,"5/2/20",142
103,"5/3/20",144
104,"5/4/20",156
105,"5/5/20",161
106,"5/6/20",164
107,"5/7/20",165
108,"5/8/20",168
109,"5/9/20",174
110,"5/10/20",174
111,"5/11/20",180
112,"5/12/20",184
113,"5/13/20",188
114,"5/14/20",189
115,"5/15/20",193
116,"5/16/20",195
117,"5/17/20",195
118,"5/18/20",198
119,"5/19/20",199
120,"5/20/20",202
121,"5/21/20",204
122,"5/22/20",205
123,"5/23/20",205
124,"5/24/20",205
125,"5/25/20",207
126,"5/26/20",210
127,"5/27/20",213
128,"5/28/20",214
129,"5/29/20",215
130,"5/30/20",215
131,"5/31/20",215
132,"6/1/20",217
133,"6/2/20",222
134,"6/3/20",226
135,"6/4/20",227
136,"6/5/20",232
137,"6/6/20",233
138,"6/7/20",233
139,"6/8/20",236
140,"6/9/20",237
141,"6/10/20",240
142,"6/11/20",243
143,"6/12/20",243
144,"6/13/20",245
145,"6/14/20",245
146,"6/15/20",246
147,"6/16/20",246
148,"6/17/20",247
149,"6/18/20",251
150,"6/19/20",254
151,"6/20/20",256
152,"6/21/20",257
153,"6/22/20",258
154,"6/23/20",260
155,"6/24/20",261
156,"6/25/20",262
157,"6/26/20",265
158,"6/27/20",268
159,"6/28/20",269
160,"6/29/20",273
161,"6/30/20",273
162,"7/1/20",277
163,"7/2/20",280
164,"7/3/20",282
165,"7/4/20",283
166,"7/5/20",284
167,"7/6/20",285
168,"7/7/20",289
169,"7/8/20",289
170,"7/9/20",293
171,"7/10/20",293
172,"7/11/20",295
173,"7/12/20",297
174,"7/13/20",298
175,"7/14/20",299
176,"7/15/20",304
177,"7/16/20",305
178,"7/17/20",306
179,"7/18/20",308
180,"7/19/20",309
181,"7/20/20",312
182,"7/21/20",316
183,"7/22/20",321
184,"7/23/20",322
185,"7/24/20",330
186,"7/25/20",329
187,"7/26/20",331
188,"7/27/20",335
189,"7/28/20",340
190,"7/29/20",349
191,"7/30/20",357
192,"7/31/20",358
193,"8/1/20",358
194,"8/2/20",361
195,"8/3/20",367
196,"8/4/20",368
197,"8/5/20",372
198,"8/6/20",378
199,"8/7/20",380
200,"8/8/20",380
201,"8/9/20",380
202,"8/10/20",387
203,"8/11/20",393
204,"8/12/20",397
205,"8/13/20",403
206,"8/14/20",404
207,"8/15/20",406
208,"8/16/20",406
209,"8/17/20",407
210,"8/18/20",411
211,"8/19/20",415
212,"8/20/20",419
213,"8/21/20",426
214,"8/22/20",426
215,"8/23/20",426
216,"8/24/20",429
217,"8/25/20",430
218,"8/26/20",442
219,"8/27/20",444
220,"8/28/20",445
221,"8/29/20",449
222,"8/30/20",449
223,"8/31/20",451
224,"9/1/20",456
225,"9/2/20",461
226,"9/3/20",471
227,"9/4/20",481
228,"9/5/20",481
229,"9/6/20",481
230,"9/7/20",485
231,"9/8/20",485
232,"9/9/20",499
233,"9/10/20",503
234,"9/11/20",516
235,"9/12/20",526
236,"9/13/20",528
237,"9/14/20",542
