Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",1
59,"3/20/20",2
60,"3/21/20",2
61,"3/22/20",3
62,"3/23/20",3
63,"3/24/20",4
64,"3/25/20",4
65,"3/26/20",4
66,"3/27/20",5
67,"3/28/20",5
68,"3/29/20",10
69,"3/30/20",15
70,"3/31/20",18
71,"4/1/20",31
72,"4/2/20",36
73,"4/3/20",43
74,"4/4/20",54
75,"4/5/20",67
76,"4/6/20",91
77,"4/7/20",103
78,"4/8/20",124
79,"4/9/20",138
80,"4/10/20",171
81,"4/11/20",206
82,"4/12/20",236
83,"4/13/20",262
84,"4/14/20",302
85,"4/15/20",311
86,"4/16/20",319
87,"4/17/20",334
88,"4/18/20",421
89,"4/19/20",461
90,"4/20/20",582
91,"4/21/20",652
92,"4/22/20",698
93,"4/23/20",748
94,"4/24/20",798
95,"4/25/20",875
96,"4/26/20",910
97,"4/27/20",945
98,"4/28/20",1016
99,"4/29/20",1078
100,"4/30/20",1140
101,"5/1/20",1080
102,"5/2/20",1251
103,"5/3/20",1281
104,"5/4/20",1317
105,"5/5/20",1390
106,"5/6/20",1437
107,"5/7/20",1503
108,"5/8/20",1560
109,"5/9/20",1614
110,"5/10/20",1644
111,"5/11/20",1683
112,"5/12/20",1756
113,"5/13/20",1809
114,"5/14/20",1866
115,"5/15/20",1911
116,"5/16/20",1957
117,"5/17/20",1992
118,"5/18/20",2023
119,"5/19/20",2081
120,"5/20/20",2123
121,"5/21/20",2159
122,"5/22/20",2207
123,"5/23/20",2243
124,"5/24/20",2277
125,"5/25/20",2302
126,"5/26/20",2333
127,"5/27/20",2392
128,"5/28/20",2428
129,"5/29/20",2466
130,"5/30/20",2509
131,"5/31/20",2532
132,"6/1/20",2552
133,"6/2/20",2597
134,"6/3/20",2641
135,"6/4/20",2668
136,"6/5/20",2702
137,"6/6/20",2740
138,"6/7/20",2749
139,"6/8/20",2776
140,"6/9/20",2811
141,"6/10/20",2844
142,"6/11/20",2875
143,"6/12/20",2900
144,"6/13/20",2926
145,"6/14/20",2939
146,"6/15/20",2947
147,"6/16/20",2982
148,"6/17/20",2996
149,"6/18/20",3016
150,"6/19/20",3030
151,"6/20/20",3052
152,"6/21/20",3066
153,"6/22/20",3074
154,"6/23/20",3092
155,"6/24/20",3108
156,"6/25/20",3129
157,"6/26/20",3142
158,"6/27/20",3157
159,"6/28/20",3168
160,"6/29/20",3175
161,"6/30/20",3190
162,"7/1/20",3205
163,"7/2/20",3212
164,"7/3/20",3223
165,"7/4/20",3236
166,"7/5/20",3243
167,"7/6/20",3246
168,"7/7/20",3266
169,"7/8/20",3275
170,"7/9/20",3288
171,"7/10/20",3303
172,"7/11/20",3310
173,"7/12/20",3319
174,"7/13/20",3325
175,"7/14/20",3334
176,"7/15/20",3341
177,"7/16/20",3347
178,"7/17/20",3359
179,"7/18/20",3368
180,"7/19/20",3377
181,"7/20/20",3382
182,"7/21/20",3402
183,"7/22/20",3405
184,"7/23/20",3409
185,"7/24/20",3422
186,"7/25/20",3433
187,"7/26/20",3440
188,"7/27/20",3447
189,"7/28/20",3458
190,"7/29/20",3478
191,"7/30/20",3488
192,"7/31/20",3493
193,"8/1/20",3506
194,"8/2/20",3515
195,"8/3/20",3523
196,"8/4/20",3530
197,"8/5/20",3536
198,"8/6/20",3551
199,"8/7/20",3565
200,"8/8/20",3577
201,"8/9/20",3585
202,"8/10/20",3591
203,"8/11/20",3604
204,"8/12/20",3612
205,"8/13/20",3620
206,"8/14/20",3631
207,"8/15/20",3636
208,"8/16/20",3639
209,"8/17/20",3641
210,"8/18/20",3650
211,"8/19/20",3661
212,"8/20/20",3669
213,"8/21/20",3674
214,"8/22/20",3685
215,"8/23/20",3691
216,"8/24/20",3694
217,"8/25/20",3707
218,"8/26/20",3717
219,"8/27/20",3722
220,"8/28/20",3727
221,"8/29/20",3746
222,"8/30/20",3752
223,"8/31/20",3755
224,"9/1/20",3761
225,"9/2/20",3766
226,"9/3/20",3778
