Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",1
60,"3/21/20",1
61,"3/22/20",5
62,"3/23/20",9
63,"3/24/20",11
64,"3/25/20",15
65,"3/26/20",25
66,"3/27/20",35
67,"3/28/20",44
68,"3/29/20",48
69,"3/30/20",56
70,"3/31/20",89
71,"4/1/20",122
72,"4/2/20",154
73,"4/3/20",192
74,"4/4/20",216
75,"4/5/20",231
76,"4/6/20",260
77,"4/7/20",356
78,"4/8/20",433
79,"4/9/20",503
80,"4/10/20",599
81,"4/11/20",686
82,"4/12/20",756
83,"4/13/20",844
84,"4/14/20",844
85,"4/15/20",1108
86,"4/16/20",1108
87,"4/17/20",1245
88,"4/18/20",1404
89,"4/19/20",1706
90,"4/20/20",1706
91,"4/21/20",1961
92,"4/22/20",2182
93,"4/23/20",2360
94,"4/24/20",2556
95,"4/25/20",2730
96,"4/26/20",2899
97,"4/27/20",3003
98,"4/28/20",3153
99,"4/29/20",3405
100,"4/30/20",3562
101,"5/1/20",3716
102,"5/2/20",3846
103,"5/3/20",4004
104,"5/4/20",4090
105,"5/5/20",4212
106,"5/6/20",4420
107,"5/7/20",4552
108,"5/8/20",4702
109,"5/9/20",4840
110,"5/10/20",4979
111,"5/11/20",5108
112,"5/12/20",5141
113,"5/13/20",5315
114,"5/14/20",5482
115,"5/15/20",5592
116,"5/16/20",5705
117,"5/17/20",5797
118,"5/18/20",5862
119,"5/19/20",5938
120,"5/20/20",6066
121,"5/21/20",6148
122,"5/22/20",6228
123,"5/23/20",6304
124,"5/24/20",6372
125,"5/25/20",6416
126,"5/26/20",6473
127,"5/27/20",6547
128,"5/28/20",6640
129,"5/29/20",6718
130,"5/30/20",6768
131,"5/31/20",6846
132,"6/1/20",7035
133,"6/2/20",7085
134,"6/3/20",7152
135,"6/4/20",7201
136,"6/5/20",7235
137,"6/6/20",7289
138,"6/7/20",7316
139,"6/8/20",7353
140,"6/9/20",7408
141,"6/10/20",7454
142,"6/11/20",7492
143,"6/12/20",7538
144,"6/13/20",7576
145,"6/14/20",7624
146,"6/15/20",7647
147,"6/16/20",7665
148,"6/17/20",7734
149,"6/18/20",7770
150,"6/19/20",7800
151,"6/20/20",7828
152,"6/21/20",7858
153,"6/22/20",7874
154,"6/23/20",7890
155,"6/24/20",7938
156,"6/25/20",7963
157,"6/26/20",8013
158,"6/27/20",8041
159,"6/28/20",8060
160,"6/29/20",8095
161,"6/30/20",8054
162,"7/1/20",8081
163,"7/2/20",8132
164,"7/3/20",8149
165,"7/4/20",8172
166,"7/5/20",8183
167,"7/6/20",8198
168,"7/7/20",8213
169,"7/8/20",8243
170,"7/9/20",8268
171,"7/10/20",8296
172,"7/11/20",8310
173,"7/12/20",8325
174,"7/13/20",8330
175,"7/14/20",8340
176,"7/15/20",8368
177,"7/16/20",8380
178,"7/17/20",8402
179,"7/18/20",8419
180,"7/19/20",8431
181,"7/20/20",8433
182,"7/21/20",8450
183,"7/22/20",8468
184,"7/23/20",8484
185,"7/24/20",8498
186,"7/25/20",8510
187,"7/26/20",8529
188,"7/27/20",8536
189,"7/28/20",8551
190,"7/29/20",8580
191,"7/30/20",8580
192,"7/31/20",8609
193,"8/1/20",8626
194,"8/2/20",8638
195,"8/3/20",8648
196,"8/4/20",8657
197,"8/5/20",8659
198,"8/6/20",8691
199,"8/7/20",8709
200,"8/8/20",8721
201,"8/9/20",8735
202,"8/10/20",8741
203,"8/11/20",8751
204,"8/12/20",8769
205,"8/13/20",8790
206,"8/14/20",8810
207,"8/15/20",8826
208,"8/16/20",8838
209,"8/17/20",8842
210,"8/18/20",8848
211,"8/19/20",8876
212,"8/20/20",8888
213,"8/21/20",8901
214,"8/22/20",8921
215,"8/23/20",8921
216,"8/24/20",8949
217,"8/25/20",8961
218,"8/26/20",8987
219,"8/27/20",9008
220,"8/28/20",9024
221,"8/29/20",9036
222,"8/30/20",9049
223,"8/31/20",9060
224,"9/1/20",9064
225,"9/2/20",9060
