Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",1
59,"3/20/20",1
60,"3/21/20",1
61,"3/22/20",1
62,"3/23/20",1
63,"3/24/20",1
64,"3/25/20",3
65,"3/26/20",6
66,"3/27/20",8
67,"3/28/20",13
68,"3/29/20",14
69,"3/30/20",16
70,"3/31/20",20
71,"4/1/20",22
72,"4/2/20",26
73,"4/3/20",29
74,"4/4/20",35
75,"4/5/20",43
76,"4/6/20",51
77,"4/7/20",60
78,"4/8/20",67
79,"4/9/20",76
80,"4/10/20",82
81,"4/11/20",93
82,"4/12/20",96
83,"4/13/20",98
84,"4/14/20",111
85,"4/15/20",122
86,"4/16/20",129
87,"4/17/20",140
88,"4/18/20",152
89,"4/19/20",159
90,"4/20/20",169
91,"4/21/20",183
92,"4/22/20",193
93,"4/23/20",201
94,"4/24/20",209
95,"4/25/20",221
96,"4/26/20",227
97,"4/27/20",229
98,"4/28/20",239
99,"4/29/20",250
100,"4/30/20",261
101,"5/1/20",281
102,"5/2/20",291
103,"5/3/20",303
104,"5/4/20",310
105,"5/5/20",342
106,"5/6/20",374
107,"5/7/20",396
108,"5/8/20",409
109,"5/9/20",421
110,"5/10/20",430
111,"5/11/20",435
112,"5/12/20",457
113,"5/13/20",465
114,"5/14/20",480
115,"5/15/20",493
116,"5/16/20",510
117,"5/17/20",521
118,"5/18/20",527
119,"5/19/20",554
120,"5/20/20",570
121,"5/21/20",580
122,"5/22/20",595
123,"5/23/20",616
124,"5/24/20",625
125,"5/25/20",635
126,"5/26/20",652
127,"5/27/20",670
128,"5/28/20",693
129,"5/29/20",710
130,"5/30/20",723
131,"5/31/20",734
132,"6/1/20",739
133,"6/2/20",767
134,"6/3/20",782
135,"6/4/20",794
136,"6/5/20",803
137,"6/6/20",811
138,"6/7/20",817
139,"6/8/20",837
140,"6/9/20",847
141,"6/10/20",868
142,"6/11/20",868
143,"6/12/20",881
144,"6/13/20",889
145,"6/14/20",891
146,"6/15/20",895
147,"6/16/20",915
148,"6/17/20",938
149,"6/18/20",938
150,"6/19/20",938
151,"6/20/20",938
152,"6/21/20",938
153,"6/22/20",978
154,"6/23/20",989
155,"6/24/20",1011
156,"6/25/20",1016
157,"6/26/20",1022
158,"6/27/20",1035
159,"6/28/20",1039
160,"6/29/20",1059
161,"6/30/20",1073
162,"7/1/20",1082
163,"7/2/20",1092
164,"7/3/20",1103
165,"7/4/20",1107
166,"7/5/20",1111
167,"7/6/20",1114
168,"7/7/20",1158
169,"7/8/20",1188
170,"7/9/20",1204
171,"7/10/20",1215
172,"7/11/20",1230
173,"7/12/20",1249
174,"7/13/20",1250
175,"7/14/20",1272
176,"7/15/20",1290
177,"7/16/20",1308
178,"7/17/20",1332
179,"7/18/20",1346
180,"7/19/20",1355
181,"7/20/20",1358
182,"7/21/20",1389
183,"7/22/20",1423
184,"7/23/20",1436
185,"7/24/20",1463
186,"7/25/20",1478
187,"7/26/20",1493
188,"7/27/20",1498
189,"7/28/20",1540
190,"7/29/20",1563
191,"7/30/20",1611
192,"7/31/20",1663
193,"8/1/20",1693
194,"8/2/20",1703
195,"8/3/20",1711
196,"8/4/20",1753
197,"8/5/20",1804
198,"8/6/20",1825
199,"8/7/20",1848
200,"8/8/20",1874
201,"8/9/20",1896
202,"8/10/20",1912
203,"8/11/20",1944
204,"8/12/20",1989
205,"8/13/20",2011
206,"8/14/20",2043
207,"8/15/20",2080
208,"8/16/20",2084
209,"8/17/20",2095
210,"8/18/20",2127
211,"8/19/20",2163
212,"8/20/20",2190
213,"8/21/20",2214
214,"8/22/20",2237
215,"8/23/20",2240
216,"8/24/20",2248
217,"8/25/20",2315
218,"8/26/20",2373
219,"8/27/20",2399
220,"8/28/20",2413
221,"8/29/20",2427
222,"8/30/20",2441
223,"8/31/20",2473
224,"9/1/20",2493
225,"9/2/20",2526
226,"9/3/20",2536
227,"9/4/20",2558
228,"9/5/20",2569
229,"9/6/20",2584
230,"9/7/20",2585
