Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",1
58,"3/19/20",1
59,"3/20/20",3
60,"3/21/20",3
61,"3/22/20",3
62,"3/23/20",4
63,"3/24/20",8
64,"3/25/20",9
65,"3/26/20",9
66,"3/27/20",9
67,"3/28/20",13
68,"3/29/20",16
69,"3/30/20",16
70,"3/31/20",19
71,"4/1/20",24
72,"4/2/20",32
73,"4/3/20",45
74,"4/4/20",51
75,"4/5/20",64
76,"4/6/20",72
77,"4/7/20",92
78,"4/8/20",107
79,"4/9/20",123
80,"4/10/20",133
81,"4/11/20",145
82,"4/12/20",157
83,"4/13/20",167
84,"4/14/20",185
85,"4/15/20",202
86,"4/16/20",216
87,"4/17/20",229
88,"4/18/20",236
89,"4/19/20",242
90,"4/20/20",263
91,"4/21/20",281
92,"4/22/20",301
93,"4/23/20",317
94,"4/24/20",343
95,"4/25/20",357
96,"4/26/20",374
97,"4/27/20",395
98,"4/28/20",409
99,"4/29/20",424
100,"4/30/20",443
101,"5/1/20",457
102,"5/2/20",472
103,"5/3/20",484
104,"5/4/20",495
105,"5/5/20",524
106,"5/6/20",539
107,"5/7/20",562
108,"5/8/20",583
109,"5/9/20",594
110,"5/10/20",605
111,"5/11/20",622
112,"5/12/20",632
113,"5/13/20",653
114,"5/14/20",665
115,"5/15/20",680
116,"5/16/20",691
117,"5/17/20",698
118,"5/18/20",714
119,"5/19/20",729
120,"5/20/20",740
121,"5/21/20",749
122,"5/22/20",758
123,"5/23/20",765
124,"5/24/20",768
125,"5/25/20",773
126,"5/26/20",780
127,"5/27/20",776
128,"5/28/20",789
129,"5/29/20",794
130,"5/30/20",812
131,"5/31/20",814
132,"6/1/20",815
133,"6/2/20",825
134,"6/3/20",831
135,"6/4/20",833
136,"6/5/20",840
137,"6/6/20",848
138,"6/7/20",850
139,"6/8/20",854
140,"6/9/20",862
141,"6/10/20",865
142,"6/11/20",865
143,"6/12/20",881
144,"6/13/20",887
145,"6/14/20",889
146,"6/15/20",891
147,"6/16/20",895
148,"6/17/20",914
149,"6/18/20",950
150,"6/19/20",963
151,"6/20/20",973
152,"6/21/20",975
153,"6/22/20",980
154,"6/23/20",988
155,"6/24/20",998
156,"6/25/20",1000
157,"6/26/20",1009
158,"6/27/20",1014
159,"6/28/20",1014
160,"6/29/20",1016
161,"6/30/20",1019
162,"7/1/20",1033
163,"7/2/20",1044
164,"7/3/20",1047
165,"7/4/20",1050
166,"7/5/20",1051
167,"7/6/20",1051
168,"7/7/20",1067
169,"7/8/20",1069
170,"7/9/20",1073
171,"7/10/20",1084
172,"7/11/20",1091
173,"7/12/20",1092
174,"7/13/20",1105
175,"7/14/20",1114
176,"7/15/20",1119
177,"7/16/20",1121
178,"7/17/20",1125
179,"7/18/20",1136
180,"7/19/20",1136
181,"7/20/20",1138
182,"7/21/20",1148
183,"7/22/20",1159
184,"7/23/20",1189
185,"7/24/20",1195
186,"7/25/20",1200
187,"7/26/20",1209
188,"7/27/20",1221
189,"7/28/20",1232
190,"7/29/20",1239
191,"7/30/20",1255
192,"7/31/20",1265
193,"8/1/20",1276
194,"8/2/20",1276
195,"8/3/20",1279
196,"8/4/20",1290
197,"8/5/20",1297
198,"8/6/20",1302
199,"8/7/20",1324
200,"8/8/20",1327
201,"8/9/20",1334
202,"8/10/20",1341
203,"8/11/20",1346
204,"8/12/20",1354
205,"8/13/20",1356
206,"8/14/20",1365
207,"8/15/20",1378
208,"8/16/20",1383
209,"8/17/20",1415
210,"8/18/20",1425
211,"8/19/20",1434
212,"8/20/20",1442
213,"8/21/20",1445
214,"8/22/20",1451
215,"8/23/20",1453
216,"8/24/20",1453
217,"8/25/20",1470
218,"8/26/20",1481
219,"8/27/20",1488
220,"8/28/20",1500
221,"8/29/20",1528
222,"8/30/20",1533
223,"8/31/20",1547
224,"9/1/20",1562
225,"9/2/20",1578
226,"9/3/20",1586
227,"9/4/20",1607
228,"9/5/20",1668
229,"9/6/20",1685
230,"9/7/20",1687
