Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",0
61,"3/22/20",0
62,"3/23/20",0
63,"3/24/20",0
64,"3/25/20",0
65,"3/26/20",0
66,"3/27/20",1
67,"3/28/20",1
68,"3/29/20",1
69,"3/30/20",5
70,"3/31/20",5
71,"4/1/20",6
72,"4/2/20",6
73,"4/3/20",5
74,"4/4/20",6
75,"4/5/20",6
76,"4/6/20",6
77,"4/7/20",6
78,"4/8/20",6
79,"4/9/20",6
80,"4/10/20",6
81,"4/11/20",6
82,"4/12/20",6
83,"4/13/20",7
84,"4/14/20",7
85,"4/15/20",7
86,"4/16/20",7
87,"4/17/20",8
88,"4/18/20",10
89,"4/19/20",10
90,"4/20/20",10
91,"4/21/20",12
92,"4/22/20",14
93,"4/23/20",14
94,"4/24/20",14
95,"4/25/20",14
96,"4/26/20",14
97,"4/27/20",14
98,"4/28/20",15
99,"4/29/20",16
100,"4/30/20",16
101,"5/1/20",16
102,"5/2/20",16
103,"5/3/20",16
104,"5/4/20",16
105,"5/5/20",16
106,"5/6/20",16
107,"5/7/20",16
108,"5/8/20",16
109,"5/9/20",16
110,"5/10/20",16
111,"5/11/20",16
112,"5/12/20",16
113,"5/13/20",16
114,"5/14/20",16
115,"5/15/20",16
116,"5/16/20",16
117,"5/17/20",16
118,"5/18/20",16
119,"5/19/20",16
120,"5/20/20",16
121,"5/21/20",16
122,"5/22/20",16
123,"5/23/20",16
124,"5/24/20",16
125,"5/25/20",16
126,"5/26/20",17
127,"5/27/20",17
128,"5/28/20",17
129,"5/29/20",17
130,"5/30/20",17
131,"5/31/20",17
132,"6/1/20",17
133,"6/2/20",17
134,"6/3/20",17
135,"6/4/20",17
136,"6/5/20",18
137,"6/6/20",18
138,"6/7/20",18
139,"6/8/20",18
140,"6/9/20",18
141,"6/10/20",18
142,"6/11/20",18
143,"6/12/20",18
144,"6/13/20",18
145,"6/14/20",19
146,"6/15/20",19
147,"6/16/20",19
148,"6/17/20",20
149,"6/18/20",20
150,"6/19/20",20
151,"6/20/20",20
152,"6/21/20",20
153,"6/22/20",21
154,"6/23/20",21
155,"6/24/20",21
156,"6/25/20",21
157,"6/26/20",22
158,"6/27/20",22
159,"6/28/20",22
160,"6/29/20",22
161,"6/30/20",22
162,"7/1/20",22
163,"7/2/20",22
164,"7/3/20",23
165,"7/4/20",23
166,"7/5/20",23
167,"7/6/20",23
168,"7/7/20",23
169,"7/8/20",23
170,"7/9/20",25
171,"7/10/20",28
172,"7/11/20",29
173,"7/12/20",29
174,"7/13/20",32
175,"7/14/20",34
176,"7/15/20",34
177,"7/16/20",35
178,"7/17/20",37
179,"7/18/20",37
180,"7/19/20",37
181,"7/20/20",39
182,"7/21/20",40
183,"7/22/20",42
184,"7/23/20",43
185,"7/24/20",46
186,"7/25/20",46
187,"7/26/20",46
188,"7/27/20",47
189,"7/28/20",51
190,"7/29/20",54
191,"7/30/20",55
192,"7/31/20",60
193,"8/1/20",61
194,"8/2/20",61
195,"8/3/20",64
196,"8/4/20",64
197,"8/5/20",65
198,"8/6/20",65
199,"8/7/20",70
200,"8/8/20",75
201,"8/9/20",75
202,"8/10/20",75
203,"8/11/20",77
204,"8/12/20",80
205,"8/13/20",81
206,"8/14/20",81
207,"8/15/20",82
208,"8/16/20",82
209,"8/17/20",82
210,"8/18/20",84
211,"8/19/20",84
212,"8/20/20",89
213,"8/21/20",89
214,"8/22/20",90
215,"8/23/20",90
216,"8/24/20",91
217,"8/25/20",97
218,"8/26/20",98
219,"8/27/20",98
220,"8/28/20",100
221,"8/29/20",104
222,"8/30/20",104
223,"8/31/20",104
224,"9/1/20",105
225,"9/2/20",109
226,"9/3/20",111
227,"9/4/20",114
228,"9/5/20",116
229,"9/6/20",117
230,"9/7/20",118
231,"9/8/20",119
232,"9/9/20",122
233,"9/10/20",123
234,"9/11/20",131
235,"9/12/20",133
236,"9/13/20",135
237,"9/14/20",138
