Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",1
51,"3/12/20",1
52,"3/13/20",1
53,"3/14/20",5
54,"3/15/20",10
55,"3/16/20",21
56,"3/17/20",35
57,"3/18/20",60
58,"3/19/20",88
59,"3/20/20",143
60,"3/21/20",195
61,"3/22/20",249
62,"3/23/20",351
63,"3/24/20",475
64,"3/25/20",632
65,"3/26/20",867
66,"3/27/20",1139
67,"3/28/20",1492
68,"3/29/20",1874
69,"3/30/20",2286
70,"3/31/20",2775
71,"4/1/20",3411
72,"4/2/20",4138
73,"4/3/20",4899
74,"4/4/20",5686
75,"4/5/20",6596
76,"4/6/20",7657
77,"4/7/20",8930
78,"4/8/20",9879
79,"4/9/20",10929
80,"4/10/20",11850
81,"4/11/20",12772
82,"4/12/20",13710
83,"4/13/20",14728
84,"4/14/20",15608
85,"4/15/20",16394
86,"4/16/20",17137
87,"4/17/20",17614
88,"4/18/20",18175
89,"4/19/20",18699
90,"4/20/20",19670
91,"4/21/20",20341
92,"4/22/20",20859
93,"4/23/20",21516
94,"4/24/20",22069
95,"4/25/20",22505
96,"4/26/20",22910
97,"4/27/20",23391
98,"4/28/20",23726
99,"4/29/20",24172
100,"4/30/20",24542
101,"5/1/20",24911
102,"5/2/20",25201
103,"5/3/20",25484
104,"5/4/20",25837
105,"5/5/20",26119
106,"5/6/20",26689
107,"5/7/20",26916
108,"5/8/20",27233
109,"5/9/20",27454
110,"5/10/20",27627
111,"5/11/20",27824
112,"5/12/20",28042
113,"5/13/20",28247
114,"5/14/20",28408
115,"5/15/20",28673
116,"5/16/20",28845
117,"5/17/20",28971
118,"5/18/20",29454
119,"5/19/20",29652
120,"5/20/20",29717
121,"5/21/20",29790
122,"5/22/20",29864
123,"5/23/20",30032
124,"5/24/20",30125
125,"5/25/20",30249
126,"5/26/20",30276
127,"5/27/20",30462
128,"5/28/20",30482
129,"5/29/20",30578
130,"5/30/20",30649
131,"5/31/20",30699
132,"6/1/20",30832
133,"6/2/20",30910
134,"6/3/20",30964
135,"6/4/20",31093
136,"6/5/20",31120
137,"6/6/20",31141
138,"6/7/20",31226
139,"6/8/20",31287
140,"6/9/20",31327
141,"6/10/20",31390
142,"6/11/20",31404
143,"6/12/20",31554
144,"6/13/20",31568
145,"6/14/20",31595
146,"6/15/20",31628
147,"6/16/20",31678
148,"6/17/20",31696
149,"6/18/20",31728
150,"6/19/20",31747
151,"6/20/20",31817
152,"6/21/20",31854
153,"6/22/20",31890
154,"6/23/20",31952
155,"6/24/20",31974
156,"6/25/20",32007
157,"6/26/20",32030
158,"6/27/20",32051
159,"6/28/20",32078
160,"6/29/20",32109
161,"6/30/20",32070
162,"7/1/20",32088
163,"7/2/20",32112
164,"7/3/20",32192
165,"7/4/20",32206
166,"7/5/20",32244
167,"7/6/20",32261
168,"7/7/20",32283
169,"7/8/20",32304
170,"7/9/20",32327
171,"7/10/20",32369
172,"7/11/20",32380
173,"7/12/20",32395
174,"7/13/20",32418
175,"7/14/20",32429
176,"7/15/20",32448
177,"7/16/20",32457
178,"7/17/20",32484
179,"7/18/20",32497
180,"7/19/20",32516
181,"7/20/20",32527
182,"7/21/20",32539
183,"7/22/20",32582
184,"7/23/20",32591
185,"7/24/20",32602
186,"7/25/20",32612
187,"7/26/20",32629
188,"7/27/20",32639
189,"7/28/20",32653
190,"7/29/20",32654
191,"7/30/20",32672
192,"7/31/20",32675
193,"8/1/20",32684
194,"8/2/20",32697
195,"8/3/20",32697
196,"8/4/20",32703
197,"8/5/20",32736
198,"8/6/20",32741
199,"8/7/20",32744
200,"8/8/20",32753
201,"8/9/20",32755
202,"8/10/20",32764
203,"8/11/20",32770
204,"8/12/20",32778
205,"8/13/20",32780
206,"8/14/20",32798
207,"8/15/20",32809
208,"8/16/20",32816
209,"8/17/20",32823
210,"8/18/20",32835
211,"8/19/20",32840
212,"8/20/20",32837
213,"8/21/20",32833
214,"8/22/20",32839
215,"8/23/20",32851
216,"8/24/20",32852
217,"8/25/20",32881
218,"8/26/20",32887
219,"8/27/20",32887
220,"8/28/20",32890
221,"8/29/20",32891
222,"8/30/20",32909
223,"8/31/20",32957
