Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",1
59,"3/20/20",1
60,"3/21/20",1
61,"3/22/20",2
62,"3/23/20",2
63,"3/24/20",3
64,"3/25/20",5
65,"3/26/20",7
66,"3/27/20",8
67,"3/28/20",15
68,"3/29/20",16
69,"3/30/20",16
70,"3/31/20",23
71,"4/1/20",30
72,"4/2/20",34
73,"4/3/20",38
74,"4/4/20",42
75,"4/5/20",46
76,"4/6/20",51
77,"4/7/20",67
78,"4/8/20",79
79,"4/9/20",80
80,"4/10/20",88
81,"4/11/20",94
82,"4/12/20",96
83,"4/13/20",99
84,"4/14/20",108
85,"4/15/20",123
86,"4/16/20",131
87,"4/17/20",136
88,"4/18/20",136
89,"4/19/20",140
90,"4/20/20",143
91,"4/21/20",164
92,"4/22/20",170
93,"4/23/20",179
94,"4/24/20",188
95,"4/25/20",194
96,"4/26/20",195
97,"4/27/20",197
98,"4/28/20",207
99,"4/29/20",214
100,"4/30/20",222
101,"5/1/20",230
102,"5/2/20",238
103,"5/3/20",238
104,"5/4/20",238
105,"5/5/20",247
106,"5/6/20",253
107,"5/7/20",260
108,"5/8/20",266
109,"5/9/20",270
110,"5/10/20",272
111,"5/11/20",274
112,"5/12/20",278
113,"5/13/20",278
114,"5/14/20",284
115,"5/15/20",285
116,"5/16/20",288
117,"5/17/20",288
118,"5/18/20",288
119,"5/19/20",293
120,"5/20/20",299
121,"5/21/20",304
122,"5/22/20",307
123,"5/23/20",311
124,"5/24/20",311
125,"5/25/20",313
126,"5/26/20",318
127,"5/27/20",322
128,"5/28/20",325
129,"5/29/20",329
130,"5/30/20",334
131,"5/31/20",334
132,"6/1/20",334
133,"6/2/20",339
134,"6/3/20",341
135,"6/4/20",344
136,"6/5/20",345
137,"6/6/20",347
138,"6/7/20",348
139,"6/8/20",348
140,"6/9/20",354
141,"6/10/20",356
142,"6/11/20",358
143,"6/12/20",360
144,"6/13/20",359
145,"6/14/20",359
146,"6/15/20",359
147,"6/16/20",363
148,"6/17/20",364
149,"6/18/20",366
150,"6/19/20",367
151,"6/20/20",368
152,"6/21/20",369
153,"6/22/20",369
154,"6/23/20",371
155,"6/24/20",372
156,"6/25/20",375
157,"6/26/20",377
158,"6/27/20",384
159,"6/28/20",385
160,"6/29/20",385
161,"6/30/20",387
162,"7/1/20",389
163,"7/2/20",395
164,"7/3/20",398
165,"7/4/20",398
166,"7/5/20",398
167,"7/6/20",399
168,"7/7/20",404
169,"7/8/20",407
170,"7/9/20",410
171,"7/10/20",416
172,"7/11/20",421
173,"7/12/20",422
174,"7/13/20",424
175,"7/14/20",428
176,"7/15/20",432
177,"7/16/20",438
178,"7/17/20",445
179,"7/18/20",451
180,"7/19/20",451
181,"7/20/20",452
182,"7/21/20",461
183,"7/22/20",474
184,"7/23/20",477
185,"7/24/20",484
186,"7/25/20",496
187,"7/26/20",496
188,"7/27/20",496
189,"7/28/20",509
190,"7/29/20",523
191,"7/30/20",536
192,"7/31/20",541
193,"8/1/20",549
194,"8/2/20",550
195,"8/3/20",551
196,"8/4/20",566
197,"8/5/20",583
198,"8/6/20",593
199,"8/7/20",600
200,"8/8/20",603
201,"8/9/20",603
202,"8/10/20",605
203,"8/11/20",618
204,"8/12/20",627
205,"8/13/20",638
206,"8/14/20",644
207,"8/15/20",657
208,"8/16/20",661
209,"8/17/20",665
210,"8/18/20",679
211,"8/19/20",699
212,"8/20/20",709
213,"8/21/20",715
214,"8/22/20",725
215,"8/23/20",726
216,"8/24/20",730
217,"8/25/20",744
218,"8/26/20",763
219,"8/27/20",778
220,"8/28/20",786
221,"8/29/20",797
222,"8/30/20",799
223,"8/31/20",800
224,"9/1/20",808
225,"9/2/20",821
226,"9/3/20",835
227,"9/4/20",846
228,"9/5/20",850
229,"9/6/20",853
230,"9/7/20",853
231,"9/8/20",854
232,"9/9/20",863
233,"9/10/20",876
234,"9/11/20",888
235,"9/12/20",899
236,"9/13/20",905
237,"9/14/20",905
