Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",1
61,"3/22/20",1
62,"3/23/20",2
63,"3/24/20",2
64,"3/25/20",2
65,"3/26/20",2
66,"3/27/20",3
67,"3/28/20",3
68,"3/29/20",3
69,"3/30/20",6
70,"3/31/20",8
71,"4/1/20",11
72,"4/2/20",12
73,"4/3/20",15
74,"4/4/20",18
75,"4/5/20",20
76,"4/6/20",21
77,"4/7/20",23
78,"4/8/20",24
79,"4/9/20",33
80,"4/10/20",39
81,"4/11/20",42
82,"4/12/20",44
83,"4/13/20",45
84,"4/14/20",45
85,"4/15/20",51
86,"4/16/20",56
87,"4/17/20",58
88,"4/18/20",60
89,"4/19/20",62
90,"4/20/20",63
91,"4/21/20",64
92,"4/22/20",63
93,"4/23/20",69
94,"4/24/20",77
95,"4/25/20",83
96,"4/26/20",84
97,"4/27/20",84
98,"4/28/20",86
99,"4/29/20",86
100,"4/30/20",92
101,"5/1/20",94
102,"5/2/20",95
103,"5/3/20",97
104,"5/4/20",97
105,"5/5/20",99
106,"5/6/20",99
107,"5/7/20",102
108,"5/8/20",107
109,"5/9/20",108
110,"5/10/20",111
111,"5/11/20",113
112,"5/12/20",114
113,"5/13/20",115
114,"5/14/20",117
115,"5/15/20",122
116,"5/16/20",122
117,"5/17/20",123
118,"5/18/20",124
119,"5/19/20",124
120,"5/20/20",125
121,"5/21/20",126
122,"5/22/20",126
123,"5/23/20",127
124,"5/24/20",127
125,"5/25/20",129
126,"5/26/20",129
127,"5/27/20",129
128,"5/28/20",131
129,"5/29/20",132
130,"5/30/20",133
131,"5/31/20",136
132,"6/1/20",136
133,"6/2/20",138
134,"6/3/20",140
135,"6/4/20",140
136,"6/5/20",141
137,"6/6/20",142
138,"6/7/20",142
139,"6/8/20",142
140,"6/9/20",142
141,"6/10/20",143
142,"6/11/20",144
143,"6/12/20",146
144,"6/13/20",146
145,"6/14/20",147
146,"6/15/20",147
147,"6/16/20",147
148,"6/17/20",147
149,"6/18/20",147
150,"6/19/20",147
151,"6/20/20",147
152,"6/21/20",149
153,"6/22/20",149
154,"6/23/20",149
155,"6/24/20",149
156,"6/25/20",151
157,"6/26/20",151
158,"6/27/20",152
159,"6/28/20",153
160,"6/29/20",153
161,"6/30/20",153
162,"7/1/20",153
163,"7/2/20",153
164,"7/3/20",154
165,"7/4/20",155
166,"7/5/20",155
167,"7/6/20",155
168,"7/7/20",157
169,"7/8/20",159
170,"7/9/20",159
171,"7/10/20",159
172,"7/11/20",167
173,"7/12/20",167
174,"7/13/20",167
175,"7/14/20",169
176,"7/15/20",171
177,"7/16/20",172
178,"7/17/20",177
179,"7/18/20",178
180,"7/19/20",178
181,"7/20/20",180
182,"7/21/20",180
183,"7/22/20",185
184,"7/23/20",188
185,"7/24/20",191
186,"7/25/20",201
187,"7/26/20",201
188,"7/27/20",201
189,"7/28/20",209
190,"7/29/20",211
191,"7/30/20",214
192,"7/31/20",219
193,"8/1/20",225
194,"8/2/20",230
195,"8/3/20",230
196,"8/4/20",237
197,"8/5/20",246
198,"8/6/20",258
199,"8/7/20",265
200,"8/8/20",274
201,"8/9/20",279
202,"8/10/20",279
203,"8/11/20",287
204,"8/12/20",295
205,"8/13/20",306
206,"8/14/20",317
207,"8/15/20",329
208,"8/16/20",335
209,"8/17/20",335
210,"8/18/20",346
211,"8/19/20",356
212,"8/20/20",367
213,"8/21/20",374
214,"8/22/20",381
215,"8/23/20",390
216,"8/24/20",390
217,"8/25/20",395
218,"8/26/20",404
219,"8/27/20",412
220,"8/28/20",424
221,"8/29/20",428
222,"8/30/20",434
223,"8/31/20",434
224,"9/1/20",435
225,"9/2/20",443
226,"9/3/20",448
227,"9/4/20",455
228,"9/5/20",464
229,"9/6/20",477
230,"9/7/20",477
231,"9/8/20",482
232,"9/9/20",500
233,"9/10/20",512
234,"9/11/20",523
235,"9/12/20",535
236,"9/13/20",539
237,"9/14/20",542
