Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",1
61,"3/22/20",1
62,"3/23/20",1
63,"3/24/20",1
64,"3/25/20",1
65,"3/26/20",1
66,"3/27/20",1
67,"3/28/20",2
68,"3/29/20",3
69,"3/30/20",4
70,"3/31/20",11
71,"4/1/20",11
72,"4/2/20",12
73,"4/3/20",11
74,"4/4/20",21
75,"4/5/20",22
76,"4/6/20",24
77,"4/7/20",27
78,"4/8/20",32
79,"4/9/20",40
80,"4/10/20",40
81,"4/11/20",63
82,"4/12/20",63
83,"4/13/20",63
84,"4/14/20",77
85,"4/15/20",77
86,"4/16/20",84
87,"4/17/20",115
88,"4/18/20",134
89,"4/19/20",147
90,"4/20/20",152
91,"4/21/20",168
92,"4/22/20",178
93,"4/23/20",189
94,"4/24/20",202
95,"4/25/20",215
96,"4/26/20",226
97,"4/27/20",233
98,"4/28/20",239
99,"4/29/20",251
100,"4/30/20",364
101,"5/1/20",364
102,"5/2/20",376
103,"5/3/20",376
104,"5/4/20",376
105,"5/5/20",376
106,"5/6/20",376
107,"5/7/20",388
108,"5/8/20",399
109,"5/9/20",480
110,"5/10/20",480
111,"5/11/20",480
112,"5/12/20",480
113,"5/13/20",480
114,"5/14/20",480
115,"5/15/20",480
116,"5/16/20",548
117,"5/17/20",548
118,"5/18/20",548
119,"5/19/20",548
120,"5/20/20",548
121,"5/21/20",556
122,"5/22/20",579
123,"5/23/20",619
124,"5/24/20",619
125,"5/25/20",619
126,"5/26/20",634
127,"5/27/20",655
128,"5/28/20",677
129,"5/29/20",693
130,"5/30/20",711
131,"5/31/20",825
132,"6/1/20",825
133,"6/2/20",825
134,"6/3/20",825
135,"6/4/20",825
136,"6/5/20",825
137,"6/6/20",872
138,"6/7/20",872
139,"6/8/20",872
140,"6/9/20",872
141,"6/10/20",872
142,"6/11/20",872
143,"6/12/20",872
144,"6/13/20",883
145,"6/14/20",883
146,"6/15/20",883
147,"6/16/20",883
148,"6/17/20",883
149,"6/18/20",885
150,"6/19/20",894
151,"6/20/20",908
152,"6/21/20",908
153,"6/22/20",908
154,"6/23/20",908
155,"6/24/20",912
156,"6/25/20",920
157,"6/26/20",927
158,"6/27/20",927
159,"6/28/20",927
160,"6/29/20",946
161,"6/30/20",980
162,"7/1/20",980
163,"7/2/20",980
164,"7/3/20",980
165,"7/4/20",980
166,"7/5/20",980
167,"7/6/20",980
168,"7/7/20",980
169,"7/8/20",980
170,"7/9/20",980
171,"7/10/20",980
172,"7/11/20",987
173,"7/12/20",987
174,"7/13/20",987
175,"7/14/20",987
176,"7/15/20",987
177,"7/16/20",988
178,"7/17/20",990
179,"7/18/20",991
180,"7/19/20",991
181,"7/20/20",995
182,"7/21/20",996
183,"7/22/20",997
184,"7/23/20",1001
185,"7/24/20",1002
186,"7/25/20",1002
187,"7/26/20",1002
188,"7/27/20",1004
189,"7/28/20",1005
190,"7/29/20",1007
191,"7/30/20",1007
192,"7/31/20",1020
193,"8/1/20",1020
194,"8/2/20",1020
195,"8/3/20",1020
196,"8/4/20",1020
197,"8/5/20",1020
198,"8/6/20",1020
199,"8/7/20",1020
200,"8/8/20",1025
201,"8/9/20",1025
202,"8/10/20",1025
203,"8/11/20",1025
204,"8/12/20",1025
205,"8/13/20",1025
206,"8/14/20",1025
207,"8/15/20",1027
208,"8/16/20",1027
209,"8/17/20",1027
210,"8/18/20",1027
211,"8/19/20",1027
212,"8/20/20",1028
213,"8/21/20",1030
214,"8/22/20",1038
215,"8/23/20",1038
216,"8/24/20",1038
217,"8/25/20",1039
218,"8/26/20",1041
219,"8/27/20",1044
220,"8/28/20",1046
221,"8/29/20",1046
222,"8/30/20",1046
223,"8/31/20",1067
224,"9/1/20",1067
225,"9/2/20",1067
226,"9/3/20",1067
227,"9/4/20",1067
228,"9/5/20",1069
229,"9/6/20",1069
230,"9/7/20",1069
231,"9/8/20",1069
232,"9/9/20",1069
233,"9/10/20",1069
