Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",1
56,"3/17/20",1
57,"3/18/20",1
58,"3/19/20",1
59,"3/20/20",3
60,"3/21/20",3
61,"3/22/20",3
62,"3/23/20",5
63,"3/24/20",5
64,"3/25/20",7
65,"3/26/20",9
66,"3/27/20",13
67,"3/28/20",15
68,"3/29/20",16
69,"3/30/20",18
70,"3/31/20",22
71,"4/1/20",26
72,"4/2/20",31
73,"4/3/20",34
74,"4/4/20",40
75,"4/5/20",44
76,"4/6/20",48
77,"4/7/20",51
78,"4/8/20",51
79,"4/9/20",67
80,"4/10/20",72
81,"4/11/20",80
82,"4/12/20",82
83,"4/13/20",82
84,"4/14/20",97
85,"4/15/20",106
86,"4/16/20",111
87,"4/17/20",116
88,"4/18/20",119
89,"4/19/20",120
90,"4/20/20",123
91,"4/21/20",124
92,"4/22/20",140
93,"4/23/20",150
94,"4/24/20",157
95,"4/25/20",166
96,"4/26/20",174
97,"4/27/20",177
98,"4/28/20",192
99,"4/29/20",231
100,"4/30/20",244
101,"5/1/20",256
102,"5/2/20",267
103,"5/3/20",275
104,"5/4/20",283
105,"5/5/20",296
106,"5/6/20",305
107,"5/7/20",316
108,"5/8/20",320
109,"5/9/20",330
110,"5/10/20",331
111,"5/11/20",346
112,"5/12/20",355
113,"5/13/20",362
114,"5/14/20",371
115,"5/15/20",380
116,"5/16/20",380
117,"5/17/20",385
118,"5/18/20",391
119,"5/19/20",399
120,"5/20/20",407
121,"5/21/20",416
122,"5/22/20",419
123,"5/23/20",425
124,"5/24/20",435
125,"5/25/20",440
126,"5/26/20",446
127,"5/27/20",466
128,"5/28/20",470
129,"5/29/20",483
130,"5/30/20",487
131,"5/31/20",494
132,"6/1/20",500
133,"6/2/20",501
134,"6/3/20",518
135,"6/4/20",525
136,"6/5/20",539
137,"6/6/20",545
138,"6/7/20",546
139,"6/8/20",557
140,"6/9/20",568
141,"6/10/20",575
142,"6/11/20",588
143,"6/12/20",593
144,"6/13/20",599
145,"6/14/20",600
146,"6/15/20",602
147,"6/16/20",607
148,"6/17/20",617
149,"6/18/20",621
150,"6/19/20",639
151,"6/20/20",644
152,"6/21/20",653
153,"6/22/20",659
154,"6/23/20",673
155,"6/24/20",683
156,"6/25/20",693
157,"6/26/20",694
158,"6/27/20",711
159,"6/28/20",716
160,"6/29/20",720
161,"6/30/20",739
162,"7/1/20",766
163,"7/2/20",784
164,"7/3/20",793
165,"7/4/20",813
166,"7/5/20",820
167,"7/6/20",827
168,"7/7/20",846
169,"7/8/20",884
170,"7/9/20",905
171,"7/10/20",929
172,"7/11/20",951
173,"7/12/20",961
174,"7/13/20",972
175,"7/14/20",993
176,"7/15/20",998
177,"7/16/20",1070
178,"7/17/20",1096
179,"7/18/20",1135
180,"7/19/20",1155
181,"7/20/20",1164
182,"7/21/20",1221
183,"7/22/20",1285
184,"7/23/20",1334
185,"7/24/20",1385
186,"7/25/20",1465
187,"7/26/20",1491
188,"7/27/20",1506
189,"7/28/20",1565
190,"7/29/20",1615
191,"7/30/20",1667
192,"7/31/20",1712
193,"8/1/20",1751
194,"8/2/20",1777
195,"8/3/20",1793
196,"8/4/20",1847
197,"8/5/20",1894
198,"8/6/20",1942
199,"8/7/20",1962
200,"8/8/20",2007
201,"8/9/20",2031
202,"8/10/20",2048
203,"8/11/20",2098
204,"8/12/20",2144
205,"8/13/20",2184
206,"8/14/20",2204
207,"8/15/20",2260
208,"8/16/20",2269
209,"8/17/20",2288
210,"8/18/20",2343
211,"8/19/20",2360
212,"8/20/20",2401
213,"8/21/20",2459
214,"8/22/20",2493
215,"8/23/20",2504
216,"8/24/20",2511
217,"8/25/20",2529
218,"8/26/20",2573
219,"8/27/20",2628
220,"8/28/20",2655
221,"8/29/20",2698
222,"8/30/20",2709
223,"8/31/20",2720
224,"9/1/20",2757
225,"9/2/20",2794
226,"9/3/20",2807
227,"9/4/20",2846
228,"9/5/20",2877
229,"9/6/20",2887
230,"9/7/20",2907
231,"9/8/20",2912
232,"9/9/20",2942
