Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",1
51,"3/12/20",1
52,"3/13/20",1
53,"3/14/20",1
54,"3/15/20",1
55,"3/16/20",1
56,"3/17/20",1
57,"3/18/20",1
58,"3/19/20",1
59,"3/20/20",1
60,"3/21/20",1
61,"3/22/20",1
62,"3/23/20",1
63,"3/24/20",1
64,"3/25/20",1
65,"3/26/20",1
66,"3/27/20",1
67,"3/28/20",1
68,"3/29/20",1
69,"3/30/20",1
70,"3/31/20",1
71,"4/1/20",2
72,"4/2/20",2
73,"4/3/20",2
74,"4/4/20",2
75,"4/5/20",2
76,"4/6/20",4
77,"4/7/20",6
78,"4/8/20",6
79,"4/9/20",6
80,"4/10/20",6
81,"4/11/20",6
82,"4/12/20",6
83,"4/13/20",6
84,"4/14/20",6
85,"4/15/20",6
86,"4/16/20",7
87,"4/17/20",7
88,"4/18/20",7
89,"4/19/20",7
90,"4/20/20",7
91,"4/21/20",8
92,"4/22/20",9
93,"4/23/20",9
94,"4/24/20",10
95,"4/25/20",10
96,"4/26/20",11
97,"4/27/20",11
98,"4/28/20",11
99,"4/29/20",13
100,"4/30/20",17
101,"5/1/20",21
102,"5/2/20",21
103,"5/3/20",21
104,"5/4/20",21
105,"5/5/20",24
106,"5/6/20",29
107,"5/7/20",31
108,"5/8/20",31
109,"5/9/20",34
110,"5/10/20",34
111,"5/11/20",34
112,"5/12/20",39
113,"5/13/20",39
114,"5/14/20",43
115,"5/15/20",44
116,"5/16/20",44
117,"5/17/20",44
118,"5/18/20",44
119,"5/19/20",46
120,"5/20/20",46
121,"5/21/20",48
122,"5/22/20",50
123,"5/23/20",50
124,"5/24/20",50
125,"5/25/20",50
126,"5/26/20",50
127,"5/27/20",54
128,"5/28/20",54
129,"5/29/20",59
130,"5/30/20",62
131,"5/31/20",62
132,"6/1/20",62
133,"6/2/20",62
134,"6/3/20",62
135,"6/4/20",64
136,"6/5/20",64
137,"6/6/20",65
138,"6/7/20",65
139,"6/8/20",65
140,"6/9/20",68
141,"6/10/20",69
142,"6/11/20",73
143,"6/12/20",74
144,"6/13/20",75
145,"6/14/20",75
146,"6/15/20",75
147,"6/16/20",77
148,"6/17/20",78
149,"6/18/20",78
150,"6/19/20",81
151,"6/20/20",81
152,"6/21/20",81
153,"6/22/20",81
154,"6/23/20",83
155,"6/24/20",84
156,"6/25/20",87
157,"6/26/20",88
158,"6/27/20",91
159,"6/28/20",91
160,"6/29/20",91
161,"6/30/20",91
162,"7/1/20",93
163,"7/2/20",97
164,"7/3/20",97
165,"7/4/20",97
166,"7/5/20",97
167,"7/6/20",97
168,"7/7/20",98
169,"7/8/20",98
170,"7/9/20",101
171,"7/10/20",107
172,"7/11/20",109
173,"7/12/20",109
174,"7/13/20",109
175,"7/14/20",109
176,"7/15/20",111
177,"7/16/20",115
178,"7/17/20",116
179,"7/18/20",116
180,"7/19/20",118
181,"7/20/20",118
182,"7/21/20",118
183,"7/22/20",119
184,"7/23/20",121
185,"7/24/20",122
186,"7/25/20",122
187,"7/26/20",123
188,"7/27/20",123
189,"7/28/20",123
190,"7/29/20",129
191,"7/30/20",129
192,"7/31/20",130
193,"8/1/20",134
194,"8/2/20",135
195,"8/3/20",135
196,"8/4/20",136
197,"8/5/20",137
198,"8/6/20",141
199,"8/7/20",144
200,"8/8/20",146
201,"8/9/20",146
202,"8/10/20",146
203,"8/11/20",146
204,"8/12/20",147
205,"8/13/20",148
206,"8/14/20",150
207,"8/15/20",152
208,"8/16/20",153
209,"8/17/20",153
210,"8/18/20",154
211,"8/19/20",155
212,"8/20/20",157
213,"8/21/20",159
214,"8/22/20",160
215,"8/23/20",161
216,"8/24/20",161
217,"8/25/20",161
218,"8/26/20",162
219,"8/27/20",162
220,"8/28/20",165
221,"8/29/20",167
222,"8/30/20",167
223,"8/31/20",167
224,"9/1/20",167
225,"9/2/20",169
226,"9/3/20",169
227,"9/4/20",170
228,"9/5/20",173
229,"9/6/20",173
230,"9/7/20",173
231,"9/8/20",173
232,"9/9/20",173
233,"9/10/20",177
234,"9/11/20",177
235,"9/12/20",183
236,"9/13/20",184
237,"9/14/20",184
