Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",2
57,"3/18/20",5
58,"3/19/20",5
59,"3/20/20",7
60,"3/21/20",8
61,"3/22/20",10
62,"3/23/20",11
63,"3/24/20",16
64,"3/25/20",20
65,"3/26/20",26
66,"3/27/20",38
67,"3/28/20",45
68,"3/29/20",54
69,"3/30/20",65
70,"3/31/20",76
71,"4/1/20",99
72,"4/2/20",112
73,"4/3/20",134
74,"4/4/20",153
75,"4/5/20",186
76,"4/6/20",206
77,"4/7/20",218
78,"4/8/20",244
79,"4/9/20",269
80,"4/10/20",295
81,"4/11/20",326
82,"4/12/20",348
83,"4/13/20",383
84,"4/14/20",409
85,"4/15/20",453
86,"4/16/20",489
87,"4/17/20",531
88,"4/18/20",554
89,"4/19/20",577
90,"4/20/20",598
91,"4/21/20",638
92,"4/22/20",666
93,"4/23/20",717
94,"4/24/20",738
95,"4/25/20",760
96,"4/26/20",786
97,"4/27/20",809
98,"4/28/20",845
99,"4/29/20",878
100,"4/30/20",924
101,"5/1/20",956
102,"5/2/20",987
103,"5/3/20",1010
104,"5/4/20",1036
105,"5/5/20",1054
106,"5/6/20",1084
107,"5/7/20",1119
108,"5/8/20",1152
109,"5/9/20",1183
110,"5/10/20",1214
111,"5/11/20",1238
112,"5/12/20",1274
113,"5/13/20",1299
114,"5/14/20",1370
115,"5/15/20",1425
116,"5/16/20",1460
117,"5/17/20",1486
118,"5/18/20",1498
119,"5/19/20",1536
120,"5/20/20",1580
121,"5/21/20",1602
122,"5/22/20",1616
123,"5/23/20",1629
124,"5/24/20",1683
125,"5/25/20",1699
126,"5/26/20",1717
127,"5/27/20",1756
128,"5/28/20",1782
129,"5/29/20",1801
130,"5/30/20",1848
131,"5/31/20",1866
132,"6/1/20",1879
133,"6/2/20",1909
134,"6/3/20",1940
135,"6/4/20",1979
136,"6/5/20",2004
137,"6/6/20",2031
138,"6/7/20",2042
139,"6/8/20",2060
140,"6/9/20",2080
141,"6/10/20",2110
142,"6/11/20",2146
143,"6/12/20",2182
144,"6/13/20",2211
145,"6/14/20",2237
146,"6/15/20",2259
147,"6/16/20",2312
148,"6/17/20",2351
149,"6/18/20",2388
150,"6/19/20",2420
151,"6/20/20",2452
152,"6/21/20",2471
153,"6/22/20",2494
154,"6/23/20",2528
155,"6/24/20",2575
156,"6/25/20",2627
157,"6/26/20",2673
158,"6/27/20",2725
159,"6/28/20",2759
160,"6/29/20",2803
161,"6/30/20",2846
162,"7/1/20",2916
163,"7/2/20",2987
164,"7/3/20",3063
165,"7/4/20",3128
166,"7/5/20",3189
167,"7/6/20",3257
168,"7/7/20",3387
169,"7/8/20",3510
170,"7/9/20",3666
171,"7/10/20",3748
172,"7/11/20",3842
173,"7/12/20",3955
174,"7/13/20",4056
175,"7/14/20",4170
176,"7/15/20",4343
177,"7/16/20",4523
178,"7/17/20",4684
179,"7/18/20",4830
180,"7/19/20",4944
181,"7/20/20",5079
182,"7/21/20",5222
183,"7/22/20",5471
184,"7/23/20",5674
185,"7/24/20",5849
186,"7/25/20",6006
187,"7/26/20",6133
188,"7/27/20",6833
189,"7/28/20",7112
190,"7/29/20",7406
191,"7/30/20",7536
192,"7/31/20",7657
193,"8/1/20",7927
194,"8/2/20",7932
195,"8/3/20",8090
196,"8/4/20",8308
197,"8/5/20",8673
198,"8/6/20",8929
199,"8/7/20",9205
200,"8/8/20",9414
201,"8/9/20",9523
202,"8/10/20",9615
203,"8/11/20",9593
204,"8/12/20",9897
205,"8/13/20",10135
206,"8/14/20",10439
207,"8/15/20",10629
208,"8/16/20",10763
209,"8/17/20",10820
210,"8/18/20",11042
211,"8/19/20",11285
212,"8/20/20",11536
213,"8/21/20",11766
214,"8/22/20",11919
215,"8/23/20",12043
216,"8/24/20",12096
217,"8/25/20",12277
218,"8/26/20",12469
219,"8/27/20",12691
220,"8/28/20",12859
221,"8/29/20",12987
222,"8/30/20",13064
223,"8/31/20",13105
224,"9/1/20",13240
225,"9/2/20",13417
226,"9/3/20",13603
