Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",0
61,"3/22/20",1
62,"3/23/20",1
63,"3/24/20",1
64,"3/25/20",1
65,"3/26/20",1
66,"3/27/20",1
67,"3/28/20",1
68,"3/29/20",2
69,"3/30/20",4
70,"3/31/20",5
71,"4/1/20",5
72,"4/2/20",7
73,"4/3/20",7
74,"4/4/20",8
75,"4/5/20",8
76,"4/6/20",13
77,"4/7/20",13
78,"4/8/20",13
79,"4/9/20",13
80,"4/10/20",17
81,"4/11/20",18
82,"4/12/20",18
83,"4/13/20",13
84,"4/14/20",18
85,"4/15/20",20
86,"4/16/20",20
87,"4/17/20",23
88,"4/18/20",25
89,"4/19/20",27
90,"4/20/20",28
91,"4/21/20",32
92,"4/22/20",32
93,"4/23/20",35
94,"4/24/20",39
95,"4/25/20",41
96,"4/26/20",41
97,"4/27/20",41
98,"4/28/20",41
99,"4/29/20",45
100,"4/30/20",46
101,"5/1/20",46
102,"5/2/20",49
103,"5/3/20",50
104,"5/4/20",50
105,"5/5/20",56
106,"5/6/20",58
107,"5/7/20",61
108,"5/8/20",61
109,"5/9/20",66
110,"5/10/20",67
111,"5/11/20",68
112,"5/12/20",73
113,"5/13/20",75
114,"5/14/20",75
115,"5/15/20",77
116,"5/16/20",78
117,"5/17/20",80
118,"5/18/20",80
119,"5/19/20",88
120,"5/20/20",90
121,"5/21/20",92
122,"5/22/20",93
123,"5/23/20",97
124,"5/24/20",97
125,"5/25/20",98
126,"5/26/20",101
127,"5/27/20",105
128,"5/28/20",106
129,"5/29/20",107
130,"5/30/20",112
131,"5/31/20",113
132,"6/1/20",113
133,"6/2/20",113
134,"6/3/20",117
135,"6/4/20",117
136,"6/5/20",120
137,"6/6/20",121
138,"6/7/20",121
139,"6/8/20",124
140,"6/9/20",127
141,"6/10/20",128
142,"6/11/20",131
143,"6/12/20",139
144,"6/13/20",139
145,"6/14/20",139
146,"6/15/20",143
147,"6/16/20",145
148,"6/17/20",149
149,"6/18/20",152
150,"6/19/20",155
151,"6/20/20",155
152,"6/21/20",158
153,"6/22/20",158
154,"6/23/20",163
155,"6/24/20",163
156,"6/25/20",164
157,"6/26/20",166
158,"6/27/20",167
159,"6/28/20",167
160,"6/29/20",168
161,"6/30/20",172
162,"7/1/20",173
163,"7/2/20",176
164,"7/3/20",181
165,"7/4/20",181
166,"7/5/20",184
167,"7/6/20",190
168,"7/7/20",194
169,"7/8/20",201
170,"7/9/20",205
171,"7/10/20",207
172,"7/11/20",212
173,"7/12/20",215
174,"7/13/20",216
175,"7/14/20",226
176,"7/15/20",233
177,"7/16/20",234
178,"7/17/20",235
179,"7/18/20",243
180,"7/19/20",243
181,"7/20/20",247
182,"7/21/20",251
183,"7/22/20",260
184,"7/23/20",267
185,"7/24/20",273
186,"7/25/20",274
187,"7/26/20",274
188,"7/27/20",281
189,"7/28/20",286
190,"7/29/20",292
191,"7/30/20",300
192,"7/31/20",304
193,"8/1/20",310
194,"8/2/20",311
195,"8/3/20",314
196,"8/4/20",321
197,"8/5/20",327
198,"8/6/20",330
199,"8/7/20",335
200,"8/8/20",335
201,"8/9/20",336
202,"8/10/20",345
203,"8/11/20",349
204,"8/12/20",351
205,"8/13/20",353
206,"8/14/20",360
207,"8/15/20",363
208,"8/16/20",363
209,"8/17/20",364
210,"8/18/20",369
211,"8/19/20",377
212,"8/20/20",381
213,"8/21/20",383
214,"8/22/20",385
215,"8/23/20",385
216,"8/24/20",390
217,"8/25/20",397
218,"8/26/20",401
219,"8/27/20",403
220,"8/28/20",407
221,"8/29/20",407
222,"8/30/20",407
223,"8/31/20",407
224,"9/1/20",409
225,"9/2/20",410
226,"9/3/20",414
227,"9/4/20",419
228,"9/5/20",420
229,"9/6/20",422
230,"9/7/20",423
231,"9/8/20",424
232,"9/9/20",427
233,"9/10/20",430
234,"9/11/20",431
235,"9/12/20",433
236,"9/13/20",433
237,"9/14/20",436
