Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",1
54,"3/15/20",1
55,"3/16/20",2
56,"3/17/20",2
57,"3/18/20",2
58,"3/19/20",2
59,"3/20/20",2
60,"3/21/20",3
61,"3/22/20",6
62,"3/23/20",6
63,"3/24/20",9
64,"3/25/20",9
65,"3/26/20",10
66,"3/27/20",10
67,"3/28/20",13
68,"3/29/20",20
69,"3/30/20",15
70,"3/31/20",27
71,"4/1/20",34
72,"4/2/20",41
73,"4/3/20",46
74,"4/4/20",52
75,"4/5/20",52
76,"4/6/20",66
77,"4/7/20",66
78,"4/8/20",66
79,"4/9/20",109
80,"4/10/20",121
81,"4/11/20",130
82,"4/12/20",141
83,"4/13/20",149
84,"4/14/20",154
85,"4/15/20",195
86,"4/16/20",208
87,"4/17/20",231
88,"4/18/20",258
89,"4/19/20",277
90,"4/20/20",300
91,"4/21/20",324
92,"4/22/20",349
93,"4/23/20",373
94,"4/24/20",411
95,"4/25/20",437
96,"4/26/20",449
97,"4/27/20",460
98,"4/28/20",492
99,"4/29/20",522
100,"4/30/20",552
101,"5/1/20",581
102,"5/2/20",617
103,"5/3/20",660
104,"5/4/20",684
105,"5/5/20",713
106,"5/6/20",737
107,"5/7/20",769
108,"5/8/20",812
109,"5/9/20",827
110,"5/10/20",839
111,"5/11/20",850
112,"5/12/20",892
113,"5/13/20",928
114,"5/14/20",956
115,"5/15/20",978
116,"5/16/20",1003
117,"5/17/20",1010
118,"5/18/20",1015
119,"5/19/20",1042
120,"5/20/20",1075
121,"5/21/20",1100
122,"5/22/20",1136
123,"5/23/20",1159
124,"5/24/20",1171
125,"5/25/20",1208
126,"5/26/20",1236
127,"5/27/20",1281
128,"5/28/20",1338
129,"5/29/20",1358
130,"5/30/20",1370
131,"5/31/20",1375
132,"6/1/20",1392
133,"6/2/20",1407
134,"6/3/20",1428
135,"6/4/20",1445
136,"6/5/20",1454
137,"6/6/20",1461
138,"6/7/20",1472
139,"6/8/20",1477
140,"6/9/20",1496
141,"6/10/20",1514
142,"6/11/20",1520
143,"6/12/20",1534
144,"6/13/20",1541
145,"6/14/20",1546
146,"6/15/20",1552
147,"6/16/20",1570
148,"6/17/20",1583
149,"6/18/20",1586
150,"6/19/20",1602
151,"6/20/20",1607
152,"6/21/20",1611
153,"6/22/20",1620
154,"6/23/20",1645
155,"6/24/20",1661
156,"6/25/20",1675
157,"6/26/20",1700
158,"6/27/20",1724
159,"6/28/20",1732
160,"6/29/20",1740
161,"6/30/20",1763
162,"7/1/20",1786
163,"7/2/20",1816
164,"7/3/20",1845
165,"7/4/20",1849
166,"7/5/20",1853
167,"7/6/20",1853
168,"7/7/20",1881
169,"7/8/20",1905
170,"7/9/20",1937
171,"7/10/20",1958
172,"7/11/20",1962
173,"7/12/20",1966
174,"7/13/20",1968
175,"7/14/20",1977
176,"7/15/20",1992
177,"7/16/20",2007
178,"7/17/20",2013
179,"7/18/20",2025
180,"7/19/20",2027
181,"7/20/20",2031
182,"7/21/20",2048
183,"7/22/20",2051
184,"7/23/20",2054
185,"7/24/20",2067
186,"7/25/20",2075
187,"7/26/20",2078
188,"7/27/20",2082
189,"7/28/20",2095
190,"7/29/20",2125
191,"7/30/20",2141
192,"7/31/20",2174
193,"8/1/20",2215
194,"8/2/20",2218
195,"8/3/20",2218
196,"8/4/20",2244
197,"8/5/20",2274
198,"8/6/20",2299
199,"8/7/20",2317
200,"8/8/20",2322
201,"8/9/20",2326
202,"8/10/20",2327
203,"8/11/20",2344
204,"8/12/20",2352
205,"8/13/20",2363
206,"8/14/20",2370
207,"8/15/20",2381
208,"8/16/20",2381
209,"8/17/20",2385
210,"8/18/20",2396
211,"8/19/20",2410
212,"8/20/20",2427
213,"8/21/20",2436
214,"8/22/20",2443
215,"8/23/20",2467
216,"8/24/20",2471
217,"8/25/20",2494
218,"8/26/20",2515
219,"8/27/20",2527
220,"8/28/20",2550
221,"8/29/20",2568
222,"8/30/20",2569
223,"8/31/20",2580
224,"9/1/20",2612
225,"9/2/20",2641
226,"9/3/20",2652
227,"9/4/20",2662
